,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
1993M03,-0.0033669496612019068,-0.003957270696995411,0.011642246037340006,-0.0008559876152438237,0.0064157260419835,-0.004075020636075144,-0.0035753942386443824,-0.004127004174594356,-0.004785538609037082,-0.0007427992836076221
1993M04,-0.00331218372103488,-0.003906111605680321,-0.0007409252397295647,-0.000450545776696603,0.003733371455391423,-0.004024309194623705,-0.003434064952178807,-0.004090827923069542,-0.0047362869061717775,-0.0023290982070881972
1993M05,-0.0034250606040362947,-0.003920457608102215,-0.007465913135742402,-0.005522500276004717,0.000692465093236695,-0.004083213502411753,-0.0024419638245655735,-0.0040644109320209,-0.004727285931674546,-0.0038842600801468567
1993M06,-0.0038830151721212154,-0.003981461128154713,-0.018836534213131244,-0.014258429337846013,-0.006812399651230613,-0.0043412409723129295,-0.003455115439415589,-0.004096301786130821,-0.0047446777075794,-0.007156575045324727
1993M07,-0.004293955310169525,-0.0039738215945014825,-0.0141497801868081,-0.012875295076929874,-0.01206621735226147,-0.004575382791481545,-0.004562876050661198,-0.004195383684748762,-0.004730637934208108,-0.007269261109085563
1993M08,-0.004092151763566796,-0.003939265967822669,-2.6710177823226298e-05,-0.008100111740402073,-0.008608159855374062,-0.0045000324025933885,-0.004318347535499425,-0.004285447114051746,-0.0050851123677984585,-0.004772815436103538
1993M09,-0.004490124218085401,-0.003921066289488597,-0.013773862980905644,-0.01202112508952748,-0.006536305182481501,-0.004725855820775719,-0.005362623896272196,-0.004382850643430464,-0.0052317959663427584,-0.006716178898589973
1993M10,-0.004181151311633256,-0.0038845656816606207,0.0023584861182155154,-0.007277274338211734,-0.0002938188651120848,-0.004584211111998896,-0.004880592158789385,-0.004421550686308432,-0.00518607110454692,-0.0035945276822273125
1993M11,-0.004892955847326324,-0.004284051963689023,-0.021726539180284044,-0.013944409259448957,-0.008910036121000046,-0.004992680155963336,-0.006258440582144925,-0.004619771004228125,-0.005153757113420024,-0.008309182358611646
1993M12,-0.006084268893474607,-0.004455443427134739,-0.02906110434365185,-0.01838577971779072,-0.01767973777040904,-0.005864939560552528,-0.007513565934877843,-0.00545866206807525,-0.005141187043463672,-0.011071632084381139
1994M01,-0.005014757484857118,-0.004394474018828493,0.007665931701449932,-0.005801762595860191,-0.01274952473825853,-0.005294625695676672,-0.00570128549392093,-0.005319290643916347,-0.005046441765334734,-0.004628470081689232
1994M02,-0.004996839847995782,-0.004360408406056833,-0.0034637374692492455,-0.00602435952069337,-0.004866471794543712,-0.0052713266351255075,-0.005731374710638032,-0.0052828164292622395,-0.005129937272321488,-0.0050141413428762445
1994M03,-0.005341224543587534,-0.004333375046776244,-0.012418084571507695,-0.009352444143086416,-0.0025629058794156335,-0.0054665909960426974,-0.006112842758872354,-0.005370776133480532,-0.0054584990297805855,-0.006268527011394411
1994M04,-0.004586356819332698,-0.004295614239169675,0.01479297256251183,-0.0031778248534173993,0.005294333569966956,-0.005005873588231121,-0.004411296285788867,-0.005090841216522923,-0.0056735176215543595,-0.0013504464990598064
1994M05,-0.004039915815714391,-0.004436753145488702,0.014340171963679805,0.00267217631783819,0.009831773277688164,-0.004663552312509831,-0.0013629864769874088,-0.004967639707693071,-0.005630177559035016,0.00019367739353085993
1994M06,-0.0037321476335260392,-0.004778700267102507,0.008028551380842184,0.006296351076207426,0.007241308428002365,-0.0044272944377421785,-0.0008744370065470623,-0.004894894482065381,-0.005648981901024041,-0.0003100272047728036
1994M07,-0.003296262346803528,-0.004751624915218458,0.012798370960764888,0.005757818189774579,0.009567765925699353,-0.004026030326149058,-2.436967335825999e-06,-0.004769551493497672,-0.005333779347960583,0.0006604744088081882
1994M08,-0.003773414245027289,-0.0048177682762508495,-0.02020696966848301,-0.006301509663125199,-0.005228220080435381,-0.00446235318585248,-0.003156654521683189,-0.004849972471381542,-0.0053179823122488255,-0.006457204936054196
1994M09,-0.004200201774646991,-0.00478515595366625,-0.02070192012784702,-0.01489189034386183,-0.013408903852031959,-0.004730027759941753,-0.00488527725812647,-0.004832341890448257,-0.005295309640173528,-0.008636780955638228
1994M10,-0.00392942346881,-0.004781973663552549,0.007094304779092159,-0.005443468672681277,-0.009023514429494712,-0.004469762667315054,-0.003962146199527752,-0.004795837271443804,-0.005277343156839487,-0.0038432405278413864
1994M11,-0.003566698083166836,-0.004723995231564331,0.012359036042027108,-0.0004238837191744499,0.00518065148254098,-0.0042092289773463624,-0.002556442418619696,-0.004771599417950096,-0.005220411179229066,-0.0008813968336091944
1994M12,-0.0038825915146229882,-0.0047227581714536625,-0.017364121627333622,-0.005659663769182395,-0.004076828231474922,-0.004372818624333137,-0.003996668788811034,-0.004725915080063575,-0.005213339739400243,-0.00600163394963062
1995M01,-0.0036735739743989186,-0.004691804151279041,0.006026239143459542,-0.005568030434975725,-0.00037424689157823307,-0.004230906471236916,-0.0031909103974729807,-0.004331488427246098,-0.005180843289866402,-0.0028017294327327526
1995M02,-0.0034560692452356248,-0.004616896236084476,0.006796155165951703,-0.002467228128384751,0.003604861282256057,-0.00410390267271653,-0.001390511049755518,-0.004205761388576276,-0.005114226964776853,-0.0016615088041469189
1995M03,-0.0034614803142797228,-0.004576827926226185,-0.0034125157334543724,-0.002919562616425924,0.00207784450528649,-0.004091049576325903,-0.0016741305363528098,-0.004172654115467233,-0.005074623230909274,-0.0030338888382394373
1995M04,-0.0028798304167723353,-0.004211157814836652,0.02429561451499703,0.003455343810053557,0.013929064741008822,-0.003715367845861395,0.0011481043069889209,-0.0042663260935752526,-0.004765004520089095,0.0025544934091015115
1995M05,-0.002940278256805622,-0.003949638719307329,-0.004439685146996487,1.597180638338025e-05,0.0018467573791752178,-0.0037228434564552998,-0.0011867124782787642,-0.0042265516467302686,-0.004525711460104191,-0.002569854664346596
1995M06,-0.0032368142903960702,-0.004072027970128172,-0.016003884702633298,-0.004903437159266532,-0.004537272007630826,-0.0038451437959196436,-0.0026353617244012136,-0.004122505883426207,-0.004621148220343097,-0.005330843972682785
1995M07,-0.003809602212236913,-0.004045374523652088,-0.028599361100100005,-0.016953501735098554,-0.016281184570070283,-0.003949433226655118,-0.0051321074159873855,-0.0036714270871264104,-0.004596139183249521,-0.009670903450464029
1995M08,-0.0036209205433350815,-0.004050843512756744,0.0034517398880827316,-0.006235791336796721,-0.012411322950428058,-0.003946276806090291,-0.0045648829278345515,-0.0036878266841326654,-0.004588060714368712,-0.0044060206208511215
1995M09,-0.003305363752941075,-0.004072274614646351,0.010576225640375749,-0.001900100253122733,-0.0007415962856579692,-0.0038351497666832563,-0.0033606349929334225,-0.003749330133443408,-0.004597699173536975,-0.001665102592509938
1995M10,-0.0034401466705601797,-0.004021774629345901,-0.010024079725668177,-0.004617348096645313,-0.0009171585608529487,-0.0038446984714925114,-0.0040843248147083315,-0.0036393305410904993,-0.004547604857196812,-0.004348496263062298
1995M11,-0.003084448984750964,-0.00403230107218098,0.013798492519398868,-0.001008118749305331,0.0061149769976190016,-0.003763888358559869,-0.0023926654611669132,-0.0037917294863020192,-0.004557352663026662,-0.00030189280647498554
1995M12,-0.0026769971396062133,-0.0037962240538522113,0.025753633244739185,0.006893105350460521,0.015146183808335552,-0.0036664093994102746,0.0013942692815036577,-0.004193400866552653,-0.004381783852276972,0.0033858195970378428
1996M01,-0.002600870225697215,-0.0034851932469025255,0.0021759737231400638,0.00813224330409522,0.0049115512498477554,-0.0035912924849192014,-0.0003255094984412018,-0.004202251449573803,-0.0040935563116975,-0.0003421005489053786
1996M02,-0.002095826112962756,-0.0027910810306002627,0.02337502876431329,0.011800216624656272,0.0145683874202325,-0.003008156498623728,0.0021113460216145258,-0.004284596411505179,-0.0034925658506688986,0.0040203058807173064
1996M03,-0.002003959779122854,-0.002446298657101401,0.0010375622442932472,0.0033347158202835635,0.004715857101870401,-0.002862016165320981,0.00025452533855712826,-0.004205685475605523,-0.003164481561059632,-0.0005933090148006723
1996M04,-0.001826967762061191,-0.0022840393361984765,0.0034398755166170675,0.003707816968712703,0.0058066973749041455,-0.0026628449302410094,0.0005724640812587985,-0.004084300102826277,-0.0030154089569728385,-3.852301631189762e-05
1996M05,-0.0025442358238122785,-0.0027224167894417065,-0.028127532168477604,-0.013859083317937736,-0.008375201274483771,-0.0031166331232448104,-0.0026684893117217313,-0.004004719785232566,-0.003375327056625315,-0.00764373762788639
1996M06,-0.0026201556949864368,-0.0027485173327987766,-0.008849943896496765,-0.009737195741507531,-0.01166378829889857,-0.002697705561590812,-0.0033794236768136107,-0.003700343864269046,-0.003393232610096231,-0.0054211451863841985
1996M07,-0.002376214214282689,-0.0026208067128814963,0.016333037902466783,-0.0010446813894372823,-0.0035889030357138993,-0.0026121962373731387,-0.0016226756997290456,-0.0039635643950522575,-0.0032799800930093477,-0.0005306648750013748
1996M08,-0.0022137848937106293,-0.0025350430848479857,0.004234604067546889,0.0008565833521224711,0.005874561445119651,-0.0026065656079766455,-0.0010658107841510368,-0.003453151487122256,-0.003205162858556688,-0.0004570855390640256
1996M09,-0.0016461467570814048,-0.002116116187909643,0.020948467512702573,0.008538679788254865,0.01347301233612977,-0.002645722158960228,0.0012229155082782964,-0.0028278926638262134,-0.002856039805316024,0.0035656841746968876
1996M10,-0.0004604544817621537,-0.0011070202743826167,0.026329359665688563,0.012336968482710976,0.016343012399937955,-0.0024629283423969603,0.0034156446242444996,-0.003017188020186711,-0.0019541700692386876,0.005491469331623874
1996M11,-0.0010611118726404462,-0.0013986725462878857,-0.009568598266832103,0.007015182142690499,0.00026947952694938515,-0.002593477300633693,-8.648007367099563e-05,-0.0029836463826259834,-0.0021851087143445907,-0.0013991592763773126
1996M12,-0.000213911298891553,-0.0006995907606971749,0.023724565913168953,0.008471381931206487,0.011423140437169587,-0.00208690096340607,0.0026361343166076403,-0.002944810986914046,-0.0015781673622577955,0.004303537913998447
1997M01,-0.0007173834664740577,-0.001098687142900697,-0.012110886228389755,-0.0019205616388125856,-0.0008934445020888386,-0.0021734416507468114,-0.00015064775952331778,-0.003041392962074748,-0.0019022278039510913,-0.0026676303505513226
1997M02,-0.001835438591873998,-0.0017655385127286884,-0.04779608383043806,-0.01860606076407812,-0.02201124172777215,-0.0018719145373066893,-0.004890712998113131,-0.0024228927889881338,-0.0024596285826868213,-0.011517723592665088
1997M03,-0.0023162403899717227,-0.0020002633819090803,-0.028621877028146146,-0.01693275283405906,-0.03485707749299426,-0.001630054497808859,-0.007828425859901426,-0.0017330897293373238,-0.00277296075804333,-0.010965860219130132
1997M04,-0.003018418924314608,-0.0023973896611799643,-0.024160773384983066,-0.01578188970609979,-0.04042117790478691,-0.0025518511059031994,-0.010690500680636652,-0.0013996890793504546,-0.003335871452635605,-0.011528617988876692
1997M05,-0.0021392991787163866,-0.0018125169958825823,0.025527112665429102,0.002185250553607962,-0.005841548747515705,-0.0028391834847819285,-0.006769742153493884,-0.002692954663360259,-0.002493815947772271,0.00034703356083489443
1997M06,-0.0024575585862950883,-0.002088748672216409,-0.02431765037597969,-0.006280006103962369,-0.00677869084008173,-0.002601344341761268,-0.009513857211373811,-0.001960176407469793,-0.0029064805239994917,-0.006544945895904406
1997M07,-0.002224474961881161,-0.0018553300806349311,0.009407764083899236,-0.002168693905314061,-0.0018326034635998394,-0.002676147334169526,-0.006907226610031094,-0.002255373132910972,-0.0025615979817943356,-0.0014526314873818539
1997M08,-0.0020880667770898083,-0.0017312695728234802,0.008164427187357793,0.00020945080709956591,0.002455188531155899,-0.0027799357100815993,-0.002271568574565671,-0.0025677883735350147,-0.002369645802808092,-0.0003310231428100453
1997M09,-0.0020481929445375345,-0.0016990644220277692,0.0015009507344071957,0.0012664466370007127,0.004569964825379538,-0.0028024034209766266,-0.00034899511367668395,-0.002656619064452234,-0.0023177721421429745,-0.0005039649901140417
1997M10,-0.0018901890336296611,-0.0016334151993407737,0.01892824435898742,0.004883894362559451,0.012449493007932178,-0.0030400339266024416,0.001709923983475088,-0.003395560018607706,-0.0024266454953005634,0.0028428568932747766
1997M11,-0.001956574753656366,-0.0016142117082510326,-0.013541088776060316,-0.003237740266655796,-0.001997856243308394,-0.002782762513400203,-0.0012626082949537159,-0.002908834203550072,-0.0032760099211243013,-0.0036197429645511326
1997M12,-0.0021934681626047977,-0.0018098894369234567,-0.04113323253833182,-0.018865010090273682,-0.019448945875920342,-0.0020699973824687976,-0.004853292968267213,-0.0012945517441206263,-0.003080215174920368,-0.010527622597092345
1998M01,-0.003151034822283326,-0.0028859287334569105,-0.03565944507134327,-0.02036910712702788,-0.03487085272097597,-0.002302289016077678,-0.00804972012950482,-0.0008930837042832966,-0.002858848838859207,-0.012337812240423594
1998M02,-0.0036806338899802154,-0.003471351474051913,-0.01544441474187325,-0.013207931778324442,-0.035227422656198,-0.0032373554053315027,-0.009527123671835735,-0.0023485291849710895,-0.0029330155275716723,-0.00989753092557087
1998M03,-0.0043063093630910645,-0.004042390768616234,-0.02044113209243284,-0.015285439988812828,-0.0259366977223985,-0.0036466815787197637,-0.011840373927642676,-0.0027378030717071823,-0.0032647837283666025,-0.010166845804643075
1998M04,-0.0037602465815979023,-0.0036668111963300367,0.0058804709823582005,-0.005390307588687856,-0.007369942970370406,-0.0037882643618872905,-0.01037595913299201,-0.00339461569802225,-0.002977650100561444,-0.003871480738676778
1998M05,-0.0034602589077832647,-0.0033096777891556033,0.007943105614719226,-0.0015534532910528405,0.002741368920336111,-0.0037648078548460197,-0.007935831733662226,-0.003561505402508908,-0.002755182532120964,-0.0017395825528971655
1998M06,-0.004632475416758632,-0.004746322827225601,-0.04317209077520709,-0.01710480891593648,-0.0152578180236804,-0.003744963518204763,-0.009412887962980197,-0.0028033143552821244,-0.0036917422058889843,-0.011618491555684916
