,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1991M01,-0.0047065284044761615,-0.0023859545655936752,0.0020384797615208665,0.00021108550450055924,-0.0004495323384111678,-0.0017046929898751713,-0.0011154607581077588,-0.0030224659187394016,-0.001391883713647739
1991M02,-0.00459711772232492,-0.0007345254975093313,-0.0017209647320069739,-0.000755542522725941,-0.0016061046522397836,-0.00404688070423234,-0.0038617178069641537,-0.004733657299523528,-0.0027570638671908718
1991M03,-0.005185128466079828,-0.0017368557691367374,-0.0011748560449258254,-0.0003106797122538274,-0.0012160609572497436,-0.0024201684131766165,-0.0034892818393058925,-0.004025831950329212,-0.00244485789405721
1991M04,-0.005111123902063195,-0.0014310829703867293,-0.0019031089182981909,-0.00048391362970052186,-0.001078155592915266,-0.002820844799134041,-0.003957959840817721,-0.004314450085650042,-0.002637579967370713
1991M05,-0.00505637015774991,-0.0015256093972610906,0.000992373810934089,-0.0004798881047142325,-0.001044719972171964,-0.002737434242373799,-0.0039831396654148215,-0.004230090347748129,-0.0022581097595624823
1991M06,-0.005085861481754851,-0.002490349663718943,0.003352894211597286,4.1701918324225744e-05,-0.0003756366704892807,-0.0013734951890653764,-0.0017035101242187881,-0.0031361203163667835,-0.001346297164461564
1991M07,-0.005032360780597957,-0.0024856109034679524,0.0020738988039152887,5.191640275059082e-05,-0.0003544460913414969,-0.0013318414768889628,-0.0004423968126453503,-0.0030809311413186793,-0.0013252214999493151
1991M08,-0.004864533284294261,-0.0011918734771622704,-0.0008795674792508234,-0.0005011605960585296,-0.0009307785215442455,-0.0028571023810034023,-0.002194004958151395,-0.004231385711354769,-0.0022063008011024617
1991M09,-0.0050270475289313,-0.0011115489607213258,-0.0018688633732213006,-0.0007011354841911969,-0.0011759699215690184,-0.0032116209170334246,-0.002771285904074067,-0.0045107238571006885,-0.00254727449335529
1991M10,-0.005545515266205236,-0.0024625541513159203,-4.900668946726506e-05,-0.00023425051512920337,-0.0007159826183527066,-0.0017063725784809487,-0.0016201801934290316,-0.0033565896166313255,-0.0019613064536264544
1991M11,-0.005543044227672952,-0.002501942151179618,0.0017448886085642172,-0.00020687924806937416,-0.0006683600621438178,-0.0016132931403503026,-0.0006065251706985674,-0.0032630161306688933,-0.0015822714402774132
1991M12,-0.005479938079441662,-0.0024195192201668775,0.001489435050010083,-0.0002250229985902885,-0.0006926789725958566,-0.0016580704765938366,-0.000677122961156465,-0.0032744205183146856,-0.0016171672721061988
1992M01,-0.005404702147985732,-0.002010344076424272,0.0006760373097671687,-0.00044649882399788846,-0.0008985062373934057,-0.002073825591819057,-0.0012144145847107393,-0.003566218328705407,-0.0018673090601586664
1992M02,-0.005707724148681543,-0.0020338434201001582,0.0007691497911654888,-0.0003855672482087399,-0.000674839491413746,-0.0019966821449708787,-0.001132877784861693,-0.003484170621774839,-0.0018308193836057635
1992M03,-0.005636815741862376,-0.001274452557006613,-0.0006842738511567952,-0.0007165424975194832,-0.0010994845478129976,-0.0028707451373210496,-0.0021400459661968423,-0.004126638201167977,-0.002318624812505517
1992M04,-0.005514554986639867,-0.001106051701293468,-0.0011516279504792534,-0.0008902766059013148,-0.001319375336123277,-0.003296501141856829,-0.002773062330753911,-0.0044557516586924365,-0.0025634002139675446
1992M05,-0.0054505105483929955,-0.0017314895260737307,-0.0012497508062416563,-0.0008172831962019563,-0.0013300690166902639,-0.0028648927973782493,-0.002009863773718816,-0.004154289063075818,-0.0024510185909716858
1992M06,-0.005438728088534074,-0.002045524791051229,0.0006414112150676562,-0.0006645213099977656,-0.0011937193252317677,-0.0024348696694034494,-0.0016200827168850718,-0.003807251784691366,-0.0020704108088408836
1992M07,-0.005451130040336488,-0.0028337134529257844,0.002828404731230736,-0.00032083973410083,-0.0007673021822097777,-0.0014744834518939575,-0.0004961514574042122,-0.0030680417598384665,-0.0014479071684348475
1992M08,-0.005734442538427848,-0.0018222888857527216,-0.0005618042904393889,-0.0006832502474675065,-0.0012286721017313652,-0.002518955825010164,-0.0018060199172892063,-0.003818494079745697,-0.0022717409857329874
1992M09,-0.005668999758352694,-0.0019379080779999113,-0.0002936679195386005,-0.0006385073610687991,-0.0011482242387558417,-0.0023302342452317056,-0.00156132180384847,-0.003654262390613829,-0.0021541407244262314
1992M10,-0.005591425640040271,-0.0018055551790573865,-0.0004995207451541895,-0.000677373555570717,-0.0011807450496322273,-0.0024343761984451087,-0.0013791060122407004,-0.0037101634801859954,-0.002159783232540824
1992M11,-0.005461141608507464,-0.0011128379259557333,-0.0004999322511372094,-0.0009792970207751386,-0.0014114331814214873,-0.003235909172931722,-0.0022411409212788184,-0.0042890824468658295,-0.0024038468161091753
1992M12,-0.005423601034199442,-0.0017387205679298392,-0.0005958763617925125,-0.0008951662155072475,-0.0014157608580194281,-0.0028208432714214547,-0.0020785862315014217,-0.004008581400037402,-0.0023721419925510938
1993M01,-0.005442260033295696,-0.0013174481790001957,-0.0013619759092620403,-0.001116025139757619,-0.0015515422954575212,-0.0033618462799413834,-0.002656688711276891,-0.004397828714077387,-0.0026507019077585915
1993M02,-0.005389546526014363,-0.001958974038171291,-0.0002404127034994661,-0.0010209667802358188,-0.0015174932798528934,-0.0028907320560774335,-0.002645071798396898,-0.004074629789514161,-0.002467228371470291
1993M03,-0.005456580454348737,-0.001976027860762485,-9.7834781936787e-05,-0.0009971649884254494,-0.0014963780664821002,-0.002818788554814866,-0.002589913347454566,-0.003999978598188382,-0.002429083331551672
1993M04,-0.005543442171548847,-0.003293491232399282,0.0032612497502384347,-0.0004748636507365412,-0.0010349257534854573,-0.0013129674048003941,-0.0010271709364993416,-0.0028818733020817945,-0.001538435587664153
1993M05,-0.004772380669762695,-0.006023903799742332,0.0070113503815759995,0.0006161601073120807,0.0009158163447914988,0.0011926492102174726,0.0034323434073615664,-0.001161757286862822,0.00015128471186134614
1993M06,-0.004190918472153457,-0.006221558657232052,0.0025054744668599823,0.0008186255086791887,0.0003032731164583943,0.0014548737656939613,0.001199886766833867,-0.0009691701480154338,-0.0006374392066094436
1993M07,-0.0025028625206601138,-0.00821604154180197,0.007255072056367971,0.0028251365111682503,0.002432170586472819,0.0042229587257805665,0.004810894808395756,0.0008586745112528775,0.0014607503921220196
1993M08,-0.003526654108540005,-0.007161732623541621,-4.530010525197192e-05,0.00044583704022198187,-1.024370197461982e-05,0.0023774385042420075,-6.276944646908486e-05,-0.00030286624998391914,-0.001035786336412154
1993M09,-0.003946513259377194,-0.004466284936879171,-0.005297487574928455,-0.0008797714670984492,-0.0013437471884051823,-0.0002981358914903669,-0.0031469124350646527,-0.00201969272895596,-0.002674818185274929
1993M10,-0.003882054921518671,-0.005407716603750334,-0.0032078852765602744,-5.0484785946954355e-05,-0.0008346915603085497,-0.0003986787348735346,-0.002154160625743886,-0.001565961856633481,-0.0021877042956669605
