,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
1991M01,-0.0023859545655936726,-0.004706528404476161,0.0014338313487781283,0.0002110855045005602,0.0020384797615208713,-0.0017046929898751674,-0.0004495323384111638,-0.003022465918739405,-0.0011154607581077558,-0.001077915373378196
1991M02,-0.0007345254975093399,-0.004597117722324925,-0.005013705076193101,-0.0007555425227259405,-0.0017209647320069648,-0.004046880704232334,-0.0016061046522397799,-0.004733657299523528,-0.003861717806964158,-0.00300780177930223
1991M03,-0.0017368557691367372,-0.005185128466079827,0.0004126179286970739,-0.0003106797122538265,-0.0011748560449258332,-0.0024201684131766234,-0.0012160609572497458,-0.004025831950329215,-0.0034892818393058907,-0.0021273605804178475
1991M04,-0.001431082970386725,-0.005111123902063197,-0.0011109017531030943,-0.0004839136297005216,-0.0019031089182981803,-0.002820844799134045,-0.0010781555929152665,-0.004314450085650049,-0.003957959840817721,-0.002467949054674311
1991M05,-0.0015256093972610943,-0.005056370157749913,-0.0003688013969059673,-0.0004798881047142322,0.000992373810934092,-0.0027374342423737963,-0.0010447199721719644,-0.004230090347748131,-0.003983139665414817,-0.0020481866081562025
1991M06,-0.0024903496637189507,-0.0050858614817548475,0.0027381834821349244,4.1701918324227316e-05,0.003352894211597282,-0.0013734951890653707,-0.00037563667048928003,-0.003136120316366785,-0.0017035101242187962,-0.0008924659815063995
1991M07,-0.0024856109034679516,-0.005032360780597959,9.399189658942899e-05,5.191640275059071e-05,0.002073898803915287,-0.0013318414768889609,-0.0003544460913414959,-0.003080931141318682,-0.00044239681264535017,-0.0011675311225561214
1991M08,-0.0011918734771622706,-0.0048645332842942625,-0.003704947613078086,-0.0005011605960585276,-0.0008795674792508265,-0.002857102381003401,-0.0009307785215442448,-0.004231385711354775,-0.0021940049581513988,-0.0023728171135441994
1991M09,-0.0011115489607213332,-0.0050270475289313065,-0.0016605948736335434,-0.0007011354841911924,-0.0018688633732213016,-0.0032116209170334224,-0.0011759699215690169,-0.0045107238571006885,-0.00277128590407407,-0.0024487545356084305
1991M10,-0.0024625541513159234,-0.005545515266205234,0.0020115227378418306,-0.00023425051512920232,-4.900668946726766e-05,-0.0017063725784809466,-0.0007159826183527082,-0.0033565896166313264,-0.0016201801934290307,-0.0015198809879077564
1991M11,-0.0025019421511796192,-0.00554304422767295,-1.0704775935641556e-05,-0.0002068792480693715,0.0017448886085642203,-0.0016132931403503008,-0.0006683600621438235,-0.0032630161306688938,-0.000606525170698563,-0.001407652922017216
1991M12,-0.002419519220166877,-0.005479938079441663,-0.00033763635964151285,-0.00022502299859028876,0.00148943505001008,-0.001658070476593835,-0.0006926789725958581,-0.0032744205183146847,-0.0006771229611564657,-0.0014749971707212338
1992M01,-0.002010344076424277,-0.005404702147985727,-0.0012820840318897523,-0.00044649882399789133,0.0006760373097671606,-0.002073825591819055,-0.0008985062373934033,-0.0035662183287054052,-0.0012144145847107347,-0.001802284057017676
1992M02,-0.002033843420100157,-0.005707724148681542,-0.00015038295546930587,-0.00038556724820873933,0.0007691497911654864,-0.0019966821449708795,-0.0006748394914137456,-0.003484170621774841,-0.0011328777848616898,-0.001644104224923935
1992M03,-0.001274452557006611,-0.005636815741862376,-0.002443229547759148,-0.0007165424975194857,-0.0006842738511567972,-0.002870745137321052,-0.0010994845478129998,-0.00412663820116798,-0.002140045966196841,-0.002332469783089255
1992M04,-0.0011060517012934734,-0.005514554986639866,-0.0019640823039105016,-0.000890276605901317,-0.0011516279504792588,-0.0032965011418568317,-0.001319375336123278,-0.00445575165869244,-0.0027730623307539045,-0.002496809335072319
