,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1991M01,0.0014338313487781524,-0.0035934778352394985,0.0003075333676485625,-0.0006201776563503686,-0.0024724406371578727,-0.0009889462824642051
1991M02,-0.005013705076193119,-0.0034963358522145556,-0.00019409158105173355,0.00035729031868680884,-0.0037289258327674675,-0.002415153604708013
1991M03,0.0004126179286970937,-0.004013819097516722,-0.00012769404130813955,0.00015235801721318347,-0.002865068637089892,-0.0012883211660008951
1991M04,-0.0011109017531030915,-0.004446971328697863,-0.0002205763613018038,-0.0002758189064726008,-0.0034178397284384374,-0.0018944216156027594
1991M05,-0.000368801396906001,-0.004510314696586357,-0.0002788827705776733,-0.00033119061429856935,-0.004521966436726432,-0.0020022311830190063
1991M06,0.002738183482134946,-0.005011378966470423,4.266596056978717e-06,-0.0005408166535253417,-0.0032573993766176366,-0.0012134289836842954
1991M07,9.399189658942243e-05,-0.004707258829774475,2.178797764343706e-06,-0.0003700372406828882,-0.0027622792541900283,-0.0015486809260587251
1991M08,-0.003704947613078075,-0.0036806058320738395,-0.00032889988184954983,-0.0009514281993068395,-0.0036338683554904896,-0.002459949976359759
1991M09,-0.0016605948736335661,-0.0038934022500258913,-0.00034037499331846725,-0.0008179354678571821,-0.0037724738201402107,-0.0020969562809950637
1991M10,0.0020115227378418405,-0.004250050920820083,-0.00011586076160405214,-0.0010219766647192126,-0.0032521263878364046,-0.0013256983994275825
1991M11,-1.070477593562467e-05,-0.004276196099081096,-0.000282927164655128,-0.0010385689856807453,-0.0024487257408685693,-0.0016114245532442325
1991M12,-0.0003376363596415378,-0.004406831384147973,-0.0003529828786399209,-0.0006062065331982058,-0.002550835175348455,-0.0016508984661952185
1992M01,-0.0012820840318897475,-0.004158449767512719,-0.00028016087392374115,-0.0005524342093449517,-0.0026572028343018962,-0.0017860663433946114
1992M02,-0.00015038295546928706,-0.004848749713639554,-0.00026148937164746096,-0.001071166258307368,-0.0025813972165903876,-0.0017826371031308117
1992M03,-0.0024432295477591626,-0.004625074143366341,-0.0003661931794314798,-0.0011549728346857931,-0.003504332134583815,-0.002418760367965318
1992M04,-0.001964082303910491,-0.004658596871024596,-0.000505992802181264,-0.0007410549165915818,-0.003865459602953803,-0.0023470372993323477
1992M05,-0.0007333560354702537,-0.0046275919425094805,-0.0005055948626525506,-0.0007025026956082231,-0.0033258636312097326,-0.001978981833490048
1992M06,0.0002459575304897641,-0.004190825599312235,-0.0005508527174118362,-0.0007421520738933097,-0.0029034915052741526,-0.001628272873080354
1992M07,0.0018673049660260978,-0.004237222358971568,-0.000522426482622587,-0.0010047477570871717,-0.002664560522960308,-0.0013123304311231075
1992M08,-0.002992861160468158,-0.004621983874900077,-0.0006483556389101899,-0.0008203549844102316,-0.0033196551011735304,-0.002480642151972437
1992M09,-0.00014932880632647575,-0.004800336029150827,-0.0005792349462266457,-0.0011632443966364835,-0.0031695490277384194,-0.0019723386412157703
1992M10,-0.000813219089339982,-0.004380880465292591,-0.0004323600003708798,-0.0013611534524878908,-0.00306476201368765,-0.002010475004235799
1992M11,-0.002479739193859763,-0.004215457721899017,-0.000665790947205836,-0.001250545339806952,-0.0035407164132707563,-0.002430449923208465
1992M12,-0.0008310322191354062,-0.004191919279754324,-0.000643135032287429,-0.0011049019392219265,-0.003233783510667246,-0.0020009543962132663
1993M01,-0.002107942154045169,-0.004249421924789091,-0.0007181395403608466,-0.0006612075104635063,-0.003340269101821283,-0.0022153960462959793
1993M02,-0.0008249226115868153,-0.0041884373912993485,-0.0008163736368283835,-0.0010627946066312458,-0.0032962683437218997,-0.0020377593180135383
1993M03,-0.0007141309774943194,-0.004473734805105739,-0.0008147516364910552,-0.0009974737793489578,-0.0033681968561174703,-0.0020736576109115085
1993M04,0.002905449507072337,-0.004882814315626646,-0.0007851082366143101,-0.0012866551244397882,-0.0027825973523725738,-0.0013663451043961963
1993M05,0.007131554372088437,-0.005206486111245544,-5.6538295824480126e-05,-0.002081196994408359,-0.0008690656209409066,-0.00021634653006617045
1993M06,0.0007908499828633782,-0.005033062970846738,0.0001354064341137266,-0.002064727743352348,-0.0007377552223292786,-0.001381857903910252
1993M07,0.006684264171681139,-0.004597745576002794,0.0021074722361832813,-0.0017200316078733568,0.0010527457999034945,0.0007053410047783526
1993M08,-0.002623818342619256,-0.004995118310721166,0.0004782895608440386,-0.00228737325273593,0.00022785657122457287,-0.0018400327548015482
1993M09,-0.007169913864112652,-0.004828516688209074,-0.00024010391469695853,-0.002447889468074742,-0.0016138065426671581,-0.0032600460955521165
1993M10,0.002093102256763325,-0.004963567989408843,3.327609940107327e-05,-0.0018185077712675355,-0.0009962276859823383,-0.0011303850180988638
1993M11,0.0026215431615290953,-0.005289355976015264,0.00023912830313559298,-0.000691336172818689,-0.00033075915831235424,-0.0006901559684963239
1993M12,0.0035550773902977293,-0.005150566385066385,3.630994572973551e-05,-0.0008824899573895656,0.000640230728620482,-0.00036028765556160076
1994M01,0.0016860644569750786,-0.005137635418959362,0.000282919448538775,8.702406407914813e-05,0.00051896740756088,-0.000512532008361096
1994M02,-0.00020307403916553217,-0.005105166993060863,0.0003105753735945307,-0.0004165653647766472,-0.0006434078983522878,-0.0012115277843521598
1994M03,0.0014792080967062074,-0.0048923649503132376,0.0004800619348815116,-0.001721828788342554,-0.0004968649511254904,-0.0010303577316387127
1994M04,-0.001171490838575971,-0.004533565818297801,0.0004543754943465719,-0.0012102350366006173,-0.0016632945844123634,-0.0016248421567080361
1994M05,0.0014171191475408913,-0.003697563772346195,0.00046580408084756036,-0.0008081862556736261,-0.0010131711312052014,-0.0007271995861673141
1994M06,0.001209092490024846,-0.003597883403558811,0.0005284841978739349,-0.0002915587206384195,7.913622087729285e-05,-0.00041454584308423144
1994M07,0.0002145360293832173,-0.0029613092227976263,0.00045466679359807826,-4.465196112646932e-05,-0.00029486082123412246,-0.0005263238364353846
1994M08,-0.000820457225502723,-0.003234082154261594,0.00044786646547548134,-3.0234628432614428e-05,-0.0009126378449429731,-0.0009099090775328845
1994M09,0.003562247850000797,-0.003935810561545878,0.0005713684190920606,-0.00017400866681150718,-0.0006634371639921124,-0.00012792802465132804
1994M10,5.130052359641156e-05,-0.0036810121123983745,0.0005391205666308025,-0.00040381459684837525,-0.000933497504539654,-0.0008855806247118379
1994M11,-0.0012989893391855208,-0.0033887347892329355,0.0004274476070272521,-2.6596347468070806e-05,-0.0012218100117558613,-0.0011017365761230272
1994M12,-0.0018474584416895174,-0.002969304158890564,0.0005366072630591857,0.00035106656460942473,-0.0017985078714910598,-0.0011455193288805062
1995M01,0.00012723888955774496,-0.0028127691192630045,0.0004980452595133252,0.0003156831043644896,-0.0016092471193628667,-0.0006962097970380622
1995M02,-0.00028064954126734394,-0.0028447567900603283,0.0003831549947303744,0.00014316143588487582,-0.0018390804179238653,-0.0008876340637272575
1995M03,0.001147684353657526,-0.002744416797002061,0.0002981268048698708,0.0006161400185464207,-0.0017368961721621577,-0.00048387235841808025
1995M04,0.004754352555596797,-0.003052016954290869,0.0003824227555358883,3.334190589077536e-05,-0.00083523893886819,0.0002565722647728803
1995M05,-0.0004017069117372089,-0.00288659936274369,0.00030744259126849,-0.00020682606288494716,-0.0008628144343690943,-0.00081010083609329
1995M06,0.000389762355304022,-0.00278004991903452,0.00035062908275555835,-0.000627965979950892,-0.0012579684477217585,-0.000785118581729518
1995M07,-0.0003821100037545657,-0.0027576574828961854,0.0005829480416835833,-0.0005498361927740328,-0.0013509014937649105,-0.0008915114263012223
1995M08,0.000548923032833789,-0.0028829730423898295,0.0005246411188704902,-0.0006668305861330591,-0.0010954525090839798,-0.000714338397180518
1995M09,0.00042946893533171064,-0.0025146249337962266,0.0005153541606749037,-0.00048437216470041,-0.0008178198149211497,-0.0005743987634822344
1995M10,0.00017718657640999143,-0.0025468711257878693,0.0004594666278214362,0.00040339494739931916,-0.0008430305473277392,-0.00046997070429697225
1995M11,0.0006673962218944009,-0.0027443927132877804,0.0004657763893450031,0.0001813110184638714,-0.0007222172848628763,-0.0004304252736894762
1995M12,0.0004127746078454095,-0.002973401618249781,0.0004627384993282398,0.00016167822004362534,-0.0008293245053538865,-0.0005531069592772785
1996M01,0.0035714267638579694,-0.0030724444042146853,0.00046684354040207095,-0.000424579683909044,-0.0007495564727810712,-4.1662051328952016e-05
1996M02,0.0021913681332861837,-0.0031286940852783248,0.0005207964650110072,-0.0005893623754072438,-0.00031937194020641515,-0.00026505276051895857
1996M03,-0.0013367455361320986,-0.0029813869092151554,0.0004576632758785353,-0.0003391460822059131,-0.0007039302693406242,-0.000980709104203051
1996M04,-0.00041072482883188974,-0.0024580134700056488,0.0006638151757566239,-0.0002581024397218547,-0.0007796481665875155,-0.000648534745878057
1996M05,0.0001539239318989149,-0.0025315978482213686,0.000764996566397044,-0.00015618707591603535,-0.000856511489635689,-0.0005250751830954268
1996M06,-0.0014698306832491728,-0.0024453533199059406,0.0006018010896116505,0.00011255940489867545,-0.001213643011424167,-0.0008828933040137911
1996M07,-0.0002607894499314531,-0.002497783568662174,0.0005298513551859813,0.0008439284966210351,-0.0012926086058882124,-0.0005354803545349647
1996M08,0.0013536653205167195,-0.0025124045857054843,0.0005204826899289397,0.001032674215447241,-0.0011285225786431847,-0.00014682098769115378
1996M09,-0.0007892223868528057,-0.0024457350903273785,0.000397178212927292,0.0007558934134580498,-0.0013375895103550886,-0.0006838950722299863
1996M10,-0.00045825773587974196,-0.0024243711511401957,0.00035440591996516825,0.0006522341396636139,-0.0018539418209949613,-0.0007459861296772233
1996M11,-0.0006721941916778983,-0.0023408640149970347,0.0003993213889042846,0.0006942879179574514,-0.0022207931255852935,-0.0008280484050796983
