,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1991M01,0.004229645734326585,-0.0005040548235166169,0.0012067786180504094,-0.002079533456710338,0.004821689366506933,0.00038461287817974105,0.005106134867901729,-0.0015808198265702294,0.0014480566697710265
1991M02,0.004295820923180722,-0.00041982345568258845,0.0014642853514494174,-0.0013498642169456395,0.004990197114392232,0.00045872215709535734,0.006177353077527698,-0.0014459479134632833,0.0017713428796942393
1991M03,0.004786240993593347,-0.0006419184814537462,0.0037601539360773957,-0.0020157275372499547,0.004261621412633651,0.00020343745075688407,0.005627257455922133,-0.001939473632804021,0.0017551989496844608
1991M04,0.00770308934746034,0.001010331796726735,0.010353757522556465,0.003434325990468845,0.009280188378082126,0.002089769220886242,0.009150887942352071,0.000650636377943352,0.005459123322059523
1991M05,0.0067807695647769,0.0005180707999796047,0.003064461599967635,0.0018458766570013739,0.00620889620815178,0.00154810600323174,0.0069548198218487975,-6.728010448270013e-05,0.0033567150688093915
1991M06,0.009805792483254947,0.002195374140622192,0.010155680052375798,0.007486511360146813,0.012002360970883925,0.00339054576206824,0.0110453873171385,0.002473427823766995,0.007319384988782175
1991M07,0.007392338511265384,0.0020167501920862977,0.004394414110240665,0.003686824773628425,0.0072573737417310595,0.0031817828824262356,0.007721934751085183,0.002210766511020182,0.004732773184185429
1991M08,0.007835587617283644,0.0022720287089400557,0.005602382680195911,0.004649476521081532,0.008202062078053145,0.0034711594295142954,0.008355945403571622,0.0026189705552710123,0.005375951624238902
1991M09,0.00846733964102723,0.0027201938284033525,0.0071843045534433145,0.0015418521565776554,0.009460884267268224,0.003992982746254923,0.00922562601726389,0.003333189235131779,0.005740796555671297
1991M10,0.007023194109217755,0.0024377736551530246,0.003862147463841159,0.0005852077068119414,0.0067098678044438444,0.0027754532375763525,0.0072713334090920454,0.0029003334593752307,0.0041956638556889195
1991M11,0.0045401353846101725,0.0011372187360763988,-0.0018614186675361254,-0.0050323674617026104,0.002031709948862142,0.0012802252567858648,0.0039380320906184825,0.0009007246875858109,0.0008667824969125169
1991M12,0.004191198999249007,0.0009456964729795707,-0.0025972931382692082,-0.0019405993982961152,0.0014130287904509757,0.0004601365730080841,0.0034835959510907573,0.0006240773661157837,0.0008224802020411069
