,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1992M04,-0.004066182269745685,-0.004026165252633421,0.009649057598339205,-0.0012712868583067034,-0.005922327879869638,-0.004610699079969147,-0.00498526184184152,-0.004838366785289222,-0.002508904046164516
1992M05,-0.0038482869345996635,-0.003443208608135855,0.010634963866469425,0.004433178973480684,-0.00309459076661207,-0.004337294435639095,-0.004776945323775749,-0.004601913017643004,-0.0011292620308069158
1992M06,-0.003527086746744305,-0.0028931728257691625,0.011535888168171178,0.010603811852058997,0.0009056638012991183,-0.0039976846866668445,-0.004513918770724026,-0.0043685506579342745,0.00046811876671133516
1992M07,-0.0036629339004641817,-0.003134537902400381,-0.00030562205761536145,-0.000539990296680181,-0.0016125346467243768,-0.004142032879954455,-0.004603191941462192,-0.004440559618841976,-0.0028051754055178884
1992M08,-0.003673862298449621,-0.003198116711496822,-0.0017419761028575394,-0.006882126649418225,-0.001939587609587679,-0.004156159664972835,-0.004766383407006094,-0.004433970635161189,-0.003849022884868751
1992M09,-0.003407523520789631,-0.002787894954571588,0.004352325439986578,-0.003944106675545269,-0.0004587513146818387,-0.003878526220522007,-0.0045735589378680976,-0.004252449951894772,-0.0023688107669858284
1992M10,-0.003337579348834062,-0.002723346699319397,0.004359175114920155,-0.0034661696921605084,-0.0004095229918145149,-0.003647085111010638,-0.004464326114706428,-0.004193409286160312,-0.0022352830161357132
1992M11,-0.0038455542734559664,-0.0032642213890119935,-0.005381028062284103,-0.010282479011946042,-0.0027173703725989332,-0.003790692678963378,-0.004806169897397678,-0.004373326382973586,-0.00480760525857896
1992M12,-0.0040955178086927195,-0.0036967424627937823,-0.013019671155129633,-0.014350781511141934,-0.004414435095724673,-0.004151539071875755,-0.004922950788504771,-0.004452696765130117,-0.006638041832374174
1993M01,-0.0041632752264253,-0.004171905358296175,-0.020327889592512804,-0.014439514640790657,-0.005989848561766744,-0.0046904655092577414,-0.0049582479457364725,-0.0042249654057818775,-0.007870764030070972
1993M02,-0.004085885834388516,-0.0037860319646207704,-0.006990126993656814,-0.005608484444609829,-0.004957182363717068,-0.004366872404723278,-0.004883032901616753,-0.00424335880987926,-0.004865121964651536
1993M03,-0.003957270696995412,-0.003366949661201907,0.006415726041983488,-0.0008559876152438393,-0.0035753942386443772,-0.004075020636075146,-0.004785538609037083,-0.004127004174594355,-0.002290929948726079
1993M04,-0.0039061116056803183,-0.003312183721034877,0.0037333714553914464,-0.00045054577669659604,-0.0034340649521788016,-0.004024309194623704,-0.004736286906171778,-0.004090827923069545,-0.002527619828008022
1993M05,-0.003920457608102211,-0.0034250606040362942,0.0006924650932366924,-0.005522500276004716,-0.0024419638245655752,-0.004083213502411756,-0.004727285931674549,-0.0040644109320208946,-0.003436553448197413
1993M06,-0.003981461128154714,-0.003883015172121217,-0.006812399651230598,-0.014258429337846015,-0.003455115439415587,-0.004341240972312924,-0.0047446777075794,-0.004096301786130815,-0.005696580149348909
1993M07,-0.00397382159450148,-0.004293955310169526,-0.012066217352261474,-0.01287529507692987,-0.0045628760506612,-0.0045753827914815455,-0.004730637934208109,-0.00419538368474876,-0.006409196224370245
1993M08,-0.003939265967822671,-0.004092151763566796,-0.008608159855374059,-0.00810011174040207,-0.004318347535499427,-0.004500032402593389,-0.005085112367798456,-0.004285447114051743,-0.005366078593388576
1993M09,-0.003921066289488597,-0.004490124218085398,-0.006536305182481518,-0.012021125089527476,-0.005362623896272201,-0.004725855820775713,-0.005231795966342757,-0.004382850643430467,-0.005833968388300517
1993M10,-0.003884565681660618,-0.004181151311633252,-0.0002938188651120848,-0.007277274338211745,-0.004880592158789388,-0.004584211111998896,-0.005186071104546915,-0.004421550686308427,-0.004338654407282666
1993M11,-0.004284051963689027,-0.004892955847326319,-0.008910036121000081,-0.01394440925944894,-0.006258440582144922,-0.0049926801559633345,-0.005153757113420029,-0.004619771004228127,-0.006632012755902597
1993M12,-0.004455443427134737,-0.006084268893474606,-0.017679737770409026,-0.018385779717790717,-0.007513565934877845,-0.005864939560552528,-0.005141187043463672,-0.005458662068075246,-0.008822948051972297
1994M01,-0.00439447401882849,-0.005014757484857117,-0.012749524738258545,-0.00580176259586019,-0.0057012854939209314,-0.005294625695676668,-0.005046441765334736,-0.005319290643916345,-0.006165270304581628
1994M02,-0.004360408406056828,-0.004996839847995783,-0.004866471794543715,-0.006024359520693381,-0.00573137471063803,-0.005271326635125507,-0.005129937272321488,-0.0052828164292622335,-0.005207941827079621
1994M03,-0.004333375046776243,-0.0053412245435875355,-0.002562905879415636,-0.009352444143086398,-0.006112842758872354,-0.005466590996042695,-0.005458499029780586,-0.005370776133480532,-0.005499832316380247
1994M04,-0.004295614239169672,-0.004586356819332697,0.005294333569966959,-0.0031778248534173993,-0.00441129628578887,-0.005005873588231122,-0.005673517621554358,-0.005090841216522922,-0.00336837388175626
1994M05,-0.004436753145488704,-0.0040399158157143926,0.00983177327768816,0.002672176317838197,-0.0013629864769874097,-0.004663552312509834,-0.0056301775590350146,-0.0049676397076930745,-0.001574634427737759
1994M06,-0.004778700267102505,-0.0037321476335260345,0.007241308428002369,0.006296351076207416,-0.0008744370065470598,-0.004427294437742183,-0.005648981901024043,-0.004894894482065383,-0.0013523495279746777
1994M07,-0.004751624915218455,-0.003296262346803529,0.009567765925699355,0.005757818189774581,-2.436967335825999e-06,-0.004026030326149053,-0.005333779347960583,-0.004769551493497677,-0.0008567626601863984
1994M08,-0.004817768276250847,-0.003773414245027289,-0.005228220080435395,-0.006301509663125197,-0.003156654521683193,-0.004462353185852486,-0.005317982312248825,-0.00484997247138154,-0.004738484344500596
1994M09,-0.004785155953666252,-0.004200201774646989,-0.013408903852031943,-0.01489189034386183,-0.004885277258126467,-0.004730027759941755,-0.005295309640173533,-0.004832341890448261,-0.007128638559112128
1994M10,-0.004781973663552546,-0.003929423468810002,-0.009023514429494728,-0.005443468672681282,-0.003962146199527757,-0.004469762667315058,-0.00527734315683948,-0.004795837271443804,-0.0052104336912080825
1994M11,-0.004723995231564328,-0.0035666980831668325,0.005180651482540981,-0.0004238837191744499,-0.002556442418619697,-0.004209228977346364,-0.0052204111792290625,-0.004771599417950097,-0.0025364509430637313
1994M12,-0.004722758171453662,-0.0038825915146229882,-0.0040768282314749054,-0.005659663769182403,-0.003996668788811035,-0.004372818624333137,-0.005213339739400244,-0.004725915080063583,-0.0045813229899177455
1995M01,-0.004691804151279042,-0.0036735739743989195,-0.0003742468915782183,-0.005568030434975738,-0.003190910397472984,-0.0042309064712369145,-0.005180843289866401,-0.004331488427246098,-0.003905225504756789
1995M02,-0.004616896236084476,-0.0034560692452356304,0.003604861282256043,-0.0024672281283847405,-0.0013905110497555212,-0.004103902672716525,-0.005114226964776854,-0.004205761388576274,-0.0027187168004092475
1995M03,-0.004576827926226185,-0.003461480314279726,0.002077844505286462,-0.002919562616425911,-0.0016741305363528174,-0.004091049576325903,-0.005074623230909273,-0.004172654115467233,-0.0029865604763375728
1995M04,-0.004211157814836649,-0.002879830416772331,0.013929064741008825,0.0034553438100535586,0.0011481043069889235,-0.0037153678458613977,-0.004765004520089092,-0.004266326093575252,-0.0001631467291354268
1995M05,-0.003949638719307328,-0.0029402782568056294,0.0018467573791752232,1.59718063834002e-05,-0.0011867124782787633,-0.0037228434564553006,-0.0045257114601041926,-0.004226551646730273,-0.0023361258540153577
