,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
1991M01,-0.0021185657037897355,0.0019080241582353783,0.0020563737432717274,-0.0011755098344611297,0.002261784128915988,-0.0012090510720723009,0.0029562639103613035,-0.0034403433493577357,0.0013368261637023622,0.00028620023831176194
1991M02,-0.001513676548033433,0.00259796593845651,0.0031769820618273337,0.00014974176777366593,0.004744522428932639,-0.0004034472306696374,0.00471053581241728,-0.002349237379167212,0.0025131852840612904,0.0015140635706220483
1991M03,-0.000880933414122246,0.0033837721211381526,0.0036681132735363977,0.0013546012654762126,0.005045098337373164,0.0004667421519672292,0.005342360740062005,-0.0011789297259603418,0.004455635065382139,0.0024062733127614127
1991M04,-0.001491390993581913,0.002487898223392786,-0.0037736746966920984,-0.001005293575620587,0.000978466775434273,-0.00042806735218978175,0.0031058206555667147,-0.002337031137971537,0.003202373549070045,8.212238304532252e-05
1991M05,-0.002672573998760009,0.0015388210508542263,-0.007071012008604071,-0.004986312115778991,-0.0027960367319750817,-0.0021023971211713874,0.0010419298089517342,-0.0045162378494658095,0.0017782049898719713,-0.002198401552897491
1991M06,-0.0020733366341202683,0.002936979134227789,0.0022112676389921975,-0.0013321634388772533,-0.0014862617699401997,-0.0012814797014544849,0.001707848825379779,-0.0034034162429555084,0.0022084547213176327,-5.690082971447958e-05
1991M07,-0.002610465638042478,0.0021978909772773446,-0.003336726673000164,-0.002610849671891344,-0.0012776307411493694,-0.002057718404259141,0.0007670251419772483,-0.004390087686232714,0.0015693210373760496,-0.001305471295327174
1991M08,-0.0014808454341460144,0.003372708281467913,0.00535427594041549,-4.62950654925502e-05,0.004079956400360752,-0.0004928994052478754,0.0023480312025838997,-0.002306802459378739,0.0026048770013788534,0.0014925562735490809
1991M09,-0.0009938283311273408,0.003971679099202973,0.0027996376586940136,0.0010850832607431494,0.0044151678476412985,0.00017830283978632054,0.003158769761301289,-0.0014004241341837886,0.0031385100039052266,0.001816988667329238
1991M10,-0.0009112194090702824,0.004013221951563371,0.00042561732898779,0.0012511879408922534,0.0031254296232076325,0.0002787922611581135,0.004062129124341369,-0.0012507618657610444,0.0031857698939047256,0.0015755740943582145
1991M11,-0.0013269609241988028,0.003347894163274295,-0.0026974115809266144,-0.001845315623235687,0.001400317090764726,-0.0003409025223288268,0.003099615725560021,-0.0020498141265969283,0.002612193487863279,0.00024440174335282905
1991M12,-0.0013896745717304662,0.0031950692119356943,-0.000550217268170179,-0.0022509441752281904,0.00112136500186113,-0.0004518249634993005,0.0029223725518200934,-0.0021766344657075673,0.002486590784468133,0.0003229002339721497
1992M01,-0.0006987070446249559,0.00408559119265726,0.0041715347062999805,-0.0003826490355354046,0.003405240348911002,0.0005268047741774184,0.0041204753688321655,-0.0008701663720479431,0.0036995029481575238,0.0020064029874252275
1992M02,-0.000917360463380901,0.0036947177567321758,-0.0014549172334418425,-0.0009486418552010773,0.002024795054117072,-0.0009184460062517414,0.003362786179425868,-0.0012988239085541674,0.003179799496889686,0.0007471010022594525
1992M03,-0.000982671003999324,0.003535635464435853,-0.0005040380317473548,-0.0011297840484065607,0.0017429635463079233,-0.0010485554363436787,0.0031837181120641152,-0.0014312982211546628,0.0030418201342217077,0.0007119767239308909
1992M04,-0.0017195958809528107,0.002753353220109828,-0.004740554585667083,-0.0038030428374033406,-0.0008087143534184649,-0.0021635224501211922,0.00181247413414347,-0.0028439309926999836,0.002110145404071376,-0.0010448209268820222
