,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1991M01,-0.051228079109586315,-0.004148558630072628,-0.028715003674232326,-0.014839415011110477,-0.01038216752750136,-0.021862644790500624
1991M02,-0.06654976958931265,-0.004351553882717685,-0.04672616684136639,0.008120966705868746,-0.010044233280912602,-0.023910151377688114
1991M03,-0.0030818190151751593,-0.005672253615199504,-0.03161938355791784,0.018316985536652813,-0.011300777898583598,-0.006671449710044658
1991M04,-0.0043646689587715035,-0.006978199506514274,-0.019135540945982042,0.020110688595996455,-0.008531082970643148,-0.0037797607571829024
1991M05,-0.002582692126238897,-0.00684576318286719,-0.004930574677279512,0.01592434802650547,0.002185630941569307,0.0007501897963378355
1991M06,-0.021563136159941328,-0.007366493833146815,-0.00950179871068296,0.009298628748801876,0.008086537271471003,-0.004209252536699644
1991M07,0.013934762854193823,-0.006018204346091906,-0.0047931086154585365,0.0021731459702896225,0.01047372104704685,0.003154063381995971
1991M08,0.004120676716636218,4.022541667766423e-06,-0.003087488237213319,-0.005973961085554656,0.008275020663797811,0.0006676541198667639
1991M09,0.013994521391266721,0.003736280574526487,0.005254906931510919,-0.0075681004025927945,0.0034086856031507254,0.0037652588195724117
1991M10,0.021801251710171908,0.00543236597975171,0.0076750610484280606,-0.009868686040042977,-0.0032127727778504186,0.004365443984091657
1991M11,-0.013346445960615932,0.003695985672751515,0.002902737498106287,-0.008767678889018575,-0.008606454988310072,-0.004824371333417355
1991M12,-0.04022512266656415,0.0004521887634178637,-0.01013536053332735,-0.00743821380050144,-0.005681907219227284,-0.012605683091240475
1992M01,-0.019591550839907372,-0.0018531216803663428,-0.019408961348944934,-0.003506695502243386,-0.004425983819605659,-0.009757262638213537
1992M02,-0.00523109035453014,-0.004026694168897374,-0.01719383801604897,-0.002374655180838907,-0.004192207080898789,-0.006603696960242836
1992M03,-0.008382929011449282,-0.003963558608274619,-0.01013734087555946,0.00029366012732222856,-0.005740039585196454,-0.005586041590631518
1992M04,0.021193574622359383,-0.004250479791873652,-0.0007154403596497487,0.0009959066167105936,-0.005876834808539275,0.00226934525580146
1992M05,0.014179733413324373,-0.004392582009922678,0.0037873047462185323,-0.002280934036501108,-0.006479651737989187,0.0009627740750259867
1992M06,0.01544986626588873,-0.0051269829973389636,0.009353475801669895,-0.009322628460087152,-0.0060886152017191305,0.0008530230816826757
1992M07,-0.010489819766647932,-0.004481142519378489,0.0018051943845398236,-0.010632862983967479,-0.00281719631798031,-0.005323165440686877
1992M08,-0.004896990393539593,-0.0041835942607897575,-0.0024179390374938995,-0.010562340768569767,-0.0038105337839527266,-0.005174279648869148
1992M09,0.011436566461082702,-0.0036920410992460065,-0.002936102774751852,-0.012539894535632416,-0.008978366034895746,-0.0033419675966886637
1992M10,-0.0002963547173893842,-0.0028648190382682555,-0.0007266077521878361,-0.009377245844847625,-0.010804390811050679,-0.004813883632748756
1992M11,-0.021449343515530437,-0.00304021938077269,-0.004735280237718918,-0.005054728526743925,-0.009539876337224671,-0.008763889599598128
1992M12,-0.018776817207752698,-0.0041491237211867885,-0.011429982158977524,-0.0008469920579359932,-0.008727192065321356,-0.008786021442234872
1993M01,-0.0182549444155983,-0.004542105553499195,-0.015497503199662904,-0.000276962556003511,-0.0045584379715473316,-0.00862599073926225
1993M02,0.007524982947031595,-0.004697137827593101,-0.008710826573215914,-0.0017379498452841217,-0.0035634244263248243,-0.002236871145077273
1993M03,0.011642246037339939,-0.004946336324068006,-0.0019946889372816808,-0.0014676829649369755,-0.002827238263815312,8.125990944759287e-05
1993M04,-0.0007409252397295302,-0.004127512126136672,0.001611148204111687,-0.0014094820874780054,-0.003916537304137413,-0.0017166617106739869
1993M05,-0.007465913135742476,-0.0035150265400283242,-0.0017094601261720493,-0.00344716323591912,-0.0037276140840063884,-0.003973035424373671
1993M06,-0.01883653421313125,-0.002748834764232536,-0.008294382197006638,-0.0037869485540679352,-0.0006455178987314078,-0.0068624435254339535
1993M07,-0.014149780186808101,-0.0029237701879568007,-0.011184889673166741,-0.004565115012619873,0.0005354221485178489,-0.006457626582406733
1993M08,-2.6710177823223262e-05,-0.003012208205944701,-0.009421763087343223,-0.003477072722965035,-0.0019004068743447991,-0.0035676322136841965
1993M09,-0.013773862980905539,-0.0024932828770359307,-0.008523057877255713,-0.00033403430431922475,-0.0027579900421581165,-0.005576445616334904
1993M10,0.002358486118215447,-0.0024344519129065184,-0.004946157316759356,-0.0006925912300372525,-0.004962595115865248,-0.0021354618914705857
1993M11,-0.021726539180284055,-0.002980206748843508,-0.009745738004770625,0.0006865365129632159,-0.002049216182339884,-0.007163032720654971
1993M12,-0.029061104343651875,-0.0034521129463388157,-0.01336968165349061,0.0011773502340254325,0.00172854400877797,-0.00859540094013558
1994M01,0.00766593170144987,-0.0038240518614241856,-0.011718424274496174,-0.0014357164707346276,0.0010410385893961172,-0.0016542444631618004
1994M02,-0.0034637374692492793,-0.0035172111630368606,-0.007821522719600961,-0.0010520920897120409,0.00046578421519243886,-0.0030777558452813403
1994M03,-0.012418084571507735,-0.0031095526169269533,-0.004594060087221842,-0.0014916550281301273,-0.000607078141527777,-0.004444086089062887
1994M04,0.01479297256251191,-0.0029950012715558405,-0.0027207314737369855,-0.0027844450255581025,-0.0034730394333851115,0.0005639510716551738
1994M05,0.014340171963679845,-0.0032518274921772327,0.0013228008813841127,-0.0072271725991340015,-0.0047780873193847394,8.117708687359649e-05
