,osc12_5.csv,osc1_5.csv,osc3_5.csv,osc6_5.csv,osc9_5.csv,average
1991M01,0.0019787003412524637,0.013567140718026538,-0.012025266867835104,-0.0008795913954026541,0.0014863741057955394,0.0008254713803673566
1991M02,0.002395364276055075,-0.006752528866523768,-0.011435541671074995,-0.007046618430836605,0.0010533364750714789,-0.004357197643461763
1991M03,-0.0013516301752793738,-0.006750187643754151,-0.009419928673851618,-0.016018435788572576,0.00114294177555572,-0.0064794481011804005
1991M04,-0.001829332247760291,-0.00694803011706128,-0.012007536392366321,-0.016041406233425225,-0.0006030529015147411,-0.007485871578425571
1991M05,-0.004651056020915369,-0.007959695420596342,-0.01331930210552907,-0.01769471786496057,-0.007481474461596953,-0.01022124917471966
1991M06,-0.005057505059748767,-0.00819517702913544,-0.013521194340488322,-0.01776638086848448,-0.014213003159353024,-0.011750652091442007
1991M07,-0.005588176322062341,0.013252392247740706,-0.00931662378883637,-0.01364593233060404,-0.011910590208526573,-0.0054417860804577235
1991M08,-0.011387760569709526,-0.007856120508544758,-0.006039345121091567,-0.014125253512252828,-0.01143076992057971,-0.010167849926435678
1991M09,-0.018011690343253242,-0.007861687583832233,-0.0035467099826905716,-0.013989763916941445,-0.01078026182470364,-0.010838022730284225
1991M10,-0.017840621317288752,-0.008056235723931184,-0.013366811640534531,-0.014124412074996616,-0.011489134869128921,-0.012975443125176001
1991M11,-0.01625428843003152,-0.007928149356916067,-0.013070521484581647,-0.011174266003970468,-0.011090036903330856,-0.011903452435766109
1991M12,-0.016610741621813977,-0.008292095395691779,-0.013459493913391725,-0.012047698985698772,-0.011935202360464501,-0.01246904645541215
1992M01,-0.014014267211149308,0.012663401008187367,-0.004776303484762594,-0.012071742275736309,-0.009398952335424702,-0.005519572859777109
1992M02,-0.007339906244103888,0.013199657892958062,0.00697462865756149,0.0017845568783641588,-0.0002466417021255562,0.002874459096530853
1992M03,-0.006086142033535209,0.013100788036714392,0.01797029500981865,0.0044787793995624044,0.0024247141248475226,0.006377686907481553
1992M04,-0.0035724101155640876,0.013145046386577845,0.01791564900097886,0.010735585896524385,0.0029154955060259977,0.0082278733349086
1992M05,0.0005920808513457023,-0.007986406438048613,0.017278707631544044,0.01058091283143207,0.004884658830639689,0.0050699907413825785
1992M06,0.0028762654531288307,0.012915370460024236,0.016885804144626516,0.020599964153509006,0.006132678610411326,0.011882016564339983
1992M07,0.005744093859978254,0.013429012581037148,0.017626759806900417,0.02126627013569652,0.012115234409288137,0.014036274158580095
1992M08,0.007426672997889194,-0.007828670541056735,0.015760867760372964,0.019291638060897225,0.011468427796584345,0.009223787214937398
1992M09,0.004635128783734493,-0.008153201997386797,0.004376108660355942,0.0075556430406927035,0.010608467464030526,0.003804429190285373
1992M10,-1.1221599246005742e-07,-0.009141941691199069,-0.012433189814524783,-0.004854415088307813,0.002332566521781364,-0.0048194184576485525
1992M11,-0.0019435879626264526,-0.009523320544062198,-0.012898938689672429,-0.007007342520893871,-0.0023222878112486994,-0.00673909550570073
1992M12,0.0011508094484982186,0.013163873730114493,-0.006948456512731525,-0.003949018728332204,-0.0008070660280535737,0.0005220283818990817
1993M01,0.00025616503884284825,-0.009005997001124645,-0.001231412270141714,-0.010176951960327854,-0.0021538214684695915,-0.004462403532244192
1993M02,-0.002830599984465238,-0.008981260916307372,0.0065450590747373645,-0.010241663098929363,-0.0024516688485205444,-0.003592026754697031
