,mva1_12.csv,mva1_3.csv,mva1_6.csv,mva1_9.csv,mva3_12.csv,mva3_6.csv,mva3_9.csv,mva6_12.csv,mva6_9.csv,mva9_12.csv,average
1991M01,-0.0049837854068259,-0.009011797058445306,-0.00718187765197157,-0.005543626498302066,-0.0038914467265254104,-0.003322924630641411,-0.0032680969600952163,-0.004841571750580491,-0.0036053689766867574,-0.005327669826965596,-0.005097816548703972
1991M02,-0.005656331676642921,-0.010847901238236141,-0.007908633080904429,-0.005822466004141865,-0.0036254312996424195,-0.0034791376780343264,-0.0034191703263140917,-0.00394925506049602,-0.003959734819703765,-0.002808758558110608,-0.005147681974222659
1991M03,-0.00481835168036009,-7.761907858946102e-05,-0.00414137567161216,-0.004542033551327003,-0.0032307842132641355,-0.003246558769339916,-0.003134019919187015,-0.003099433044472525,-0.0026719731817798826,-0.0031713784082752503,-0.0032133527518207437
1991M04,-0.0054591645351494454,-0.006133508116174703,-0.0053570006071423934,-0.005844038107256888,-0.003477592085672524,-0.0033027078978131812,-0.0033355321017946413,-0.0028423688677987843,-0.0020131770617635948,-0.003933582786248977,-0.004169867216681512
1991M05,-0.006245551896252345,-0.012780268881114982,-0.007759775367694764,-0.007266063395264633,-0.003767563037314215,-0.0035876899083808257,-0.0036158907198548733,-0.0032110145785829826,-0.002279899387065991,-0.004475435105581653,-0.005498915227710727
1991M06,-0.007413274187981742,-0.015130237530786394,-0.009748858832488778,-0.008598038049192309,-0.0035718197123687603,-0.004124314037403903,-0.003899382321856849,-0.0026665924380216265,-0.0025190423314141504,-0.0030390573914662075,-0.006071061683298072
1991M07,-0.008876900725090137,-0.01775911290468391,-0.012637529613149458,-0.010362562022046183,-0.0034982698580642946,-0.004963522415317014,-0.004304278137948978,-0.002508751439098181,-0.0029953997698459705,-0.001986787154804679,-0.0069893114040048806
1991M08,-0.007609564759053391,-0.004231344413893403,-0.008526763314694801,-0.008157097331502746,-0.0030546590080807725,-0.004834613343655484,-0.004027593285682458,-0.0020695368268525294,-0.002646974358689322,-0.001574903941684149,-0.004673305058378906
1991M09,-0.004335351476637928,0.016895168476969993,0.0012713144660953398,-0.0025456093499152737,-0.0027084399928670165,-0.003364538684729778,-0.003240283787198278,-0.001381900433350635,-0.0019490282733408636,-0.0009295981884807087,-0.00022882672434551473
1991M10,-0.004981554784397799,-0.0007683179574536139,-0.0012102938845275444,-0.0039033359484720617,-0.0039204246577811954,-0.003141938173450301,-0.0038135167357171962,-0.0019723038841441844,-0.0022289750268063707,-0.0018911696189719187,-0.002783183067172218
