,osc12_5.csv,osc1_5.csv,osc3_5.csv,osc6_5.csv,osc9_5.csv,average
1991M01,0.0016567725606156873,-0.007043002887117734,-0.0027508582099950362,-0.00102982050023479,-0.0004375650703399535,-0.0019208948214143654
1991M02,0.0009870305682492865,0.01028846531393726,-0.007563197770250624,0.0016580821992656291,0.0024298861562076415,0.0015600532934818385
1991M03,0.0010930314835479143,-0.006873961605991523,-0.005687833153298658,0.0012254518023256692,-0.0008974345539228849,-0.002228149205467897
1991M04,0.002736191748705533,0.010048733072618724,0.00872781014195551,0.004389750485545651,0.003131377144452335,0.005806772518655551
1991M05,0.0033145821983133835,-0.006161354738787017,0.004783525808216525,0.0017430822708832724,0.003697974100157854,0.0014755619277568035
1991M06,0.004011731824998834,0.009729534014288674,0.008496100339682143,0.007386070817123287,0.0063022210786022066,0.007185131614939029
1991M07,0.003778721348308733,-0.005389230225998201,0.005695479948188461,0.0071475871149704875,0.005333658872008236,0.003313243411495544
1991M08,0.004551531364159968,0.009516596106272725,0.009241273052192866,0.007328859136322031,0.005233753359323471,0.0071744026036542115
1991M09,0.0049026585342523315,0.009527748228547022,0.00760567822226281,0.00832037595531608,0.007657105961718893,0.0076027133804194265
1991M10,0.004329822237018071,-0.0051721711463682245,0.005783668898789853,0.005921260354172773,0.007055300007768848,0.003583576070276264
1991M11,0.0028792293974752815,-0.005587960921426234,-0.0035477683235010425,0.0029899986539047843,0.0037854776242715353,0.00010379528614486485
1991M12,0.003154092053784585,-0.005550768187371899,-0.00782806962086324,-0.0016837963690361215,0.0037290539525990304,-0.0016358976341775285
1992M01,0.003393193056495435,0.009288146824307973,-0.004794956432446044,-0.00022795218696237962,0.0024012749294102242,0.002011941238161042
1992M02,0.003896706003240387,0.009451159643970482,0.00784812357021231,0.0018786907950974372,0.004526058398626415,0.005520147682229406
1992M03,0.0036657452622201733,-0.005347325061829736,0.005911867906209778,-0.00023089651273156594,0.0014874505491947673,0.0010973684286126834
1992M04,0.0036703270671445644,0.009192734948414692,0.007189898116248558,0.002681866107987157,0.0034478454977141682,0.005236534347501829
1992M05,0.0043008362729747935,0.009261750591791629,0.006911423864231278,0.007458442513006544,0.004015916718286621,0.006389673992058173
1992M06,0.003388115453989136,-0.004908002081762756,0.007449260204879504,0.006925209469050355,0.002866268811768485,0.003144170371584944
1992M07,0.003328547303673714,-0.0048782651844110105,0.0033088721191593066,0.005987655859635936,0.003004678907303775,0.002150297801072344
