,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1991M01,0.00453772875276173,-0.002617852669736639,0.005721065916090325,2.258963923730496e-05,0.004766810489729302,-0.001162028338936891,0.0025491821576347144,-0.0031538140486618285,0.0013329602372647523
1991M02,0.006756291255627247,-0.001453543816892737,0.007229025495687168,0.0020813765648953087,0.007557021974824444,0.0006642837749296104,0.004220758150711472,-0.0012646101588061195,0.0032238254051220492
1991M03,0.00856212648602193,-0.0004302197948227817,0.007145344645064276,0.0032902474421886785,0.007599788248128195,0.0023263366685643072,0.006800039977671661,0.0004312091247186192,0.00446560909969186
1991M04,0.005380175300447711,-0.002016290455847629,-0.0009299556841622959,-0.0018003592458555912,0.0029155291827620126,-0.0003467238904719563,0.003504553417211691,-0.002244564182201905,0.0005577955552352545
1991M05,0.0032767619701575337,-0.003505050728008251,-0.00538511649786381,-0.005380311953322714,0.00038879419799670717,-0.0027669638390819267,0.001770649966018608,-0.0047047347810628155,-0.0020382464581458334
1991M06,0.0038595736482465648,-0.0033155913803552023,-0.004929393030516108,-0.0025439802064534233,0.0005997080821500697,-0.0031315329068627414,0.001894254678777697,-0.004418946710424093,-0.0014982384781796546
1991M07,0.00305166498273158,-0.0037370791343274428,-0.0015842246786171607,-0.003348143053801829,-0.00015090584831855755,-0.004101376502864303,0.0013848444778120283,-0.005122461578226671,-0.0017009601669515444
1991M08,0.0053448040223007635,-0.002266984976389422,0.006362440979748701,-0.0002783067635030419,0.0021158211922954156,-0.001317732465055072,0.002864624352651648,-0.0027485991554965492,0.0012595083983190554
1991M09,0.005058367912269253,-0.0023614206427709783,0.0033000958952342794,-0.0004995068647892669,0.001888586009222031,-0.001503509140750707,0.002693532772654501,-0.0033181578484182744,0.0006572485115813545
1991M10,0.0060152144968466815,-0.001752472326003742,0.005036074900060897,0.0005636289533019088,0.005312129677577782,-0.0005484532035626381,0.003321889822368503,-0.0023133596269246997,0.0019543315867080863
1991M11,0.005756322097706391,-0.0018286690509310723,0.003359399570905565,-0.0016693759665183149,0.00502371968917832,-0.0007017972412586564,0.003169234381688409,-0.0024505457289602695,0.0013322859689762967
1991M12,0.005599140981079791,-0.0020627883035213403,0.003188006149716523,-0.001736447334912847,0.004879602806622269,-0.0007676576798657246,0.0030812798921702744,-0.002498025273210119,0.0012103889047598536
1992M01,0.008265599503355465,-0.0005487737180348245,0.007873452891507395,0.0003501257754862431,0.007528858747587697,0.0016984749399759267,0.00635302508479787,3.556932001759841e-05,0.003944541568086671
