,agriculture,beverages,energy,food,metals,non,precious,raw
Training,75.7858,67.5118,63.8395,65.8268,70.8169,72.7729,73.3154,75.3200
Hold-out,57.6623,54.0260,51.6883,51.9481,57.6623,56.1039,56.8831,58.9610
