,agriculture,beverages,energy,food,metals,non,precious,raw
Training,75.7858,67.5118,63.8395,65.8268,70.8169,72.7729,73.3154,75.3200
Hold-out,56.3636,52.7273,51.9481,50.9091,56.3636,56.1039,54.8052,57.1429
