,agriculture,beverages,energy,food,metals,non,precious,raw
Training,75.7858,67.5118,63.8395,65.8268,70.8169,72.7729,73.3154,75.3200
Hold-out,57.9221,53.2468,51.6883,51.6883,56.6234,56.3636,56.1039,58.7013
