,agriculture,beverages,energy,food,metals,non,precious,raw
Training,75.7858,67.5118,63.8395,65.8268,70.8169,72.7729,73.3154,75.3200
Hold-out,57.1429,53.2468,51.4286,51.1688,56.3636,55.3247,55.0649,57.4026
