,0
flt12_10_buy,0.015009331475467125
flt12_10_sell,0.01970803895860655
flt12_5_buy,0.011325632005161
flt12_5_sell,0.01710649068094259
flt1_10_buy,0.006767372253713125
flt1_10_sell,0.002632620228183004
flt1_5_buy,0.003440158161275675
flt1_5_sell,0.0036808481836964747
flt3_10_buy,0.01833732378149234
flt3_10_sell,0.01527133718300534
flt3_5_buy,0.0226712095122791
flt3_5_sell,0.02499027179636571
flt6_10_buy,0.01775062009033761
flt6_10_sell,0.021164032392865476
flt6_5_buy,0.0165203187205573
flt6_5_sell,0.01962566359072115
flt9_10_buy,0.015215734842901124
flt9_10_sell,0.019103646381063863
flt9_5_buy,0.01197437657665255
flt9_5_sell,0.016004278299444376
mom1,0.009308774482261539
mom12,0.014733282193307424
mom3,0.014174789107810436
mom6,0.01120471583379
mom9,0.012330836628561749
mva1_12,0.008838649348627724
mva1_3,0.02953296276163921
mva1_6,0.015044278156519287
mva1_9,0.010260161607278261
mva3_12,0.009620201390922602
mva3_6,0.01854924652370435
mva3_9,0.010860683123628301
mva6_12,0.017770816768345073
mva6_9,0.02049479118628245
mva9_12,0.02971529065336444
osc12_10_buy,0.012489936917103638
osc12_10_sell,0.0127347941505699
osc12_5_buy,0.011345462854693787
osc12_5_sell,0.011067370314708225
osc1_10_buy,0.010160495831980714
osc1_10_sell,0.009899751723077463
osc1_5_buy,0.008860563059187948
osc1_5_sell,0.009664810339296349
osc3_10_buy,0.011478807307525686
osc3_10_sell,0.011443849419506111
osc3_5_buy,0.010297611557823987
osc3_5_sell,0.010485910459270852
osc6_10_buy,0.010255096147029574
osc6_10_sell,0.010252857271495025
osc6_5_buy,0.00906021379009975
osc6_5_sell,0.009377829210573688
osc9_10_buy,0.00929743524626936
osc9_10_sell,0.009356316123046663
osc9_5_buy,0.008759487645824912
osc9_5_sell,0.008845101378334537
sup12_1_buy,0.00447411181529055
sup12_1_sell,0.00706860062136485
sup12_2_buy,0.002616703042405375
sup12_2_sell,0.0038979813823053623
sup12_3_buy,0.00219083767044725
sup12_3_sell,0.0022279370910063376
sup12_4_buy,0.0019632245416116626
sup12_4_sell,0.0016680543212411433
sup12_5_buy,0.001633625478723625
sup12_5_sell,0.0009208215772563957
sup1_1_buy,0.020123674962673265
sup1_1_sell,0.022325049466423212
sup1_2_buy,0.015837970723368976
sup1_2_sell,0.018718805353609886
sup1_3_buy,0.010346841483882863
sup1_3_sell,0.0092708111106832
sup1_4_buy,0.0061440590984990755
sup1_4_sell,0.005950448542496876
sup1_5_buy,0.0034124676527941874
sup1_5_sell,0.0038240699971270127
sup3_1_buy,0.00920455197658415
sup3_1_sell,0.013933102778714825
sup3_2_buy,0.007012308045207413
sup3_2_sell,0.008465111068158625
sup3_3_buy,0.005068794717060913
sup3_3_sell,0.003870198743999575
sup3_4_buy,0.0032824514056809125
sup3_4_sell,0.0025296596974593625
sup3_5_buy,0.001986217286462725
sup3_5_sell,0.0016870793234809876
sup6_1_buy,0.005280979254334163
sup6_1_sell,0.0075699087410301
sup6_2_buy,0.004275106043986063
sup6_2_sell,0.003983218174155613
sup6_3_buy,0.0032340742882033505
sup6_3_sell,0.0026404907380279874
sup6_4_buy,0.0022376077001123374
sup6_4_sell,0.0017175924105621249
sup6_5_buy,0.0017563892595619374
sup6_5_sell,0.0012828188189112875
sup9_1_buy,0.0047760147535341755
sup9_1_sell,0.006415130386459287
sup9_2_buy,0.0030787532690906756
sup9_2_sell,0.003625848601329462
sup9_3_buy,0.0023106453129904878
sup9_3_sell,0.0023601021876917374
sup9_4_buy,0.0019687673136537126
sup9_4_sell,0.0016699260990417875
sup9_5_buy,0.001322186793828375
sup9_5_sell,0.0009663832492719876
