,agriculture,beverages,energy,food,minerals,nonenergy,metals,materials
sup1_3_sell,0.0073073384328401,0.0152255118981807,0.0084914943453342,0.0093950241094182,0.0105410866196277,0.0053602559071892,0.0112314545271603,0.0066143230457152
sup1_4_buy,0.003442803716933,0.0126814865555922,0.0072394918916732,0.0045559617968865,0.0109639200993716,0.002630125493264,0.0061826453714109,0.0014560378628612
sup1_4_sell,0.0022230156132685,0.0108871291509463,0.0056856313088522,0.0055896335721561,0.0114314393442289,0.0020358369504486,0.0071105898095029,0.0026403125905715
sup1_5_buy,0.0011448109081597,0.006024756635676,0.0042729858581332,0.0027821647073619,0.0061647499491796,0.0009208147457729,0.0044848039806414,0.0015046544374288
sup1_5_sell,0.0007387783821745,0.0088511346561221,0.0056467972342798,0.0020981780697439,0.0061858738164536,0.0011315666164445,0.0048693577336593,0.0010708734681384
sup3_1_buy,0.0100036109412423,0.0097910804917225,0.0106282631843772,0.0092737555406718,0.0070327914701378,0.0123475948734751,0.006648384037173,0.0079109352738735
sup3_1_sell,0.0137038059384933,0.0103991008607866,0.013593210028032,0.0151063884091521,0.0072510101790549,0.0207818974495195,0.0110618123683698,0.0195675969963104
sup3_2_buy,0.0048958615383986,0.0057358003355366,0.0080921409778625,0.0091914872069494,0.0059283842145846,0.0093208388873491,0.0060808864750256,0.0068530647259529
sup3_2_sell,0.0072544709012857,0.0072823448871713,0.0096680866363133,0.0087056374443155,0.0076937941956272,0.010959181308795,0.0066609321312752,0.0094964410404858
sup3_3_buy,0.0029955800593719,0.0051113697332882,0.0050246449304737,0.0045115931848669,0.0066595563600618,0.0054448068810806,0.0045414196519374,0.0062613869354068
sup3_3_sell,0.0021930242204886,0.0058939277107822,0.0038137363549904,0.0037824992222732,0.0059827758418373,0.0019044170184627,0.003966513034847,0.0034246965483152
sup3_4_buy,0.0022979496563554,0.0069973547997829,0.002360661565883,0.0020525564996167,0.007163056514564,0.0011817477043408,0.0032582399608324,0.0009480445440721
sup3_4_sell,0.0012055214155954,0.0044549222945119,0.0032145006746435,0.0017833801815256,0.0048630944511944,0.001007509535035,0.0028287700592663,0.0008795789679028
sup3_5_buy,0.000788298268631,0.0037555400857759,0.0024397596364897,0.0014852328112923,0.0034470412840525,0.0006262689118689,0.0025989811833281,0.0007486161102634
sup3_5_sell,0.0002265073957183,0.0031435663868972,0.0025492778877027,0.0010277773843215,0.0024285213143533,0.0005071848646925,0.0023749070252203,0.0012388923289421
sup6_1_buy,0.0061199359860558,0.0046516819710159,0.0048863938395442,0.0063833538048005,0.0049519760997808,0.0064803470631847,0.0032029347456984,0.005571210524593
sup6_1_sell,0.0069960833950655,0.0063703873165938,0.0095852564595664,0.006870569171514,0.0045649496378302,0.0142188859279515,0.0067334114170113,0.0052197266027081
sup6_2_buy,0.004752219309528,0.0035313808924287,0.0042314382173136,0.0041410788189746,0.003036348570561,0.0058032027598139,0.0038422808607418,0.0048628989225269
sup6_2_sell,0.0025557884624012,0.0045062524344555,0.0039038837699563,0.0048331814996338,0.0059510193136265,0.0037038548478935,0.0023292578618303,0.0040825072034478
sup6_3_buy,0.0026775660042119,0.0030309617860067,0.0043829683121708,0.0033056542997664,0.0026454245037484,0.0033017482594004,0.0028259744443739,0.0037022966959483
sup6_3_sell,0.0019452844043214,0.0046802984085429,0.0021905602696338,0.002977788365431,0.0043373590027317,0.0009772701541556,0.0024130568908773,0.0016023084085302
sup6_4_buy,0.0016023584251198,0.0030810395815329,0.0029875475750527,0.0020958731850354,0.0035497831612624,0.0008096876068148,0.0032085671046873,0.0005660049613934
sup6_4_sell,0.0006172758293214,0.0022562157421154,0.0017941798349302,0.0017841518523128,0.0031118580970525,0.0008227826247506,0.0025717951312102,0.0007824801728039
sup6_5_buy,0.0007152594009752,0.0021883972924633,0.0031085544801415,0.0014462556191521,0.0021950536493646,0.0006063563301473,0.0030687132613469,0.0007225240429046
sup6_5_sell,0.000151301146095,0.0016732754254056,0.0017068809514423,0.0006445354046554,0.0019927341525969,0.0003434391938589,0.0023152145325028,0.0014351697447334
sup9_1_buy,0.0046525386414099,0.0046090559205635,0.0047534930910932,0.005449902188095,0.0057122664889068,0.0049728991347668,0.0029727447492548,0.0050852178141834
sup9_1_sell,0.0061865316454119,0.0054459880895638,0.007418833711522,0.0066231806448962,0.0048982025547663,0.0087846447449623,0.0072643497133246,0.0046993119872272
sup9_2_buy,0.002827567332264,0.0024362913278594,0.0036137545358716,0.0039178337966442,0.0025066632221219,0.0042845210455069,0.0019912838977588,0.0030521109946986
sup9_2_sell,0.0028134420019645,0.0034634877668744,0.0046999520879085,0.0039479822983547,0.0053079384244276,0.0024498929939682,0.0024189613253474,0.0039051319117904
sup9_3_buy,0.0025652032784608,0.0020386827890234,0.0028298088098993,0.00342037575948,0.0017972465641716,0.002366886616374,0.0016402475625609,0.0018267111239539
sup9_3_sell,0.0017829897096018,0.0028891097326849,0.0022188601958456,0.0025760960816243,0.003705814622539,0.0009241785364337,0.0035801541942472,0.0012036144285574
sup9_4_buy,0.0012790523475686,0.0019481204890586,0.0038737123795474,0.0018110068866509,0.0036505678869738,0.0008169103355831,0.0018081978715312,0.0005625703123161
sup9_4_sell,0.0002212352068377,0.0019242508473223,0.0020318666726693,0.002477583239478,0.0025024428606168,0.0008175695074602,0.0030135634854661,0.0003708969724839
sup9_5_buy,0.0006664830283252,0.0015454452076234,0.0022739602231531,0.0011677783986555,0.0019958674176262,0.0005663363169197,0.0015899441332678,0.0007716796250561
sup9_5_sell,0.0001547598139879,0.0015317445701094,0.0013772498143596,0.0005466483020701,0.0010585917716737,0.0002825071804221,0.0022660284433338,0.0005135360982193
flt12_10_buy,0.0192747466223873,0.0095220401734956,0.0131497418218865,0.0126482652012084,0.0108452203376483,0.0155864608750463,0.0111917947633219,0.0278563820087427
flt12_10_sell,0.025792854500764,0.0164575217323137,0.018291116429778,0.0233973478972157,0.0148885625705577,0.0186602003759826,0.0251080269865781,0.0150686811756626
flt12_5_buy,0.014035408169804,0.0092317058869265,0.0100745924007283,0.0112611795650614,0.0129321350041601,0.010326094610132,0.008815748002715,0.0139281924017607
flt12_5_sell,0.0220347086635066,0.0115742185742208,0.0169576891346063,0.0164170862354489,0.0139416449458723,0.0239928342361684,0.0136916690011113,0.0182420746566061
flt1_10_buy,0.0,0.0079117925338237,0.0109093912344165,0.0043651198060173,0.0078495298314033,0.007351436646471,0.0110377426358855,0.0047139653416877
flt1_10_sell,1.4010216083127406e-05,0.0048658097691249,0.0110293520749994,2.6961550696704328e-05,0.0033752064505609,0.0008291057558872,0.0009205160081118,0.0
