,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Hold-out,53.2468,50.9091,52.9870,49.0909,58.7013,54.0260,50.6494,57.6623
