,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Hold-out,53.7662,50.6494,52.7273,50.1299,59.4805,54.8052,49.8701,58.1818
