,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Hold-out,53.7662,50.6494,52.9870,50.3896,59.4805,54.5455,50.3896,57.9221
