,agriculture,beverages,energy,food,metals,non,precious,raw
Training,98.6767,99.0072,96.3835,98.7764,96.0733,90.8779,98.8952,97.1379
Hold-out,54.2857,50.9091,53.5065,51.4286,59.7403,54.0260,51.1688,55.0649
