,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Hold-out,54.2857,50.6494,51.4286,51.6883,60.0000,55.3247,49.0909,56.8831
