,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,100.0000,99.8160,99.9547,99.3088,97.7769,99.7952,99.3715
Hold-out,52.4675,50.3896,53.2468,48.8312,57.1429,54.2857,49.6104,55.5844
