,agriculture,beverages,energy,food,metals,non,precious,raw
Training,99.9793,99.9613,99.1372,99.7803,98.3664,95.5982,99.7629,99.0055
Hold-out,53.5065,50.9091,52.4675,50.1299,59.7403,53.2468,50.6494,57.4026
