,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
Hold-out,56.1039,50.1299,51.1688,54.0260,59.4805,54.8052,50.6494,57.1429
