,agriculture,beverages,energy,food,metals,non,precious,raw
Training,100.0000,99.9934,99.5550,99.8512,99.0901,96.7557,99.7629,99.2978
Hold-out,52.2078,49.3506,54.0260,49.8701,58.7013,54.2857,50.1299,56.3636
