,agriculture,beverages,energy,food,metals,non,precious,raw
Training,99.5462,99.6406,97.9612,99.5510,97.2782,93.8815,99.5733,98.2605
Hold-out,53.7662,50.9091,53.5065,52.4675,59.4805,52.4675,49.8701,56.3636
