,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1997M12,58.333333333333336,63.888888888888886,61.111111111111114,58.333333333333336,52.77777777777778,47.22222222222222
1998M01,55.55555555555556,61.111111111111114,58.333333333333336,55.55555555555556,52.77777777777778,44.44444444444444
1998M02,58.333333333333336,63.888888888888886,61.111111111111114,58.333333333333336,52.77777777777778,47.22222222222222
1998M03,58.333333333333336,63.888888888888886,61.111111111111114,55.55555555555556,50.0,44.44444444444444
1998M04,61.111111111111114,66.66666666666666,61.111111111111114,55.55555555555556,50.0,47.22222222222222
1998M05,61.111111111111114,66.66666666666666,61.111111111111114,55.55555555555556,50.0,47.22222222222222
1998M06,58.333333333333336,63.888888888888886,58.333333333333336,52.77777777777778,50.0,44.44444444444444
1998M07,61.111111111111114,66.66666666666666,55.55555555555556,50.0,52.77777777777778,47.22222222222222
1998M08,58.333333333333336,63.888888888888886,58.333333333333336,52.77777777777778,52.77777777777778,47.22222222222222
1998M09,55.55555555555556,61.111111111111114,58.333333333333336,52.77777777777778,55.55555555555556,44.44444444444444
1998M10,58.333333333333336,63.888888888888886,58.333333333333336,52.77777777777778,58.333333333333336,47.22222222222222
1998M11,61.111111111111114,63.888888888888886,61.111111111111114,52.77777777777778,55.55555555555556,47.22222222222222
1998M12,63.888888888888886,66.66666666666666,61.111111111111114,55.55555555555556,58.333333333333336,50.0
1999M01,61.111111111111114,66.66666666666666,61.111111111111114,55.55555555555556,58.333333333333336,50.0
1999M02,63.888888888888886,66.66666666666666,61.111111111111114,55.55555555555556,58.333333333333336,52.77777777777778
1999M03,66.66666666666666,66.66666666666666,61.111111111111114,58.333333333333336,61.111111111111114,52.77777777777778
1999M04,66.66666666666666,66.66666666666666,61.111111111111114,61.111111111111114,63.888888888888886,55.55555555555556
1999M05,66.66666666666666,66.66666666666666,63.888888888888886,63.888888888888886,66.66666666666666,58.333333333333336
1999M06,66.66666666666666,66.66666666666666,61.111111111111114,61.111111111111114,63.888888888888886,58.333333333333336
1999M07,66.66666666666666,66.66666666666666,61.111111111111114,63.888888888888886,66.66666666666666,58.333333333333336
1999M08,63.888888888888886,63.888888888888886,63.888888888888886,66.66666666666666,63.888888888888886,61.111111111111114
1999M09,61.111111111111114,61.111111111111114,61.111111111111114,66.66666666666666,63.888888888888886,58.333333333333336
1999M10,58.333333333333336,61.111111111111114,61.111111111111114,63.888888888888886,63.888888888888886,61.111111111111114
1999M11,58.333333333333336,61.111111111111114,61.111111111111114,63.888888888888886,63.888888888888886,61.111111111111114
1999M12,55.55555555555556,58.333333333333336,58.333333333333336,61.111111111111114,61.111111111111114,58.333333333333336
2000M01,52.77777777777778,55.55555555555556,58.333333333333336,61.111111111111114,58.333333333333336,58.333333333333336
2000M02,55.55555555555556,58.333333333333336,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114
2000M03,55.55555555555556,58.333333333333336,61.111111111111114,58.333333333333336,61.111111111111114,61.111111111111114
