,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1982M02,,,,,,,,
1982M03,,,,,,,,
1982M04,,,,,,,,
1982M05,,,,,,,,
1982M06,,,,,,,,
1982M07,,,,,,,,
1982M08,,,,,,,,
1982M09,,,,,,,,
1982M10,,,,,,,,
1982M11,0,1,1,1,1,1,1,0
1982M12,0,1,1,1,1,1,1,0
1983M01,1,1,1,0,1,1,1,0
1983M02,1,1,1,0,1,1,0,0
1983M03,1,0,1,0,1,1,0,0
1983M04,1,0,0,0,0,0,0,0
1983M05,1,0,0,0,0,0,0,0
1983M06,1,0,0,0,0,0,0,1
1983M07,1,0,0,0,0,0,0,1
1983M08,1,0,0,0,0,0,0,1
1983M09,1,0,0,0,0,0,0,1
1983M10,1,0,0,0,0,0,0,1
1983M11,1,0,0,0,0,0,0,1
1983M12,1,0,0,0,0,0,0,1
1984M01,1,0,0,0,0,0,1,1
1984M02,1,0,0,0,0,0,1,1
1984M03,1,0,0,0,0,0,1,1
1984M04,1,0,0,0,0,0,1,1
1984M05,1,0,0,0,0,0,1,1
1984M06,1,1,1,0,1,0,1,1
1984M07,1,1,1,0,1,1,1,1
1984M08,1,1,1,0,1,1,1,1
1984M09,1,1,1,1,1,1,1,1
1984M10,1,1,1,1,1,1,1,1
1984M11,1,1,1,1,1,1,1,1
1984M12,1,1,1,1,1,1,1,1
1985M01,1,1,1,1,1,1,1,1
1985M02,1,1,1,1,1,1,1,1
1985M03,1,1,1,1,1,1,1,1
1985M04,1,1,1,1,1,1,1,1
1985M05,1,1,1,1,1,1,0,1
1985M06,1,1,1,1,1,1,0,1
1985M07,1,1,1,1,1,1,0,1
1985M08,1,1,1,1,1,1,1,1
1985M09,1,1,1,1,1,1,1,1
1985M10,0,1,1,1,1,1,1,0
1985M11,1,1,1,1,1,1,1,0
1985M12,1,1,1,0,1,1,1,0
1986M01,1,1,1,0,1,1,1,0
1986M02,1,1,1,0,1,0,1,0
1986M03,1,1,0,0,1,0,1,0
1986M04,1,0,0,0,1,1,1,0
1986M05,1,1,1,0,1,0,0,1
1986M06,1,1,1,0,1,0,0,0
1986M07,1,1,1,1,1,1,0,0
1986M08,1,1,1,1,1,1,0,0
1986M09,1,1,1,1,1,1,0,0
1986M10,1,1,1,1,1,1,1,0
1986M11,1,1,1,1,1,1,1,0
1986M12,1,1,1,1,1,0,1,0
1987M01,0,1,1,1,1,0,1,0
1987M02,0,1,1,1,1,0,0,0
1987M03,0,0,1,1,1,0,0,0
1987M04,0,0,0,1,0,0,0,0
1987M05,0,0,0,1,0,0,0,0
1987M06,0,0,0,1,0,0,0,0
1987M07,0,0,0,1,0,0,0,0
1987M08,0,0,0,1,0,0,0,0
1987M09,0,0,0,1,0,0,0,0
1987M10,1,0,0,1,0,0,0,0
1987M11,1,0,0,1,0,0,0,0
1987M12,1,0,0,0,0,0,0,0
1988M01,1,0,0,0,0,0,0,0
1988M02,1,0,0,1,0,0,0,1
1988M03,1,0,0,0,0,0,0,1
1988M04,1,0,0,1,0,0,0,1
1988M05,1,0,0,0,0,1,0,1
1988M06,1,0,0,0,0,1,0,1
1988M07,1,0,0,1,0,1,0,1
1988M08,1,0,0,1,0,1,0,1
1988M09,1,0,0,1,0,1,0,1
1988M10,1,0,0,1,0,1,0,1
1988M11,1,0,0,1,0,1,0,1
1988M12,1,0,0,1,0,1,0,1
1989M01,1,0,0,1,0,1,0,1
1989M02,1,1,0,1,0,1,1,1
1989M03,0,1,1,1,1,1,1,1
1989M04,0,1,1,1,1,0,1,1
1989M05,0,0,0,0,0,0,1,1
1989M06,0,1,0,1,1,0,1,1
1989M07,0,1,0,1,1,0,1,1
1989M08,0,1,1,1,1,0,1,1
1989M09,0,1,1,1,1,0,1,1
1989M10,0,1,1,1,1,0,1,1
1989M11,0,1,1,1,1,0,1,1
1989M12,0,1,1,1,1,0,1,0
1990M01,0,1,1,1,1,0,1,0
1990M02,0,1,1,1,1,0,1,0
1990M03,0,1,1,1,1,0,1,0
1990M04,1,1,1,1,1,1,1,1
1990M05,1,1,1,0,1,1,1,1
1990M06,1,1,1,1,1,1,1,1
1990M07,1,1,1,0,1,1,1,1
1990M08,0,0,1,0,1,1,0,1
1990M09,0,0,1,0,1,1,0,1
1990M10,0,0,1,0,1,1,0,1
1990M11,0,1,1,0,1,1,0,1
1990M12,0,1,1,1,1,1,1,1
1991M01,0,1,1,1,1,1,1,1
1991M02,1,1,1,1,1,1,1,1
1991M03,0,1,0,1,0,1,1,1
1991M04,1,1,1,1,1,0,1,1
1991M05,1,1,1,1,1,0,1,1
1991M06,1,1,1,1,1,0,1,1
1991M07,1,1,1,1,1,0,1,1
1991M08,1,1,0,1,0,0,1,1
1991M09,1,1,0,1,0,0,1,1
1991M10,1,1,0,1,1,0,1,1
1991M11,0,1,1,1,1,0,1,1
1991M12,1,1,1,1,1,0,1,1
1992M01,1,1,1,1,0,1,1,1
1992M02,1,0,0,1,0,0,1,1
1992M03,1,0,0,1,0,1,1,1
1992M04,1,1,0,1,0,0,1,1
1992M05,1,1,1,1,1,0,0,1
1992M06,1,1,1,1,0,1,0,1
1992M07,1,0,1,1,1,0,0,1
1992M08,1,0,1,1,1,0,0,1
1992M09,0,1,1,1,1,0,0,1
1992M10,0,1,1,1,1,1,1,1
1992M11,0,1,1,0,1,1,1,1
1992M12,0,1,1,0,1,1,1,1
1993M01,1,1,1,0,1,1,1,1
1993M02,1,1,1,0,1,0,1,1
1993M03,1,1,0,0,1,0,1,1
