,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1982M02,,,,,,,,
1982M03,,,,,,,,
1982M04,,,,,,,,
1982M05,,,,,,,,
1982M06,,,,,,,,
1982M07,,,,,,,,
1982M08,2.0747009723809757,0.0,0.0,0.14988494905973718,0.13710787283104212,1.111349333219061,0.7290187964143919,1.6314122841591034
1982M09,2.7897090391886312,0.0,0.0,1.074353459034889,0.13515782694775436,1.1598593667644446,0.9397294578277284,2.841870087508083
1982M10,2.3983203651867098,0.0,0.0,1.6963903176686805,0.0,0.8829642905537579,1.0467591799407925,2.685062187326101
1982M11,1.4370680318384772,0.40765602551218966,0.5027397424565229,1.7511909131278078,0.6255130416513266,0.15904732221004148,1.0573848931771117,3.0065890042438035
1982M12,1.072526881503395,0.9881631842748589,0.919125538182342,2.3448774856382593,0.8931284046039416,1.2209598622675062,2.4012295505105303,3.6469067870652823
1983M01,1.0297893714652278,1.434819611429624,1.2260367575919253,2.9815553714397964,1.071759298122008,1.3014156101929244,2.4176115376537357,3.6605777201432663
1983M02,0.9164500526764027,2.2106918255779178,1.928621224638218,3.0145069285298924,1.7555049816637331,1.1788408056972741,2.8345248122751303,3.660269961800445
1983M03,0.3446318477352564,2.483866288058065,2.2576019545587074,2.4261184646132214,2.3005214439284267,1.7080844494984913,3.0320715153477917,1.9675942788102552
1983M04,0.5931749818590124,3.068852747990823,3.1162563264964804,2.465319489859452,3.211101057331279,2.4450128931522888,3.1216514762634207,2.180661315112134
1983M05,0.6685047320668723,3.068852747990823,3.1162563264964804,3.0278936222179293,3.1990511684132255,2.468231321663648,3.2455339829922227,2.3144422188816987
1983M06,1.2546282714401689,2.954362955531942,2.9501800557314053,3.07426785872987,2.7343147451025867,2.417385436254648,3.1199363515570715,1.8097593734955717
1983M07,1.6085147473436092,2.9590268409530545,2.973614844918858,2.7674143451940023,2.9243790536743797,2.4793046817725832,3.108837662562485,1.2768964811738786
1983M08,2.5397576288740935,2.986612323208665,3.0279241025802826,2.7352833537025574,3.0826261840816214,3.0658011608111444,3.067498713394549,1.0627771703360829
1983M09,2.802534736351369,2.9829110558799727,3.0275474859586855,2.746020663159556,3.0879389700302324,3.0590969910635706,2.9069729610569017,2.077415782352365
1983M10,1.670711145187415,2.84011998204886,3.007342584273696,2.8196743530788084,2.8344803048753255,3.0602732725715898,2.0779797165255713,1.0295491983535414
1983M11,1.3582368652705419,2.4411712208739242,2.7271147325343086,2.785541381360826,2.4292805890881444,3.0603644220502897,1.1609923691834905,0.3560122014300461
1983M12,0.6576557469952092,2.553143862556498,2.837166427392478,2.8847800470780265,2.4479325594673824,3.0602974586071827,1.4872020463869295,0.8389837056787854
1984M01,0.9995588478202195,2.5519948872087754,2.8494286615355464,3.1628828202562707,2.429663732912932,3.0593373512329936,1.045582490673265,0.6847911158051535
1984M02,0.9958106206425682,1.4718717775603813,1.9075371883668735,2.6701439462249343,1.3335639539400541,2.662988777372305,0.45764122613900116,0.9721534762312407
1984M03,1.3700088335606875,1.6730852377734555,2.0195319998599186,2.8548754312789675,1.2535718817997408,2.789393301378111,0.5780132689998854,1.2843878360034067
1984M04,1.77057828239092,1.809412468471382,2.125324611256004,2.8314544399316106,1.5064924702586366,2.7388119484141624,0.6459406724222684,1.5789943939314073
1984M05,2.3805897423866527,2.437269603006742,2.6411819266636063,2.791642948730511,2.475461149988139,2.624227241502435,0.5240056647389667,1.8515103281045817
1984M06,2.1258930219275882,1.4361864246538008,1.7337395328999254,1.9432588210740078,1.8814440770738652,1.4518492138664445,0.0980051441793012,1.5901375645961058
1984M07,0.7454896864124381,0.6338266194973069,0.9045868979370558,1.0127386618698235,0.943512812269874,0.9900491620906331,0.0724417565006372,1.3428289343618702
1984M08,0.559876456132114,0.6363413959262245,0.9063473245437671,1.3227726027612443,0.9204496371953996,0.879397141219502,0.07255564264314002,0.6976479226644186
1984M09,0.5762134852996409,0.24963183760946275,0.6107930456200346,1.1283245522538128,0.6346336470853896,0.4320091562162066,0.0,0.07786398090301623
1984M10,0.4586443273260217,0.22238268153600385,0.420857711805855,0.6671439527195211,0.5379777509421103,0.0,0.012188961376051148,0.1570614941781258
1984M11,0.4750554240389319,0.0,0.0,0.2757309892908927,0.0,0.0,1.0039880048606467,0.37418499662472565
1984M12,0.4481014666707529,0.0,0.0,0.3211481727945306,0.0,0.0,0.962950861996427,0.2583994753252569
1985M01,0.7931455987477735,0.0,0.0,0.4805091826583013,0.266189077299907,0.0,1.3121376270995249,0.33750193967597614
1985M02,1.9082524792612046,0.0,0.0,0.16248722410730934,0.46441995289081806,0.0,1.572460681649945,0.23937834407449046
1985M03,1.672690229198441,0.07258399751624917,0.35666498052946877,0.0,1.038487777902548,0.0,2.4470694129129917,0.8245814289455209
1985M04,1.91125678777043,0.7328681936671791,0.6241035987238569,0.0,1.3409254946623892,0.36613637508168706,2.615164513224695,1.3749612135062015
1985M05,1.265870232955266,0.5288384469538199,0.5402250043663879,0.0,1.193923461969294,0.3649645161419987,2.119306029071346,1.1223427742883902
1985M06,1.4943980032034958,0.5183718093770371,0.5861695352250043,0.0,1.2104739993598965,0.4190191534232042,1.6507227542735134,1.6206840620667335
1985M07,1.5337702086869924,0.40213753703259636,0.45524531534765866,0.0,0.7511321409690225,0.615700201325519,1.5379823113455888,2.323194612646731
1985M08,0.8272515358098338,0.3396523308363348,0.40538282106689505,0.0,0.5751054385773754,0.6558631794107606,1.142933924925732,2.834676944439173
1985M09,0.8803541069318914,0.2539852436529388,0.10659229228339215,0.004935042337011532,0.09182743359090345,0.5152355935869462,0.8137982084855272,2.2580139557717804
1985M10,1.600758051677098,0.0,0.0,1.1734731028086895,0.0,0.1903876014111957,0.07733711843838353,1.7376725105105975
1985M11,3.3464408585833305,0.41045478069137364,0.6897674176687695,2.4747047271341014,0.45864652882858975,0.7715125103299098,0.0,2.134822602577311
1985M12,1.5075151495161374,1.471286525209934,1.6457348073157758,3.171081551841211,0.944022631569337,1.5215518203582128,1.1005768523863533,2.0166983553734696
1986M01,1.438805293784206,2.0567112972236368,2.273381120974866,3.349813231348329,1.3164864915933927,1.9640740088879363,1.5667013106396497,2.8291790316654954
1986M02,0.48733601383205294,2.0393850326429765,2.224159893724219,2.9124797515859253,1.2539576507154249,2.5231215702794123,1.6065928686453719,2.0812801436240274
1986M03,0.3787768150118687,2.489514967242618,2.5526709801438936,2.9299476898592727,1.7909162316803333,2.5149890348709247,2.3012707753511097,2.521094608034671
1986M04,0.2264563125351041,2.2650137772765486,2.269187146041451,2.4776603265135826,2.127606616681798,1.98407808286203,2.3408207068495575,1.9732884256998793
