,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1982M02,,,,,,,,
1982M03,,,,,,,,
1982M04,,,,,,,,
1982M05,0.05032941932752649,-0.03977947840526488,-0.027595700452169903,-0.1199160804517549,-0.019563475170448045,0.022719387336442732,-0.08114974029994758,-0.1383984950723235
1982M06,-0.013509445569078066,-0.061786631208845075,-0.048919109849217234,-0.10325678696609471,-0.0531207689111054,-0.03899210079530656,-0.10685666710769501,-0.14450943677816475
1982M07,-0.03425043127291076,-0.0651014078496243,-0.07046787989235535,-0.071060307397469,-0.09060146093429192,-0.0357273873432404,-0.041214667531687316,-0.05575424555611164
1982M08,-0.05300625899878125,-0.08021023039305566,-0.09417781890755053,-0.04403309486322249,-0.1237387972664083,-0.04673872525292179,-0.028798373565363244,0.0760904195314281
1982M09,-0.005042958176952991,-0.037366225745354975,-0.05792304884524325,0.03858481859336625,-0.10147184991068224,-0.012526489776508158,-0.00891434786164686,0.18797939333885694
1982M10,0.018662473980091455,-0.04772279493646338,-0.060393740746297914,0.011223637341516015,-0.10775298704247752,-0.034121348870467715,-0.012719482671172875,-0.010767176737940958
1982M11,-0.027566112489324245,-0.010828071540032728,-0.008096362059881495,-0.013790434443710932,-0.019452635133124375,-0.022339783082445237,-0.021705845913690312,-0.012401820561845068
1982M12,-0.08880505110986298,0.006442458982849742,0.008335749180187105,-0.0014566621592645213,0.008289941529774329,-0.0021849700126577074,0.0010791147196439915,0.05836368580423172
1983M01,-0.11932952977121676,0.013207082958765647,0.002339078909498103,0.02655671027826731,-0.006615523668708011,0.005870169476156765,0.045884385124902505,0.10181855472367876
1983M02,-0.13844985276984906,0.029115234112677458,0.015183074195600312,0.01971631557440604,0.018868814106141656,-0.01731186004349516,0.08116350147204683,0.049440202667519965
1983M03,-0.10486022967030227,0.020598068796852755,0.019524828900233424,-0.013265836325998545,0.02782157183022643,0.006223842680549074,0.027017165369549297,-0.189032281825582
1983M04,-0.03339637794678632,0.036217694324869425,0.039521423402222144,0.0016956180870048617,0.053592484670660495,0.018928138643681192,0.03701396966019201,-0.14271113638468713
1983M05,-0.004050676793930262,0.029223790977055474,0.026458145260081244,0.04941453012687803,0.027512549699680092,0.003936395507306484,0.04799674373026236,-0.10223618959149608
1983M06,0.014020446233754364,-0.004679283363494981,-0.0055262152654362625,0.03248565963193125,-0.022237226603532546,0.011064366062337754,-0.008597178529562191,-0.06986615102212367
1983M07,0.003930200695358252,0.0122632164535919,0.013499113749010949,-0.011152027048340472,0.007476956912228258,0.013757595935030408,0.010394285514768939,-0.07871705058479164
1983M08,0.009848781274683272,0.06693949573986854,0.08312637617642717,-0.00011087146064447698,0.12325291659689226,0.019127552360144517,0.022025574254723974,-0.055685709699239604
1983M09,-0.016894599423335314,0.010653735939130857,0.015562597105981318,-0.011807004617370673,0.027162856083171122,-0.00014165196183281675,-0.005597636071743805,-0.01010118661619396
1983M10,-0.033312611216127976,-0.005130918881081962,0.0016294669837712752,0.01937312482401283,-0.014766343804620026,0.031028349847461483,-0.040596760465309766,-0.09662814860430552
1983M11,-0.053769587137955537,-0.019107966201329533,-0.01119698778487399,0.03659001157288828,-0.043869402817100105,0.004909578161597994,-0.06599900828089825,-0.14873788818009429
1983M12,-0.04686950433519034,-0.015551005016391674,-0.010495540659793504,0.055844397751479855,-0.061848445328679766,0.009290770319375821,-0.04573305223430208,-0.11648783375912145
1984M01,-0.01594930766484047,0.004995350469657609,0.01224422212430519,0.04863686320147842,-0.025331692621170326,0.0016091408765198495,-0.02245809352858601,-0.08987018988920448
1984M02,0.010116328419961514,-0.013046113605655399,-0.01445509928450095,-0.030825282335365974,-0.011929541331690736,-0.006830041446742548,-0.021707086668030503,-0.005321977923068635
1984M03,0.004100154931944353,0.006450884871651534,0.007523905174018008,-0.01352859083422416,0.011226064505013228,0.01586477423896743,-0.018252075458908848,0.02490190928104986
1984M04,0.0003541266435836104,0.00023463398216345323,0.009186334136218591,0.003842368424096269,0.0038245862933630726,0.018073282989712183,-0.032741876663820176,-0.03524186049685326
1984M05,-0.005252382789179759,0.011412554689116053,0.02468650347419698,0.01814161103313939,0.03521249656846393,-0.0019074805204567149,-0.07587127218540148,-0.05086320375058572
1984M06,-0.020432277785781938,-0.039997803121509926,-0.04787673196201159,-0.0420276445478866,-0.05262998425739814,-0.04036030252788262,-0.09310350571103432,-0.05622467302339643
1984M07,-0.05752249015429375,-0.1110169095828712,-0.12674574745622613,-0.09322880099570306,-0.1529035362382592,-0.08031726970112621,-0.12586189236839904,-0.12361798813476636
1984M08,-0.046185985641640635,-0.12467762746387724,-0.14207989814690775,-0.08595995039760627,-0.1724634536889975,-0.10269941766137745,-0.0876277189663044,-0.10378781635778696
1984M09,-0.026338033746789887,-0.10015505566420085,-0.09902239929862755,-0.03993593827198734,-0.12544323785608383,-0.07527060424307451,-0.13260331718192359,-0.12643636213390935
1984M10,-0.015407486268421746,-0.04592798748538491,-0.04305852363212855,-0.027266251732110447,-0.04569332822697145,-0.06105356043387274,-0.07279900722176891,-0.025237330731673082
1984M11,-0.01801904029596481,-0.03549815950451647,-0.04799196008521247,-0.028682660230898792,-0.0566099365815782,-0.04533643129757343,0.007691254309199245,-0.016390652930481853
1984M12,-0.03923186291588054,-0.048677491273776116,-0.07298011490792737,-0.05519626847831725,-0.08424356022312031,-0.05736492377362346,-0.028200918040997648,-0.08059058047963799
1985M01,-0.023745985902947492,-0.03512421037919731,-0.05418441776407068,-0.041970001464009435,-0.053752288512377566,-0.06754897544847381,-0.02863216031659773,-0.14244014646861222
1985M02,0.017618392270330654,-0.032370169597916325,-0.03849450380954063,-0.05278579447429665,-0.01816647435176235,-0.08563060827651425,-0.01304304716054056,-0.15342220053704678
1985M03,-0.006016263473193448,-0.002413405328874233,0.0022509537854506307,-0.039495303547435384,0.023839713631912226,-0.06811726332755878,0.003767126665654797,-0.040386268867624565
1985M04,-0.011047637352551773,0.010003956097099035,0.00410481639822517,-0.03202794922572245,0.004299906692371762,-0.018068554664219666,0.03117192476882888,0.049121525224784066
1985M05,-0.05171436215106517,-0.021701592059959526,-0.033076257068142545,-0.03995423262567905,-0.04458379544858394,-0.009723081460463785,0.0026883769005622447,-0.03236477229162038
1985M06,-0.049853168674260116,-0.0530151291374962,-0.05746924688038124,-0.04046650391723109,-0.0772697350540214,-0.019275754876724237,-0.050936489946232344,-0.03477052773919408
1985M07,-0.04290504265784438,-0.07696879219057494,-0.08637666643969966,-0.04729378129524352,-0.11951656314360323,-0.023836102004246747,-0.059261059108394416,-0.039314489294132775
