,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1997M05,56.25,56.77083333333333,57.81249999999999,53.125,53.64583333333333,50.52083333333333
1997M06,53.64583333333333,54.16666666666667,58.33333333333333,53.64583333333333,55.20833333333333,49.479166666666664
1997M07,54.6875,56.25,58.333333333333336,54.166666666666664,55.729166666666664,48.958333333333336
1997M08,54.166666666666664,56.25,58.85416666666667,54.6875,57.291666666666664,49.479166666666664
1997M09,53.645833333333336,56.25,59.375,55.208333333333336,56.25,50.0
1997M10,54.6875,56.77083333333333,58.33333333333333,55.208333333333336,57.81249999999999,51.5625
1997M11,55.729166666666664,57.81250000000001,58.854166666666664,55.20833333333333,56.77083333333333,52.08333333333333
1997M12,56.25,58.854166666666664,59.895833333333336,56.77083333333333,57.291666666666664,53.125
1998M01,55.20833333333333,58.333333333333336,57.8125,56.25,56.77083333333333,53.125
1998M02,55.72916666666667,58.854166666666664,57.291666666666664,56.25,55.729166666666664,54.166666666666664
1998M03,54.166666666666664,56.770833333333336,57.8125,54.6875,54.6875,53.64583333333333
1998M04,53.645833333333336,56.25,57.8125,55.729166666666664,55.20833333333333,54.6875
1998M05,56.77083333333333,58.85416666666666,59.375,58.85416666666667,57.291666666666664,57.291666666666664
1998M06,58.85416666666667,60.9375,59.375,60.41666666666667,57.8125,56.770833333333336
1998M07,61.45833333333333,63.54166666666667,58.854166666666664,60.9375,59.89583333333333,58.33333333333333
1998M08,59.89583333333333,61.979166666666664,58.854166666666664,59.895833333333336,59.89583333333333,57.291666666666664
1998M09,58.85416666666667,60.9375,59.375,60.9375,60.41666666666666,56.25
1998M10,57.8125,59.89583333333333,59.375,60.9375,58.854166666666664,57.291666666666664
1998M11,58.33333333333333,60.41666666666667,60.9375,61.979166666666664,60.416666666666664,56.77083333333333
1998M12,59.375,61.979166666666664,61.458333333333336,63.541666666666664,61.97916666666667,58.33333333333333
1999M01,59.375,61.458333333333336,62.5,63.541666666666664,62.5,59.89583333333333
1999M02,59.375,61.45833333333333,63.02083333333333,63.02083333333333,63.54166666666667,61.97916666666667
1999M03,60.9375,63.020833333333336,64.58333333333334,65.10416666666666,65.10416666666667,63.541666666666664
1999M04,60.41666666666667,62.5,65.10416666666666,65.10416666666667,64.0625,63.02083333333333
1999M05,61.97916666666667,64.0625,65.10416666666667,65.625,64.58333333333333,63.02083333333334
1999M06,64.58333333333334,66.14583333333333,64.0625,65.10416666666666,62.5,63.54166666666667
1999M07,64.58333333333334,65.10416666666666,64.0625,64.58333333333333,63.02083333333333,64.0625
1999M08,64.58333333333334,64.58333333333333,64.0625,64.58333333333334,63.02083333333333,62.5
1999M09,63.54166666666667,63.020833333333336,63.541666666666664,61.45833333333333,61.979166666666664,61.45833333333333
1999M10,63.02083333333333,63.54166666666667,65.10416666666666,60.9375,61.97916666666667,60.9375
1999M11,63.541666666666664,64.0625,64.58333333333334,60.9375,61.979166666666664,61.45833333333333
1999M12,61.979166666666664,62.5,64.0625,60.41666666666667,59.89583333333333,60.41666666666667
2000M01,63.541666666666664,64.0625,65.625,59.89583333333333,60.416666666666664,59.895833333333336
2000M02,62.5,62.5,66.14583333333333,59.895833333333336,60.9375,59.375
2000M03,63.02083333333334,63.02083333333334,66.66666666666666,60.9375,60.41666666666667,60.416666666666664
2000M04,61.45833333333333,60.41666666666666,67.1875,60.41666666666666,58.33333333333333,59.89583333333333
2000M05,59.375,58.85416666666667,66.66666666666667,59.89583333333333,56.77083333333333,58.33333333333333
2000M06,57.8125,57.8125,65.625,57.8125,54.6875,56.77083333333333
2000M07,57.291666666666664,57.291666666666664,65.625,58.33333333333333,54.6875,57.291666666666664
