,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1997M08,62.5,58.333333333333336,66.66666666666666,62.5,66.66666666666666,45.83333333333333
1997M09,66.66666666666666,62.5,66.66666666666666,62.5,66.66666666666666,45.83333333333333
1997M10,66.66666666666666,62.5,66.66666666666666,62.5,66.66666666666666,45.83333333333333
1997M11,66.66666666666666,62.5,66.66666666666666,62.5,66.66666666666666,45.83333333333333
1997M12,70.83333333333334,66.66666666666666,70.83333333333334,66.66666666666666,70.83333333333334,50.0
1998M01,66.66666666666666,62.5,66.66666666666666,62.5,70.83333333333334,50.0
1998M02,62.5,62.5,66.66666666666666,58.333333333333336,66.66666666666666,50.0
1998M03,62.5,62.5,66.66666666666666,58.333333333333336,66.66666666666666,54.166666666666664
1998M04,62.5,62.5,66.66666666666666,58.333333333333336,66.66666666666666,54.166666666666664
1998M05,66.66666666666666,66.66666666666666,70.83333333333334,62.5,66.66666666666666,58.333333333333336
1998M06,70.83333333333334,70.83333333333334,70.83333333333334,62.5,70.83333333333334,58.333333333333336
1998M07,70.83333333333334,70.83333333333334,66.66666666666666,58.333333333333336,66.66666666666666,54.166666666666664
1998M08,66.66666666666666,66.66666666666666,70.83333333333334,62.5,66.66666666666666,58.333333333333336
1998M09,70.83333333333334,70.83333333333334,75.0,66.66666666666666,66.66666666666666,58.333333333333336
1998M10,66.66666666666666,66.66666666666666,70.83333333333334,62.5,62.5,54.166666666666664
1998M11,70.83333333333334,70.83333333333334,66.66666666666666,62.5,62.5,54.166666666666664
1998M12,70.83333333333334,75.0,70.83333333333334,66.66666666666666,66.66666666666666,58.333333333333336
1999M01,70.83333333333334,75.0,70.83333333333334,66.66666666666666,66.66666666666666,58.333333333333336
1999M02,70.83333333333334,75.0,70.83333333333334,66.66666666666666,66.66666666666666,62.5
1999M03,70.83333333333334,75.0,75.0,70.83333333333334,70.83333333333334,66.66666666666666
1999M04,70.83333333333334,75.0,75.0,70.83333333333334,75.0,66.66666666666666
1999M05,70.83333333333334,75.0,75.0,75.0,75.0,66.66666666666666
1999M06,75.0,79.16666666666666,75.0,75.0,75.0,70.83333333333334
1999M07,75.0,79.16666666666666,70.83333333333334,75.0,75.0,66.66666666666666
1999M08,75.0,79.16666666666666,66.66666666666666,75.0,75.0,62.5
1999M09,70.83333333333334,75.0,66.66666666666666,70.83333333333334,70.83333333333334,62.5
1999M10,70.83333333333334,75.0,66.66666666666666,66.66666666666666,70.83333333333334,58.333333333333336
1999M11,66.66666666666666,70.83333333333334,62.5,66.66666666666666,66.66666666666666,58.333333333333336
1999M12,62.5,66.66666666666666,62.5,66.66666666666666,62.5,54.166666666666664
2000M01,66.66666666666666,70.83333333333334,62.5,66.66666666666666,66.66666666666666,54.166666666666664
2000M02,70.83333333333334,70.83333333333334,62.5,66.66666666666666,66.66666666666666,50.0
2000M03,70.83333333333334,70.83333333333334,62.5,62.5,62.5,50.0
2000M04,66.66666666666666,66.66666666666666,62.5,62.5,62.5,45.83333333333333
2000M05,62.5,62.5,62.5,62.5,62.5,45.83333333333333
2000M06,58.333333333333336,58.333333333333336,62.5,62.5,58.333333333333336,45.83333333333333
2000M07,58.333333333333336,58.333333333333336,62.5,62.5,58.333333333333336,45.83333333333333
2000M08,58.333333333333336,58.333333333333336,62.5,58.333333333333336,58.333333333333336,41.66666666666667
2000M09,58.333333333333336,58.333333333333336,62.5,58.333333333333336,58.333333333333336,45.83333333333333
2000M10,62.5,62.5,62.5,58.333333333333336,58.333333333333336,50.0
2000M11,62.5,62.5,62.5,62.5,62.5,54.166666666666664
2000M12,62.5,62.5,62.5,62.5,62.5,54.166666666666664
2001M01,62.5,62.5,62.5,62.5,62.5,54.166666666666664
2001M02,62.5,62.5,62.5,58.333333333333336,58.333333333333336,54.166666666666664
2001M03,66.66666666666666,66.66666666666666,62.5,58.333333333333336,58.333333333333336,54.166666666666664
2001M04,66.66666666666666,66.66666666666666,66.66666666666666,62.5,58.333333333333336,58.333333333333336
2001M05,66.66666666666666,66.66666666666666,66.66666666666666,62.5,58.333333333333336,62.5
2001M06,66.66666666666666,66.66666666666666,66.66666666666666,62.5,58.333333333333336,62.5
2001M07,62.5,62.5,66.66666666666666,58.333333333333336,54.166666666666664,62.5
2001M08,58.333333333333336,58.333333333333336,70.83333333333334,58.333333333333336,54.166666666666664,62.5
2001M09,62.5,62.5,66.66666666666666,58.333333333333336,54.166666666666664,58.333333333333336
2001M10,62.5,62.5,66.66666666666666,62.5,54.166666666666664,62.5
2001M11,62.5,62.5,70.83333333333334,58.333333333333336,58.333333333333336,58.333333333333336
2001M12,62.5,62.5,70.83333333333334,58.333333333333336,62.5,58.333333333333336
2002M01,58.333333333333336,58.333333333333336,75.0,62.5,62.5,62.5
2002M02,58.333333333333336,58.333333333333336,79.16666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2002M03,58.333333333333336,58.333333333333336,79.16666666666666,70.83333333333334,70.83333333333334,66.66666666666666
2002M04,62.5,62.5,79.16666666666666,70.83333333333334,70.83333333333334,70.83333333333334
