,mva1_12.csv,mva1_3.csv,mva1_6.csv,mva1_9.csv,mva3_12.csv,mva3_6.csv,mva3_9.csv,mva6_12.csv,mva6_9.csv,mva9_12.csv,average
1992M01,-0.007010181139996567,-0.014803368988667475,-0.009916841082849001,-0.008109337788308718,-0.0064332833288836,-0.006228690335077613,-0.0075552901853572245,-0.006013849147871518,-0.005941743299358655,-0.002920964117908479,-0.007493354941427883
1992M02,-0.008052579709139035,-0.015713893133663472,-0.010930558707780546,-0.009167136990107006,-0.007517270881610409,-0.007282929673991585,-0.008621746380951627,-0.007121700537641802,-0.007529623831268671,-0.0040598316583067735,-0.008599727150446091
1992M03,-0.008008179594319285,-0.01555747958781865,-0.010841880121544722,-0.009104223682816374,-0.007479740129835104,-0.007250016873129263,-0.00856722369841723,-0.007089764154494517,-0.0029999801422006625,-0.004075492279197679,-0.008097398026377349
1992M04,-0.008303564224529327,-0.015739173136525664,-0.011099379439859001,-0.009391952633813124,-0.007792082467998242,-0.007556550955121506,-0.008863089012813965,-0.007412911389788478,-0.003369014764353618,-0.004439414130249261,-0.008396713215505218
1992M05,-0.008463565535071054,-0.015790665729602565,-0.011220618781212681,-0.00954048549975485,-0.007964493993131235,-0.0077273785449300195,-0.009019515365636279,-0.007593680227093335,-0.003600531284463114,-0.004661865481318805,-0.008558280044221394
1992M06,-0.008685981035398579,-0.015906750022960214,-0.011406300401166072,-0.00975360557414077,-0.008200790413202794,-0.007960311002259544,-0.009240296765523943,-0.007839037993226224,-0.00389241870265646,-0.004946729967740546,-0.008783222187827514
1992M07,-0.007924400366176821,0.010534981562708642,0.004661992837733411,-0.008954477283510535,-0.007424166690122381,-0.0072089510377299024,-0.008448607732989602,-0.007056313221570757,-0.0031983529958676993,-0.004217266540971184,-0.003923556146849683
1992M08,-0.007797965565104109,0.010351529087186104,0.004592331087199924,-0.008809714675016685,-0.007301265661534079,-0.007092453032885615,-0.008311071832360338,-0.006936962228344247,-0.0031375577416048305,-0.004140178371656467,-0.0038583308934120332
1992M09,-0.007844898383486381,-0.015055458404872647,0.004282205746136974,-0.008843719557157436,-0.0073565163044281056,-2.865225986154081e-05,-0.008352099853130051,-0.00699820650089661,-0.0032483317630487363,-0.004239951370745959,-0.005768562865149049
1992M10,-0.007261839335702246,0.009936613887297692,0.004878730080875493,0.001157332963054947,-0.006764044256414668,0.0006923706669221602,0.0004146734101625176,-0.006402436393101737,-0.0027273884804056518,-0.0036907649468114366,-0.000976675240412293
1992M11,-0.0014498885142017522,0.010311619030953494,0.005349166994463786,0.0017543028284299506,-0.006263004109052071,0.001274760983604811,0.0010271153495561118,-0.005899459686238451,-0.007475138235378605,-0.0032318245160187476,-0.00046023498738814744
1992M12,-0.0004574513474178473,0.01088408737588966,0.006013532599334943,0.0025598254167784468,-0.002528641863104176,0.0020580972321126885,0.0018474784986979506,-0.0031932987672936963,-0.006416441542055019,-0.002631057837998136,0.0008136129764944814
1993M01,-0.001159630221595473,-0.014365637452031382,0.005334135246415517,0.0018815624722182157,-0.0031691903063959396,0.0014155699428175603,0.0011834624924993292,-0.00380547318129239,-0.006947013462675835,-0.007557644369727649,-0.0027189858839768047
1993M02,-0.001264493306278449,-0.014250945986900278,0.005133910170009363,0.0017294049917368787,-0.00322808767000319,0.0012779465659279966,0.0010449932469144439,-0.0038495794759953084,-0.006924752120376958,-0.007520329362229914,-0.0027851932947195414
1993M03,-0.006767522991212149,-0.014923676422968175,-0.010594978302873056,-0.008230591908411642,-0.0045361225853646865,-0.007149050406503753,-0.0002194437134491736,-0.005117415917995272,-0.008103955723879338,-0.008763490217224779,-0.007440624818988202
1993M04,-0.007007969774705378,-0.015056805398148836,-0.010798450137152268,-0.008460878026607338,-0.00562127554463912,-0.0073908399758306955,-0.007745800255829084,-0.005524029440825935,-0.008442706180135703,-0.009109830394234832,-0.00851585851281092
1993M05,-0.006742515959555036,0.010116134481578337,-0.010461916468693606,-0.008165028675006278,-0.005367232217485648,-0.00711320245626133,-0.007455693759285242,-0.005144909372171987,-0.008013790882645368,-0.008640209469524292,-0.005698836477905045
1993M06,-0.0065086797236519,0.010140787623708881,-0.01016111336034315,-0.007902872153460997,-0.0051453382351386075,-0.006868335181298824,-0.0071995801890126125,-0.005253920380159754,-0.0022935314806528458,-0.008229251920332177,-0.004942183500034199
1993M07,-0.0026436505972722573,0.01129585292460345,0.003908653347868954,0.0004518062670497555,-0.0040917687804654015,5.60266537442608e-05,-0.00609052565616313,-0.0041561713240130275,-0.0012636230430824345,-0.006545076686431571,-0.0009078476894161403
1993M08,-0.001477789581036175,0.012000266101176212,0.004740432034385412,0.0014272781708002044,-0.004963317501017461,0.001003222844872983,-0.0006877839931331035,-0.003405398144148534,-0.0005699160273823571,-0.00539415719913244,0.00026728367053847413
1993M09,-8.000125843908405e-06,0.012967585392142579,0.005830799360382142,0.0026799601355667344,-0.0034523905261356225,0.002218738584575112,0.000604065789484038,-0.004818603101327645,-0.0076385889341158576,-0.003014021357641273,0.0005369545217086298
1993M10,-0.00038950085917215885,0.012439766701291422,0.005421927103393651,0.002291205659303186,-0.0037573734367914676,0.0018517162224083962,0.0002530548467856346,-0.0050855825812815,-0.007847323785527398,-0.003220436024763466,0.00019574538456462986
1993M11,-1.8358356003050393e-05,0.012533666006176516,0.005630872959063966,0.0025747131350171166,-0.0033274715203978587,0.002133024982354505,0.0005729578727230872,-0.004646842828818014,-0.0073655654876605475,-0.003962113709376193,0.000412488305307953
1993M12,0.0004742433357379037,0.012736418617734724,0.005944960942349789,0.0029699695348025263,-0.0027807061464904786,0.002522369099988934,0.0010033327858820756,-0.004095895222306842,-0.006775203789288796,-0.0034136902823542767,0.0008585798876055556
1994M01,-0.00038113733780957733,-0.014686821250226502,-0.008997050885545305,0.002160046755086429,-0.003558533420872374,0.001746903753510276,0.00022731753631978317,-0.004821525339878186,-0.007440031430350259,-0.0041653914195093995,-0.003991622303927511
1994M02,-0.00024279993175856888,-0.014409416552365974,-0.00878441360463278,0.0022412450335238462,-0.0033639171504322597,0.0018322126294018038,0.0003412739371091737,-0.004611306223400112,-0.0071875616652056305,-0.003963279844920249,-0.0038147963372680747
