,mva1_12.csv,mva1_3.csv,mva1_6.csv,mva1_9.csv,mva3_12.csv,mva3_6.csv,mva3_9.csv,mva6_12.csv,mva6_9.csv,mva9_12.csv,average
1991M01,-0.006429423813930786,-0.00999785058233267,-0.009213597569452156,-0.006104300670907066,-0.004048144613060325,-0.003540970916858161,-0.002771009780954338,0.0050063158588642635,0.010272050584591137,0.00677525769793198,-0.002005167380610813
1991M02,-0.006361772883179612,-0.009857374615491665,-0.009089126766139318,-0.006043284906340044,-0.004025915651014197,-0.003532086693738677,-0.0027780203610802273,-1.0633921793707103e-05,-0.003041665160291843,0.006585069507450157,-0.0038154811451619128
1991M03,-0.006367012657799922,-0.00979270235546572,-0.00903981946310042,-0.006054894440497147,-0.004086330673413748,-0.0035951821002786054,-0.0028549351861425257,-0.00017596211410373923,-0.003121267303711913,0.006335846278739864,-0.0038752260015773887
1991M04,-0.00659176468703822,-0.009950283998475282,-0.009212163515764205,-0.006285766434780595,-0.004398672388766924,-0.0038798657812520996,-0.0031485514795309678,-0.0006065329442220204,-0.0034410085829562893,0.005888342344893701,-0.004162626746789291
1991M05,-0.007707556758798265,-0.011001489160399992,-0.010277563302356437,-0.007407443088314816,-0.005736767500540107,-0.005070710617277748,-0.004330559189896914,-0.0021304953126586434,-0.004742539302862758,-0.0014908903965474344,-0.005989601462965312
1991M06,-0.007970010946667423,-0.011201793680314404,-0.010491526800724498,-0.0076755597982685825,-0.006082003613916708,-0.005388920580712094,-0.004656730313028373,-0.0025836844615703914,-0.005094103665633608,-0.0019381512480877974,-0.006308248510892388
1991M07,-0.007603730046067741,0.015183037017642767,-0.010078551162086731,-0.0073147316967133265,-0.005701340607541564,-0.005064428537949312,-0.004351806461199782,-0.0022565744127684482,-0.0047491391482591535,-0.0016392967060486054,-0.00335765617609919
1991M08,-0.007802810130469056,-0.01077566495131386,-0.010232634498924057,-0.007519066296557429,-0.00596908631755403,-0.005314219392582477,-0.004610012428962324,-0.0026187201966655954,-0.005025219059056761,-0.0019991655992845922,-0.006186659887137019
1991M09,-0.007809726825028411,-0.010728655498122571,-0.01019616147261815,-0.007531049845293786,-0.006014414046293601,-0.0053665089495499385,-0.004673943368191448,-0.0027398381277335833,-0.005087276430953556,-0.002128144337336847,-0.006227571890112188
1991M10,-0.008018839058446666,-0.010889378152260912,-0.010363406431517286,-0.00774505114853194,-0.0062887082479651125,-0.005622984220627063,-0.004938069346466486,-0.0031013122979917833,-0.005368850425163464,-0.002487348006572199,-0.006482394733554291
1991M11,-0.007882563918973339,-0.010700351885887787,-0.010186707716646195,-0.007613496490264045,-0.006167652811122526,-0.005526350830247532,-0.004854910926165235,-0.0030390949786376544,-0.005269718925990447,-0.002439898665820623,-0.0063680747149755385
1991M12,-0.008271956900004072,-0.011047875987851554,-0.010537047412970603,-0.008007449936188148,-0.006642443137827601,-0.0059630818469637165,-0.005295620059616438,-0.0036068022198855847,-0.005743552831060739,-0.0029970918253101483,-0.00681129221576786
1992M01,-0.007946224320112811,-0.010669573040710497,-0.0101735633245299,-0.00768612580569383,-0.006304434816482339,-0.0056709618513631245,-0.005019493093731649,-0.0033092262176184447,-0.005434179181523797,-0.0027226862537951197,-0.006493646790556151
1992M02,-0.007124851303872018,0.014591174356137796,0.015875552866699873,0.014277277934372388,-0.005406991029684965,-0.004873820325997482,-0.004246099277923331,-0.002417721200202874,-0.0045843272377363055,-0.0018758897269202002,0.0014214305054872892
1992M03,0.012522368259896208,0.014471722142123578,0.015723467553303817,0.014147585150233965,-0.005169355811994097,0.01047365280914303,0.011077318680017772,-0.0022238622166737237,-0.004369462795963513,-0.0016992446219158835,0.0064954189148171155
1992M04,0.012586975462376089,0.014491244037662688,0.015721650215587947,0.01417596839693968,0.008257646190405876,0.010567286648593714,0.011166459764310181,-0.0018871192695868529,-0.004024756299844648,-0.0013842853746277657,0.007967106977181688
1992M05,0.01232650336409228,0.014246787347809445,0.01543776079471082,0.013905173571459095,0.008104304307788846,0.010375439434270054,0.010948332512044015,-0.0018554347896598902,0.010028658242923622,-0.0013627116599653206,0.009215481312547295
1992M06,0.012125301834138912,0.014050387995655599,0.015206684760881231,0.01368964122506955,0.008000056496335894,0.010233176055886797,0.010784522971560604,0.004863844910338169,0.009890046968343256,-0.001299042563011128,0.009754462065519888
1992M07,0.012735006809935908,0.014520869731206093,0.01568967736155199,0.014226561486428035,0.008617954726220983,0.01080191880664367,0.011385184686898104,0.0055251623360183045,0.010474787470649269,0.004606500621921812,0.010858362403747417
1992M08,0.0124424236313925,0.014251025473975474,0.015381728279588036,0.013928242201414635,0.008426622429659898,0.01057681309001714,0.011133102811239567,0.0053894931697413525,0.010251440816425629,0.004479968138060316,0.010626086004151455
1992M09,0.011655816644784312,-0.00978912132885572,-0.00931567655411833,0.013170768712638233,0.007788073801041237,0.009913070427536171,0.010412016213559555,0.00481220583926498,0.00958196306260755,0.0038882538433778393,0.005211737066183583
1992M10,-0.006886338445046462,-0.010848295757609046,-0.01036540373038753,-0.006869016699525475,0.0064182932129770685,-0.004668299567484197,-0.00405401790338726,0.0035136653913621302,0.008182284320183947,0.0025384777170642794,-0.002303865146185255
1992M11,-0.007333788686964642,-0.011239060401613613,-0.01075763071380824,-0.007323963263821716,-0.004798054565727585,-0.005158741569394001,-0.004546425614220674,0.002891256212696744,-0.003959525809229166,0.0019009492187090885,-0.00503249851933738
1992M12,-0.006810260677502243,0.013571357159400227,-0.010180605172676408,-0.006792281245052659,-0.0042547202063529105,-0.0046614281489491954,-0.004066450152769902,-0.0017804918504583708,-0.003457333647098194,0.002305466797041086,-0.0026126747144418574
1993M01,-0.006786133877827511,0.013281920607737998,-0.010104626919229767,-0.006768058392765021,-0.004271742594151042,-0.004670499876288183,-0.0040845358227064275,-0.0018423048298902614,-0.0034865907790907567,-0.0005314684567560073,-0.0029264040940966975
1993M02,-0.00679353292610157,-0.010645233983831992,-0.010061745769906826,-0.006775849356936574,-0.004322636297028404,-0.004710560971482447,-0.004132868174845964,-0.0019376059918907087,-0.0035476856223943835,-0.000645756636538372,-0.005357347573095724
1993M03,-0.007175303419115273,-0.010984717139678683,-0.010394736966744336,-0.007163672184225717,-0.004790128291378265,-0.005129676047036042,-0.0045543500820575105,-0.0024623396119963824,-0.004005216897563044,-0.001174529958563064,-0.005783467059835832
1993M04,-0.007752779467967224,-0.011530239564315129,-0.010924868404601728,-0.007749940879103664,-0.005472973315143347,-0.005746302893215321,-0.005170369562336791,-0.0032077859701158964,-0.004668317801367491,-0.0019166470861447839,-0.006414022494431138
1993M05,-0.00797882743618086,-0.011709328196290768,-0.01110494406938588,-0.00797935482609784,-0.005761313895136318,-0.006005182104707867,-0.005433843761066796,-0.0035434910251924334,-0.004955729670188112,-0.0022623477666054775,-0.006673436275085235
1993M06,-0.007609821425080683,0.012970460127864463,-0.01069127924923992,-0.00760499325846118,-0.005386505843771747,-0.0056594317359319295,-0.005101194659611111,-0.003192751937224828,-0.004610164170021148,-0.001943078860138227,-0.0038828761011616307
1993M07,-0.0072300336008571,0.013065753470654461,-0.010268090610591567,-0.007219848867700398,-0.004999918032231666,-0.005302081081207279,-0.004756739606732167,-0.0028290766786438874,-0.0042524734496507755,-0.001610294595217419,-0.00354028030521778
1993M08,-0.007334289322396487,-0.011268120412154626,-0.010330151095884635,-0.007325716426629873,-0.005149710763300299,-0.005434959454031026,-0.004895346633745518,-0.003018082533771645,-0.004406649509974932,-0.0018122353791631923,-0.006097526153105223
1993M09,-0.007810118069322576,-0.011721086109740604,-0.010764940640434177,-0.007808272974148904,-0.005709105870644255,-0.00594377651505838,-0.00540458555448874,-0.003628265429306482,-0.004952492094584001,-0.0024221982953577066,-0.006616484155308583
1993M10,-0.008287176754322612,-0.012176033568430233,-0.011202069290689452,-0.00829189198490476,-0.006267364898833527,-0.006452936573199029,-0.005914151435635185,-0.004235714588229857,-0.005497634504080312,-0.0030295156455661812,-0.007135448924389114
1993M11,-0.008431163774454388,-0.012274750278369877,-0.011307191077003008,-0.008437761056246662,-0.006455877227736044,-0.00662365639334776,-0.0060897787933494535,-0.004460721992411295,-0.005689022796476439,-0.0032656434046638132,-0.0073035566794058746
1993M12,-0.007667684637508958,0.012656897602678754,-0.010505869475550366,-0.007664014233718071,-0.00564357102685005,-0.005874097632991152,-0.0053571073535238324,-0.003653946281578323,-0.004921213443283737,-0.0024995724765759604,-0.004113017895890169
1994M01,0.010062213346125174,0.0130827236170366,0.014637903697280899,0.011660949226509825,-0.004962392975132613,-0.005243663551065338,-0.004741574886681045,-0.0029819927687114297,-0.004277924319493957,-0.0018633086898624442,0.002537293269600567
1994M02,0.010751603436470643,0.01358123711272362,0.015184473609048836,0.01227650378733383,0.005738063755618568,0.008530909248678064,0.008924107832921514,-0.002243432463148572,-0.0035717541487558474,-0.0011613090137358468,0.00680104031571548
1994M03,0.010718646304390195,0.013515388759586165,0.015083207970837807,0.012220328791544359,0.005789159566656412,0.008536959164666569,0.008923795698560198,-0.002084154798818375,-0.003405384039572896,-0.0010214852213233298,0.006827646219652711
1994M04,0.010323477168267037,-0.011403369983837938,0.014656395233925607,0.011826454639967732,0.005509871407588373,0.00821405513896344,0.008572443323082395,0.003260791890568676,0.0074731369758220395,-0.001169218224519311,0.005726403756982804
1994M05,0.011275423895321633,0.013163702881610938,0.01545139511054293,0.012692743877023639,0.006447785718992208,0.009109716579564543,0.009521842389988256,0.0042338480694259426,0.008409641013912558,-0.0002677911223307606,0.00900383084140519
1994M06,0.012091714358734804,0.01379757765359845,0.016128089974022264,0.013434709231939103,0.007262997650033847,0.009883975728135841,0.010340116469442525,0.005083120579691683,0.00921959212855995,0.0021817375266200006,0.009942363130077847
1994M07,0.012584069784546115,0.014173732548920268,0.016514528609376675,0.013875308148743399,0.007783755866054738,0.01036502215509459,0.010844841041022703,0.005636907236172303,0.009726052250104538,0.0028180488553424684,0.010432226649537779
1994M08,0.011992922189779523,-0.010334762243264723,0.01591765604063648,0.013300673661897877,0.007317193338259672,0.009859933264776521,0.010300066842018916,0.0052023872252411445,0.009215252469391927,0.002400684056111395,0.0075172006844848715
1994M09,0.012709145911006395,0.01367173700165178,0.016512966876889534,0.01395367546862434,0.008038981567194741,0.010544328259498114,0.01102035943676621,0.005955275544073555,0.009930154597216974,0.0032444045068884845,0.010558102916981013
1994M10,0.013305077251052561,0.014153067045497352,0.017001950260324694,0.014495453750195854,0.00865077633192982,0.011119813651880965,0.011623935758260796,0.00659726894682488,0.010531985429107988,0.0039676109042273535,0.011144693932930227
1994M11,0.0145760581745766,0.015198453919667393,0.018111177490271364,0.01567416555323107,0.009879306046567844,0.012313071404805405,0.012881873949144591,0.007855134481250114,0.01176898353098274,0.005341554017141957,0.012359977856763908
1994M12,0.014677125905612534,0.015274697596234649,0.018153913873393056,0.01575345968567574,0.010037984281009323,0.012437471253919578,0.013005211064708293,0.00804232217435804,0.01190487450432955,0.005577433221243015,0.012486449356048378
1995M01,0.015406950555741556,0.015876860320511787,0.018774631080903294,0.016426203873225045,0.010771422732858194,0.013137583497811378,0.013738157266905637,0.008803478155465951,0.012632598480183804,0.006419611450550145,0.01319874974141568
1995M02,0.014206583604192228,-0.009420603953550894,0.017626791816807843,0.015279107548277333,0.009733216459831863,0.012066964063621307,0.012596768970311898,0.007792230027335412,0.011538933217109911,0.005384289035352847,0.009680428078928976
