,mva1_12.csv,mva1_3.csv,mva1_6.csv,mva1_9.csv,mva3_12.csv,mva3_6.csv,mva3_9.csv,mva6_12.csv,mva6_9.csv,mva9_12.csv,average
1991M01,0.0012970972799596133,-0.020405774631534458,-0.009005432693713157,-0.003976663301900945,-0.008290416379891578,-0.002030087010535172,-0.009206796238397012,-0.011058868998556346,-0.022778637244634047,0.0038818588274414567,-0.008157372039176165
1991M02,-0.004211516243588716,-0.023109217302757373,-0.011764638312803074,-0.006821102300513107,-0.013099479551660029,-0.005008481347543657,3.907463836952472e-05,-0.01578650709330525,-0.026599661013233623,-0.0006227674045447031,-0.010698429593158
1991M03,-0.0041815453071838956,-0.022744552915868396,-0.011607283461757772,-0.006746139716339303,0.0008915152205256297,-0.004962185932070223,-2.9905977138584394e-07,-0.015401845383498938,-0.025992753169154927,-0.0006652819006831984,-0.009141037162580242
1991M04,-0.004207968041278522,-0.022453657180926515,-0.011513272262208307,-0.00673181939786226,0.000784148307672209,-0.00497761668388666,-9.656629304136637e-05,0.002365046453040744,0.008480476094373524,-0.0007922896662577537,-0.00391435186703749
1991M05,-0.004157537966127359,-0.022088849655087988,-0.01134257453469612,-0.006638241877839537,0.0007573645347952494,-0.0049101566250961,-0.00011000898438671528,0.0023127439195567163,0.008326205778786202,-0.0007955687969766947,-0.0038646624207072356
1991M06,-0.0049015523732369995,-0.02260841030809258,-0.012007969999786088,-0.007378309289863737,-7.371013243796288e-05,-0.005702817808870978,-0.0009536991407514355,0.0014443809077610852,0.00733283973662249,-0.006417902321168572,-0.005126715072982477
1991M07,-0.004140896150506559,0.01506330434378467,-0.011100620241200312,-0.006543297979870511,0.0006253220597156808,-0.00486789470631334,-0.0002190723643380882,0.002130812194560188,0.007947594892385654,-0.005513069271670788,-0.0006617817223453406
1991M08,-0.0038181245243951653,0.015118189745410359,0.004444317752213926,-0.006168669173640677,0.0008817735875567591,-0.004507966624862844,5.8260663191240885e-05,0.0023683388950224283,0.008101657072583817,-0.0051178041242684325,0.0011359973268811412
1991M09,-0.003112467888146086,0.015701601385241352,0.005363132880045229,-0.003152829453085676,0.0015286913785749186,-0.004833879117782109,0.0007372594921851829,0.00300272463355629,0.008667357477263948,-0.004284637665917438,0.0019616953121935608
1991M10,-0.003793951587686808,0.01665195184982168,0.006691059383675748,-0.0014876427458538587,0.002450302018645119,-0.003313146407756002,-0.013271590437937564,0.003916211411642511,-0.025502017733059445,-0.003146859580518484,-0.00208056838290271
1991M11,-0.004634801368829319,-0.021482659080915623,0.005823347355168125,-0.0022432630120876986,-0.0127915900573293,-0.0039495410358393835,-0.013758227108418947,0.003377951913971236,-0.025685867166264566,-0.0036319698119242315,-0.00789766193724697
1991M12,-0.0021377208391237363,-0.022858216236004057,-0.010655878784796199,-0.005395322922876561,-0.0154020237417479,-0.006091575653767704,-0.01597272652718037,-0.015137144130880645,-0.027571479620453747,-0.005269037000566685,-0.01264911254573976
1992M01,-0.002783079442982504,-0.02325662838643409,-0.011221065192800746,-0.006030589471984323,0.001940673505126253,-0.0037364017810869897,0.0016981933138453835,-0.01602419920067026,-0.028034813758922895,-0.0020157297281019754,-0.008946364014401215
1992M02,-0.0028512264857353535,-0.023013394607289628,-0.011168357749940851,-0.006054987663884375,0.0018050349132063368,-0.0037972212386270104,0.001560136551565479,-0.015804869393315452,-0.02758269937586213,-0.0021446828370357547,-0.008905226788691874
1992M03,-0.003036101414437548,-0.02291083617150049,-0.01124451566951518,-0.0062041486583352574,0.0015529219799535379,-0.003987370860481077,0.0013006114380501102,0.0018044497052516631,0.009522697902508719,-0.002460292024679301,-0.003566258377318482
1992M04,-0.0021047665112835755,0.015710901929491566,0.0034278037370496783,-0.005174336800088231,0.0024341515613097425,-0.0029445342592954392,0.0022232124377773318,0.00270696001107849,0.010363891686336297,-0.0009745752106872152,0.0025668708581688643
1992M05,-0.007471812516817367,0.016254272077960732,0.004294993033086709,-0.004674052307071674,0.003010080458411327,-0.006945996185590745,0.0028264473322709956,0.003295097926852778,0.010874024013696446,4.732558621595509e-06,0.0021467786391420793
1992M06,-0.005985566776965179,0.016822726764865327,0.005177121335630093,-0.0034878402124174845,-0.0162819199031357,-0.005856690664724662,-0.016716574322201687,0.003900908638234433,0.011405114678102485,-0.005936054886699962,-0.0016958775349312338
1992M07,-0.006470798892974355,-0.021565479844372334,0.004585091165211224,-0.003953096811815177,-0.016496195357929865,-0.006220763145520526,-0.016891751887272415,0.003518134370348636,0.010893264651482257,-0.006220490768217098,-0.005882208652105965
1992M08,-0.006527070025328513,-0.021372940937065092,0.004325278141289709,-0.004055537599705851,-0.016295405042464645,-0.006267774874544869,-0.016708943468772715,0.003355687604680178,-0.027338447134669368,-0.006257534439225726,-0.009714268777580689
1992M09,-0.0054490427791979166,0.016086171158612123,0.004945830865878277,-0.003190653399288804,-0.014973169420905638,-0.005459061767102596,-0.015550183397279926,-0.015818772646845704,-0.02597818188031693,-0.0056179590025224255,-0.007100502226896954
1992M10,-0.005228482728550063,0.0158670088452569,0.0049203231004346145,-0.0030493081347752124,-0.014520313598508814,-0.005291413969612478,-0.015142862063351326,-0.015333455348240477,-0.025362096439115234,0.0009946189606860065,-0.006214598137577608
1992M11,-0.006417738743440783,-0.020520485631815678,-0.010126730204464867,-0.00446691107125844,-0.015488335545067185,-0.006198428903873348,-0.01597691150690571,-0.016305254860575106,-0.025970568661867165,-0.00015174541308228973,-0.012162311054235058
