,osc12_10_buy.csv,osc12_10_sell.csv,osc12_5_buy.csv,osc12_5_sell.csv,osc1_10_buy.csv,osc1_10_sell.csv,osc1_5_buy.csv,osc1_5_sell.csv,osc3_10_buy.csv,osc3_10_sell.csv,osc3_5_buy.csv,osc3_5_sell.csv,osc6_10_buy.csv,osc6_10_sell.csv,osc6_5_buy.csv,osc6_5_sell.csv,osc9_10_buy.csv,osc9_10_sell.csv,osc9_5_buy.csv,osc9_5_sell.csv,average
1991M01,-0.002868499837475542,-0.0028684998374755395,-0.0027453867753294194,-0.002745386775329416,0.01101248499235834,0.011012484992358339,0.01101248499235834,0.011012484992358339,-0.005812730825993227,-0.005812730825993227,-0.006512658378981842,-0.006512658378981848,-0.004269597128798753,-0.004269597128798755,-0.004978072835663769,-0.004978072835663773,-0.0032072644578127803,-0.003207264457812788,-0.003586488921022375,-0.0035864889210223743,-0.0011955729176361036
1991M02,-0.002724166434807662,-0.0027241664348076657,-0.002595710490836417,-0.002595710490836418,0.01090887994609112,0.010908879946091118,0.01090887994609112,0.010908879946091118,-0.005606615588251856,-0.005606615588251861,-0.00628213067334764,-0.006282130673347644,-0.00409950654789769,-0.00409950654789769,-0.004779638098192341,-0.00477963809819234,-0.0030573775367787343,-0.0030573775367787282,-0.0034164473737672476,-0.003416447373767249,-0.0010743832851697354
1991M03,-0.0025994350798358382,-0.0025994350798358387,-0.0024668140829672332,-0.002466814082967234,0.010790885898638202,0.010790885898638209,0.010790885898638202,0.010790885898638209,0.008348108455412548,0.008348108455412555,0.008242493601769006,0.008242493601769008,-0.003950183857383875,-0.003950183857383872,-0.004604837818341664,-0.004604837818341663,-0.002927271809194467,-0.002927271809194468,-0.0032686293922371996,-0.0032686293922372022,0.001835520181449769
1991M04,-0.0027537426658976304,-0.002753742665897627,-0.002631047398279917,-0.0026310473982799182,-0.008043127658615023,-0.008043127658615014,-0.008043127658615023,-0.008043127658615014,-0.005423584671670872,-0.0054235846716708695,-0.006076834159769586,-0.006076834159769588,-0.004085194004873295,-0.004085194004873301,-0.004740205804015116,-0.004740205804015122,-0.003076375637647384,-0.0030763756376473903,-0.003424701523435327,-0.0034247015234353238,-0.0048297941182819165
1991M05,-0.0032099649053855955,-0.0032099649053855973,-0.003111718194916766,-0.0031117181949167644,-0.008448362206657605,-0.008448362206657607,-0.008448362206657605,-0.008448362206657607,-0.005873218253390471,-0.005873218253390474,-0.006538890085365271,-0.006538890085365266,-0.0045275237189725745,-0.004527523718972567,-0.005209374083137751,-0.005209374083137744,-0.0035275567369517594,-0.0035275567369517625,-0.003908214480548761,-0.003908214480548755,-0.005280318487198416
1991M06,-0.003172191414927637,-0.0031721914149276387,-0.0030737015792829166,-0.0030737015792829184,-0.008320134303640281,-0.008320134303640286,-0.008320134303640281,-0.008320134303640286,-0.005787909416260936,-0.005787909416260935,-0.006437412856246893,-0.006437412856246896,-0.004468573161263912,-0.004468573161263906,-0.005133870929620473,-0.005133870929620468,-0.003484897218315861,-0.0034848972183158626,-0.0038556557062999087,-0.0038556557062999096,-0.0052054480889499105
1991M07,-0.003188430035338462,-0.003188430035338467,-0.003092276798056872,-0.003092276798056878,-0.008253311452138671,-0.008253311452138675,-0.008253311452138671,-0.008253311452138675,-0.005762598448158993,-0.005762598448158993,-0.006399594364967511,-0.006399594364967512,-0.004465117272045118,-0.004465117272045113,-0.005119038753494166,-0.005119038753494159,-0.0034963978720086875,-0.0034963978720086884,-0.003862021028525191,-0.0038620210285251963,-0.005189209747687234
1991M08,-0.003035360010071833,-0.0030353600100718283,-0.0029335340096883957,-0.002933534009688393,0.010337715331964347,0.010337715331964358,0.010337715331964347,0.010337715331964358,-0.005555665220647942,-0.0055556652206479405,0.00784704539785559,0.007847045397855591,-0.004290384257960706,-0.004290384257960703,-0.004919263336920063,-0.0049192633369200605,-0.0033387313118663792,-0.0033387313118663736,-0.0036857422755243677,-0.0036857422755243656,7.637956391046144e-05
1991M09,-0.002931799831108651,-0.0029317998311086564,-0.002826760684009737,-0.002826760684009738,0.01021596565556935,0.010215965655569353,0.01021596565556935,0.010215965655569353,0.007926293731797427,0.007926293731797429,0.007774586657507838,0.007774586657507836,-0.00416654669949228,-0.004166546699492274,-0.004775295667624187,-0.004775295667624184,-0.003230709790229753,-0.003230709790229751,-0.0035636395067156594,-0.0035636395067156637,0.00146380595212637
1991M10,-0.0029445783004688492,-0.002944578300468848,-0.002841711495115074,-0.0028417114951150763,-0.008006205434240864,-0.008006205434240857,-0.008006205434240864,-0.008006205434240857,0.007691497572822238,0.007691497572822238,0.007559992196869505,0.007559992196869508,-0.004161355045337413,-0.004161355045337422,-0.00476002929539145,-0.004760029295391452,-0.0032391562311968915,-0.0032391562311968824,-0.003567543799063268,-0.0035675437990632585,-0.002227529526536292
