,flt12_10_buy.csv,flt12_10_sell.csv,flt12_5_buy.csv,flt12_5_sell.csv,flt1_10_buy.csv,flt1_10_sell.csv,flt1_5_buy.csv,flt1_5_sell.csv,flt3_10_buy.csv,flt3_10_sell.csv,flt3_5_buy.csv,flt3_5_sell.csv,flt6_10_buy.csv,flt6_10_sell.csv,flt6_5_buy.csv,flt6_5_sell.csv,flt9_10_buy.csv,flt9_10_sell.csv,flt9_5_buy.csv,flt9_5_sell.csv,average
1991M01,-0.00537516634759209,0.00026330697879689286,0.0009446209752445086,-0.009272600600853765,-0.004132395234807836,-0.003260126940042845,-0.006479234523634053,0.0007673266986096246,-0.002757271671167305,-0.00030304064616762133,-0.0049433912712040975,-0.013423969016600854,-0.001324723236386635,0.0012091391036355343,-0.006951761817898872,-0.011719785790863982,-0.003646453722508292,0.0003799619052014657,-0.008712573038298517,-0.008416777161863221,-0.004357745767920098
1991M02,-0.005559006872069622,-0.008961329496678137,-0.010983625549984137,-0.009369691141369423,-0.004241568311337148,-0.003375469093380712,-0.0065711443263914175,0.000590655808474123,-0.0028941439671102006,-0.0004717445855863849,-0.005080313400069713,-0.013479710264634794,-0.001511061025300713,0.0009923139828888843,-0.007104165985326681,-0.01178953781684532,-0.003831452807998106,-0.009032336127286182,-0.008856696913948681,-0.008536601196303789,-0.006003331454512907
1991M03,-0.005221806539676618,-5.16870646561703e-05,-0.010404867519224075,-0.00902055417393392,-0.0040742751679726215,-0.003219397309873055,-0.0063701811337820245,0.000727575764747936,-0.0027216082680777687,-0.0003201406698992949,-0.004844357949531145,0.002209229210163445,-0.0013183951452066937,0.0011504152362100356,-0.006745773393620276,-0.011332924188503797,-0.00356751950722985,0.00011104059843777932,-0.008394594650284368,-0.008172254313999745,-0.004079103809295612
1991M04,-0.005537107787016036,-0.008487169044792672,-0.01070228868477755,-0.009235303014298913,-0.004254649719576875,-0.003404347127726299,-0.006538419098824439,0.0004730911540801543,-0.0029371068930245615,-0.0005687693325962971,-0.005076631616474085,0.0018410667920737793,-0.0015988513310120384,0.0008422583643842942,-0.007029363121972052,-0.011544728714388084,-0.0038648900849691486,-0.008487054471939233,-0.008696622874523937,-0.008418512073409972,-0.005161269934039199
1991M05,-0.0059417414379096855,-0.008914641763418822,-0.01111827893146097,-0.009530385947501134,-0.004485969437513984,-0.0036392233883787923,-0.0067608690041712095,0.0001627864099440724,-0.003208656399751889,-0.0008745444961043815,-0.005375746965503755,-0.012774343896040744,-0.0019457754855416029,0.0004691568905938922,-0.007401846112088589,-0.011851064342887359,-0.004240128435027037,-0.00897559744972277,-0.009102807607810414,-0.008750566064787997,-0.006213012193254159
1991M06,-0.006413329345077936,-0.009421800665406928,-0.011621548909891527,-0.009886783624167823,-0.004757075534952151,-0.003913097975401132,-0.007025619582177728,-0.0001906324897515571,-0.0035236746632682204,-0.0012244475116866323,-0.005726236854335024,-0.013312576820779094,-0.002343521141482787,-0.015235871012783814,-0.007841239142901055,-0.012228898198369238,-0.004674324016288936,-0.009552105136027741,-0.009586388399046214,-0.009147627364725274,-0.00738133991942604
1991M07,-0.006967269962659587,-0.010026359980098336,-0.012230857985762952,-0.010318131200628829,-0.005077191964906512,-0.004235049943190103,-0.007342358871670924,-0.000597427684702335,-0.0038923082524183104,-0.0016289245526160067,-0.006139938434159926,-0.013971006560259043,-0.0028040920705999957,-0.016174866989214304,-0.008362690409410492,-0.012693658676362608,-0.005181214485617749,-0.010236142892026588,-0.010164530283679507,-0.009624223287151082,-0.007883412224356758
1991M08,-0.006655675510063079,-0.009593686418807626,-0.011714456929773793,-0.009998729445680884,-0.0049215812048098405,-0.004089737071860483,-0.007155990116695943,-0.0004684744262285662,-0.003731375930214819,-0.0014865400088832626,-0.00592090313199261,-0.013336591969869133,-0.0026230666594252747,-0.015129872224957215,-0.00803361489239214,-0.012281431170994435,-0.004935197255169962,-0.009741117680076497,-0.009745577039728424,-0.00929092767279911,-0.007542727338021154
1991M09,-0.0055107027826876865,-0.008172026418691872,0.000645875226715404,-0.008951808839583813,-0.004297669359836675,-0.0034842293669129446,0.024665703191979742,0.00018608222037184204,-0.0030507358350405586,-0.0008079918274802264,0.001523658510892677,0.001400396415917762,-0.0018163714757308564,4.650769489722602e-05,0.0020292325335031104,0.006919717572343671,-0.003959594003868816,-0.0002773763721699101,0.001183128945614802,-0.008175419168859555,-0.000495181156931334
1991M10,-0.00585148000855872,-0.008526887580840397,0.0001525619545854305,-0.009202195772541851,-0.0045001872049503,-0.003690329705909874,-0.006475146081420632,-8.557528195750629e-05,-0.0032876559556100854,-0.0010750497477361692,0.0005407851824976561,0.00100067719861521,-0.0021159345297407624,-0.00028307981373033663,0.0014120218835868116,-0.01102546289626975,-0.004279317253989568,-0.0007151188580779897,0.0006517554181020239,-0.008456079599362601,-0.0032905849326654705
1991M11,-0.005666646275581697,-0.008258280794121668,0.00025476049752201635,-0.008994249544123872,-0.004407460956216488,-0.0036062583267109107,-0.006357664713652788,-2.5541082116631676e-05,-0.0031968173785749815,-0.0010038080442037758,-0.0050845515043830385,0.0010698050000507008,-0.002020713195250039,-0.00020764657619176942,0.0015071439048031472,0.006227893376733334,-0.004138807717606547,-0.0006071672813030078,0.0007503873344699534,-0.00824381550375474,-0.0026004719390106397
1991M12,-0.005581778145461375,-0.008110861467278744,0.00024777811277575806,-0.008874735601875723,-0.004370116718159857,-0.0035764648740475506,-0.0062996511912612714,-2.676340305431951e-05,-0.003167238742062218,-0.0009952721419393454,-0.00502650051983454,0.0010530923587108202,-0.001998963249000163,-0.000206962900496166,0.001473320196179395,0.006100331152843449,-0.004084907854095118,-0.0005999141152150365,0.0007340126953384804,-0.008126516986566426,-0.002571905669724998
1992M01,-0.0061741963572738996,-0.008763906443311048,-0.010130142544003264,-0.009352157528851882,-0.004720649443437496,-0.0039277889360222525,-0.006655037570278191,-0.0004603033712294054,-0.00356641317843747,-0.0014278078645447775,-0.005487603771058418,0.00043505894676758956,-0.002489565741828759,-0.0007301913384325383,-0.0068849442816047825,-0.010751215447911031,-0.004626194151041691,-0.0012886870216193007,-0.00837375832441473,-0.008648729317116733,-0.005201211684282505
1992M02,-0.007213514123633976,-0.009940127149628383,-0.011470516914603187,-0.010226582912727506,-0.005333475626713028,-0.004536947391677989,-0.00728947288342609,-0.0317547433092107,-0.0042544329262942495,-0.02040431205317323,-0.0062958897817749805,-0.011487324694700558,-0.00332273529821024,-0.012291925588808338,-0.00796187463194532,-0.01178387054720449,-0.005562803263572714,-0.008130818739483282,-0.009599844294941724,-0.00959464139297987,-0.009922792676235493
1992M03,-0.0071821061514660625,-0.009856293440431619,-0.011342662016635436,-0.010159715238746835,-0.005331290125768603,-0.004541492136422005,-0.007269366511905996,-0.001184805134038725,-0.004262200276199168,-0.01944640330086339,-0.00628204753443908,-0.011338265330084633,-0.0033424548118957003,-0.012043161672512051,-0.007917503822472562,-0.011679087757657802,-0.005556504156464182,-0.008065860298562702,-0.009519093004250185,-0.009531907096080372,-0.008292610990844856
1992M04,-0.007485181923888323,-0.010165412779553146,-0.011671126181968115,-0.010389646254257794,-0.005524197281046852,-0.004737765822356837,-0.007456978835660014,-0.001441086365605996,-0.004484930502109477,-0.019955105133083306,-0.006527129409879113,-0.011719085082778207,-0.0036174756967479868,-0.012578200765048373,-0.008223213377413914,-0.01193163001444155,-0.0058454506986710736,-0.008483120176688515,-0.009844974433098458,-0.009786186922827244,-0.008593394882856214
1992M05,-0.007654588677145761,-0.010318383477425738,-0.011818674806390041,-0.010502988132709069,-0.005640327174919637,-0.004858475647394453,-0.007563109869733662,-0.001609978519250362,-0.0046225112812742835,-0.0021570302061021743,-0.0066695352459016635,-0.011888519962092205,-0.003790290850101405,-0.012796441213011612,-0.008389190112854137,-0.012043933418039535,-0.006016314039851293,-0.008704763737407285,-0.010008744781698638,-0.009915341892139148,-0.007848457152272104
1992M06,-0.007885265605045075,-0.010543207527926911,-0.01204912717906189,-0.010672108913025172,-0.005793596536445288,-0.00501564101551415,-0.007708858017417409,-0.001819536201855473,-0.004800585953537791,-0.002369414869712807,-0.006860338710869743,-0.012152522801133629,-0.004010316499100272,-0.013147572755042402,-0.008619241001753302,-0.012222869494755324,-0.006241518246328121,-0.009011321473819098,-0.010246438099940986,-0.010103572674350582,-0.008063652678831771
1992M07,-0.007145383492761872,-0.009641119560067676,-0.010985509148350635,-0.009980030451390983,-0.005370622627223876,-0.004605869572466509,-0.007243111486744053,-0.0013824456214739812,-0.004344342022329761,-0.0019102258182795572,-0.00629244104575871,-0.000581521661901294,-0.003479170660622362,-0.011373820657030654,-0.007836552777389547,-0.011375676612783249,-0.005604138434900053,-0.00794470249434528,-0.00931922669028621,-0.009373443474959858,-0.006789467715553307
1992M08,-0.007031352139284875,-0.009469373133541858,-0.010764337976361369,-0.009843945868922076,-0.005316937971992051,-0.004559218162115499,-0.007169876558067507,-0.0013589469890654242,-0.004294583037344279,-0.001880805521809666,-0.006212103988158524,-0.0005583581490991849,-0.0034296166609236226,-0.0016031947729088954,-0.007707760518983149,0.005104611323864407,-0.005521418389217628,-0.007769248498087509,-0.009147126165673994,-0.009236399984232334,-0.005388499658096252
1992M09,-0.007088010371281159,-0.009496790136252296,-0.010772547321551525,-0.0098605737657665,-0.005364963364959676,-0.004612536907274657,-0.00720482642659287,-0.0014486298465012848,-0.0043564533790377245,-0.0019689494443115543,-0.0062654226830399186,-0.0006968737745266002,-0.003511663446671901,-0.0017137794457146571,-0.007757285882194784,0.004790598388655278,-0.005590124930395848,-0.007834433645425671,-0.009180625119566512,-0.00926188282170384,-0.005459788716205685
1992M10,-0.006522817284296884,-0.008807586116424737,-0.0005137330437982,-0.009322930373881905,-0.005037008247883069,-0.004295759065530097,-0.006841524737882335,-0.0011175478555189358,-0.004005498294687485,-0.0016206277564905145,-0.005827876432139085,-0.00023535653187190604,-0.003107359961263448,-0.0012931515980072175,0.0005502261897540415,0.005366275233256871,-0.0051033202151228065,-0.0024351454782620724,-7.697646216912879e-05,-0.008697789733422282,-0.0034472753882820602
1992M11,-0.0026600032223456933,-0.000505457468055529,-8.306051383988669e-06,-0.008862520763588535,-0.004758217089891566,-0.004027194927210531,-0.006530902608738801,-0.0008413921916209559,-0.0037088545684090405,-0.0013295859578095395,0.0007220216398134294,0.0001449883166461554,-0.007294152335165277,-0.0009436567879054009,0.0011239842350736669,0.005818971738216086,-0.0031294020020497006,-0.001946554084636062,0.00044738955472953083,0.003722935519957626,-0.0017282954527187068
