,sup12_1_buy.csv,sup12_1_sell.csv,sup12_2_buy.csv,sup12_2_sell.csv,sup12_3_buy.csv,sup12_3_sell.csv,sup12_4_buy.csv,sup12_4_sell.csv,sup12_5_buy.csv,sup12_5_sell.csv,sup1_1_buy.csv,sup1_1_sell.csv,sup1_2_buy.csv,sup1_2_sell.csv,sup1_3_buy.csv,sup1_3_sell.csv,sup1_4_buy.csv,sup1_4_sell.csv,sup1_5_buy.csv,sup1_5_sell.csv,sup3_1_buy.csv,sup3_1_sell.csv,sup3_2_buy.csv,sup3_2_sell.csv,sup3_3_buy.csv,sup3_3_sell.csv,sup3_4_buy.csv,sup3_4_sell.csv,sup3_5_buy.csv,sup3_5_sell.csv,sup6_1_buy.csv,sup6_1_sell.csv,sup6_2_buy.csv,sup6_2_sell.csv,sup6_3_buy.csv,sup6_3_sell.csv,sup6_4_buy.csv,sup6_4_sell.csv,sup6_5_buy.csv,sup6_5_sell.csv,sup9_1_buy.csv,sup9_1_sell.csv,sup9_2_buy.csv,sup9_2_sell.csv,sup9_3_buy.csv,sup9_3_sell.csv,sup9_4_buy.csv,sup9_4_sell.csv,sup9_5_buy.csv,sup9_5_sell.csv,average
1991M01,-0.004080582130201493,-0.005549735835766642,-0.004080582130201493,-0.004807657468689889,-0.004080582130201493,-0.004415885102444465,-0.00429936875297344,-0.0042652680189514056,-0.00429936875297344,-0.004380812443723166,0.0059431807893035446,0.004178221444054919,-0.0035569905780455297,0.0011040955127044338,-0.002167188566030384,0.0011618399074011321,-0.0022162105249455754,0.0003380366822620718,-0.003439173432101271,0.00035757834079694784,-0.0010323864780020235,0.0004206142038761591,-0.0015025958962462508,-0.00018625182778527532,-0.0018816887569272312,-0.00016885428424539767,-0.002149976538693869,0.00040407859829952526,-0.0023849917739219495,0.0003550004635782208,-0.0012570942402539693,-0.00012200603389692205,-0.0014450760789504213,-0.00014693726627860532,-0.0014450760789504213,-0.00011449702646150397,-0.001765402967619992,0.00040534413224570557,-0.001765402967619992,0.00046549071440142174,-0.003188960174000353,-0.0027901296215510777,-0.003188960174000353,-0.002193662668323341,-0.0032489589246872848,-0.001870203192228193,-0.003474480015401461,-0.00128105653006258,-0.003474480015401461,-0.001338923968233808,-0.0016784795715613864
1991M02,-0.004664191008408255,-7.659928312398617e-05,-0.004664191008408255,-0.0037531480671127828,-0.004664191008408255,-0.005015764367575108,-0.004874160098202422,-0.004840434097521288,-0.004874160098202422,-0.00494847079943064,-0.0028906913191544537,-0.005005506488276556,-0.004245930715587934,-0.0019144712424235756,-0.0028230704046180908,-0.003117953509346635,-0.0028413734059095403,-0.0005170688809160301,-0.004017066994456804,-0.0008898013693389605,-0.0016711565319193606,-1.8717169553123783e-05,-0.0021217283150391083,0.0026366808853685894,-0.0024897297837259305,0.0030980420029960588,-0.002741883110760351,-0.0006540789493054706,-0.002968006713651935,-0.0002262279204257455,-0.00187207520612682,-0.0021927948662683987,-0.002051233277740092,-0.0028707169062590233,-0.002051233277740092,-0.003383753381124417,-0.002355080152579031,-0.010652877984094361,-0.002355080152579031,-0.00012899753438203417,-0.0037824759628315753,0.0003554397885170311,-0.0037824759628315753,-0.00287071690625902,-0.003835293235062267,-0.0024852051919650705,-0.004051989810547213,-0.0018824078848315787,-0.004051989810547213,-0.0019268650022824967,-0.0027204574497994532
1991M03,-0.004537607980253086,-0.0061800524448165665,-0.004537607980253086,-0.005417042453397192,-0.004537607980253086,-0.004880870857105934,-0.004746670699812045,-0.004713311286094833,-0.004746670699812045,-0.00482155321498824,-0.002751469092399213,0.003181768942204663,-0.004103612827519982,0.00033463582361756885,-0.0027078568932094008,0.0004658492920250906,-0.002731188883641112,-0.0003017770014578477,-0.0039001645046915496,-0.0002549266001665771,-0.0015742699286735457,-0.00031998313862626566,-0.002021988394275205,-0.0008347475673372946,-0.002387041933863976,-0.000795926805185013,-0.002638692275658498,-0.00019602097819637317,-0.002863508083148057,-0.00015470173381829187,-0.0017761747692055117,-0.0007865163296017872,-0.0019544278665286517,-0.0007742533096400698,-0.0019544278665286517,-0.0007352759730807238,-0.002257102017405718,-0.00020115294542510264,-0.002257102017405718,-5.6998956154257656e-05,-0.003665582111001425,-0.0034385061462168525,-0.003665582111001425,-0.0028190847200530796,-0.0037190958677929794,-0.0023814266392353256,-0.003934711806630442,-0.0017884587188257291,-0.003934711806630442,-0.0018344257437983402,-0.002392192718059385
1991M04,-0.00460337648209758,-0.0062338116851230274,-0.00460337648209758,-0.005477173473124505,-0.00460337648209758,-0.004944999388486166,-0.004809484027232845,-0.004776483316888936,-0.004809484027232845,-0.00488290169301971,-0.0028618471354632646,-0.004753158168234241,-0.00418569760375323,0.0001909128502811933,-0.0028005681079945445,0.00033425215581113943,-0.002819471145060276,-0.00041607181421883386,-0.003971314990279371,-0.00036485621239827767,-0.0016755512794743683,-0.00045162835672011767,-0.002116123798183681,-0.0009455835057760346,-0.002476186153604004,-0.000903535413369203,-0.0027232626785764573,-0.0003042739904021022,-0.0029448217891143557,-0.0002590378179795775,-0.0018719588494309567,-0.0009004906763499844,-0.0020472653104363766,-0.0008821000881049781,-0.0020472653104363766,-0.0008423741706553534,-0.0023447989451166754,-0.0003104914423148041,-0.0023447989451166754,-0.0001644613152745864,-0.0037408291549030047,-0.0035236228605469723,-0.0037408291549030047,-0.002907371372665508,-0.003792958386955921,-0.002471612172320067,-0.004005494767729555,-0.0018820741595823387,-0.004005494767729555,-0.001925612039695717,-0.0026388839180435763
1991M05,-0.004569311386123706,-0.006175998563091762,-0.004569311386123706,-0.005430715416611898,-0.004569311386123706,-0.004906002979242178,-0.004773588692438106,-0.0047409390534808365,-0.004773588692438106,-0.004846611386319794,-0.002842034294089157,0.0029596708923312538,-0.004151317915662911,0.00016979290993303025,-0.002784693159721674,0.00031343362978362185,-0.0028040917162988005,-0.00042727237182662377,-0.003944620333081981,-0.0003761242791785874,-0.0016728820714416266,-0.0004640801820341348,-0.0021087237846874186,-0.000951086191739537,-0.0024649940719150103,-0.0009093157084035329,-0.002709705414133836,-0.00031593428489824153,-0.002929097838774916,-0.0002706842015295555,-0.0018672638355287721,-0.0009066381692255892,-0.002040755281139472,-0.0008881133758052253,-0.002040755281139472,-0.0008487499597507561,-0.0023353252327355405,-0.000322208433087856,-0.0023353252327355405,-0.0001772982975094673,-0.0037160387613720857,-0.0034990546216761573,-0.0037160387613720857,-0.0028908314983268797,-0.003767877154717323,-0.002460348154757102,-0.003978440323401111,-0.0018773715111291291,-0.003978440323401111,-0.001920557508941408,-0.0024721314209423103
1991M06,-0.0041693285649664034,-0.005709271511118492,-0.0041693285649664034,-0.004993672357301959,-0.0041693285649664034,-0.004489134003616852,-0.004375665929331785,-0.004343359970784592,-0.004375665929331785,-0.004452072998934561,0.00429716600093212,0.003436963002019057,0.009692375737134471,0.0005910657418911059,0.008256227108211053,0.0006938480503984998,-0.0024103206666398814,-6.361643514738656e-05,-0.003559477685834641,-2.815346582607075e-05,0.006679324214181924,-4.5415757225421185e-05,0.010229439851048171,-0.0005735288584683989,-0.002087397605164181,-0.0005443867889297003,-0.002337426463958871,2.4320899668707518e-05,-0.0025583950383477197,5.5784014197820945e-05,-0.0014960262010799178,-0.000521005078635944,-0.0016715991855204967,-0.0005234124384023383,-0.0016715991855204967,-0.0004883475792995407,-0.0019707437993809127,2.1619218827104614e-05,-0.0019707437993809127,0.00015476542349225847,-0.0033251333085632033,-0.0030743089423233725,-0.0033251333085632033,-0.0024917214394269927,-0.0033805408288501595,-0.002078741467042908,-0.003592945384587944,-0.001513762705777126,-0.003592945384587944,-0.0015639286180066693,-0.0010714937310761857
1991M07,-0.00411728844577862,-0.005632992049130353,-0.00411728844577862,-0.004928861625670776,-0.00411728844577862,-0.0044319207779484815,-0.004322018547173396,-0.004290049109027734,-0.004322018547173396,-0.00439819098082314,-0.0023506492516678964,0.0033953617482042767,-0.003692300733955188,0.0005933874762706225,-0.002373040665901161,0.0006947748861166013,-0.0023757032381125694,-5.460461586759961e-05,-0.003514797681260336,-1.9878865581748755e-05,-0.0012915418970009182,-3.529355333531656e-05,-0.001730898004178276,-0.0005587155440031097,-0.0020572725487111557,-0.0005303562618360545,-0.002305344925589467,3.189829217581961e-05,-0.002524386081243427,6.276167190340771e-05,-0.0014721261067751536,-0.000506449035529104,-0.0016461191652768115,-0.0005096050426972822,-0.0016461191652768115,-0.0004750546283819388,-0.00194273128349057,2.9301499837775732e-05,-0.00194273128349057,0.0001609012386841458,-0.003281979455232294,-0.003030069957263645,-0.003281979455232294,-0.0024558290856105092,-0.003337259333155126,-0.0020483880178416747,-0.0035479203521914396,-0.0014901725463580537,-0.0035479203521914396,-0.0015403083010785924,-0.0020565415319281606
1991M08,-0.004507960801361338,-0.006051466962299991,-0.004507960801361338,-0.005336561325182433,-0.004507960801361338,-0.004831812324225589,-0.004706552733096553,-0.0046749128767874445,-0.004706552733096553,-0.004778024078791468,-0.002881340945317239,-0.004684036592990347,-0.004154856024781576,-0.0016487337940558195,-0.002819049687671818,-0.0027190407868242774,-0.002797704650409414,-0.00012907238435664172,-0.0039036449965711355,-0.0004443886177872361,-0.0017299146435739421,-0.0005424464927058517,-0.0021552696698967965,-0.0010050537944130667,-0.0024694034032216607,-0.0009628981388874594,-0.0027065335955499775,-0.0003846390365631271,-0.0029193098034704557,-0.0003380517536121973,-0.0018903522367224915,-0.0009632866527089971,-0.0020582399427659143,-0.0009423653536343578,-0.0020582399427659143,-0.0009036669195625398,-0.002343530306705002,-0.00039141704644058095,-0.002343530306705002,-0.0002487334262217708,-0.003681352946133202,-0.0034686127370870054,-0.003681352946133202,-0.0028815465366551704,-0.003731945675923833,-0.002464950613250913,-0.003936429681064172,-0.0018996793018209268,-0.003936429681064172,-0.0019411235638849998,-0.0027154388013494847
1991M09,-0.0046148124046685255,0.00035661720667828217,-0.0046148124046685255,-0.005441352588885463,-0.0046148124046685255,-0.0049386288561184925,-0.004810287565638,-0.004778970565005517,-0.004810287565638,-0.00487998915195679,-0.003041223950341788,-0.00489196577113663,-0.00428398506450901,6.569720054575186e-05,-0.0029544824588458277,0.0002139043239820994,-0.002926160625640786,-0.0004968091899724045,-0.004014442181678081,-0.0005901277865182622,-0.0018712334788275379,0.00021830288986981387,-0.0022891359504469177,-0.0011541668323458139,-0.002597271062179772,-0.0011077905157965305,-0.0028294228150106708,-0.0005280838611729799,-0.0030388423686573355,-0.00047647570188406234,-0.002024189495335232,-0.0016901471207139153,-0.0021889983752086963,-0.0010874716137231507,-0.0021889983752086963,-0.001047676191754248,-0.0024688206668595364,-0.0005362285391977583,-0.0024688206668595364,-0.00039071238637649507,-0.003796726279906658,0.0007377588923520523,-0.003796726279906658,-0.003010482233273483,-0.003845625478436425,-0.0025941966102186985,-0.004046895707741889,-0.0020307185646526137,-0.004046895707741889,-0.0020691576506005763,-0.0025266556110500075
1991M10,-0.004291302075370562,-0.006152858908965035,-0.004291302075370562,-0.005087759627413535,-0.004291302075370562,-0.004601493816932697,-0.004488070520868609,-0.004457069853575847,-0.004488070520868609,-0.004560297261771906,0.0042068407895716285,0.0027027894969746816,0.009404701770061526,0.00039932069024928096,-0.0026206637663416343,0.0005158739368197373,-0.002610209462565286,-0.00020643014727236142,-0.0037034057611959833,-0.0003133345099877563,-0.0015631437623875456,-0.0007150985388438358,-0.001983111619020057,-0.000853705484485412,-0.0022943478894378146,-0.0008170998932982975,-0.0025302365881952433,-0.0002573261775680323,-0.0027405449207841726,-0.00021642215878580294,-0.0017271140936835263,-0.001116135879845803,-0.0018932589990294964,-0.0007969904644421694,-0.0018932589990294964,-0.0007605652115676531,-0.0021761669982120944,-0.0002627094460717205,-0.0021761669982120944,-0.00012648246086775864,-0.0034815637682083034,-0.003596747047031625,-0.0034815637682083034,-0.002690272849233002,-0.003533152495153918,-0.0022881822135511674,-0.003735534751999152,-0.0017395193803407699,-0.003735534751999152,-0.0017832914004326128,-0.001917985854202403
