,flt12_10_buy.csv,flt12_10_sell.csv,flt12_5_buy.csv,flt12_5_sell.csv,flt1_10_buy.csv,flt1_10_sell.csv,flt1_5_buy.csv,flt1_5_sell.csv,flt3_10_buy.csv,flt3_10_sell.csv,flt3_5_buy.csv,flt3_5_sell.csv,flt6_10_buy.csv,flt6_10_sell.csv,flt6_5_buy.csv,flt6_5_sell.csv,flt9_10_buy.csv,flt9_10_sell.csv,flt9_5_buy.csv,flt9_5_sell.csv,average
1991M01,-0.005705273722382858,-0.0054331559101464385,-0.006070633407378952,-0.006170361287985895,-0.0009290770037974441,-0.0007068364523027163,-0.003439173432101271,0.00035757834079694784,-0.00029386141976851105,-6.399465142115372e-05,-0.003016165311186477,0.0023807716006084695,-0.0016429690711588993,-0.001444358666057629,-0.0033234301526926463,-0.0029127642894905973,-0.006212425771045251,-0.001079386532146502,-0.004710274703742613,-0.006942705171769081,-0.0028679248507584754
1991M02,-0.006500587901233287,-0.006477487037874278,-0.007145840806558342,-0.006912052756821543,-0.00146962364617621,-0.001239203544840885,-0.004017066994456804,-0.0008898013693389605,-0.0009059431561711394,-0.0006654987633082725,-0.003721286572471007,-0.0034613269863153218,-0.0023386958065722114,0.0024898095618590185,-0.004169175406916744,-0.003838499063271982,-0.00692218570622504,-0.0038078449554153062,-0.005671295193836465,-0.007718684484222847,-0.0037691145295083808
1991M03,-0.006295119401926432,-0.006210840006042544,-0.006854159444886041,-0.006712532216089175,-0.0013895804904080532,-0.001162844411835665,-0.0039001645046915496,-0.0002549266001665771,-0.0008224936109035774,-0.0005863370441817426,-0.003583933960442653,0.0015133281775287816,-0.0022237763020686503,-0.0021607355816777923,-0.003996924782531906,-0.0036572556121366485,-0.0067308377859481355,-0.003565510648389683,-0.005443546834790121,-0.007494476037485384,-0.003576633354953678
1991M04,-0.006360167746593405,-0.006296672753962236,-0.0069303666021321726,-0.0067679004722871385,-0.0014771874395465181,-0.001250932876677827,-0.003971314990279371,-0.00036485621239827767,-0.0009263852762125449,-0.0006905242640334605,-0.003673733655179882,-0.003189848261577752,-0.0023270421520424555,-0.0022687814094761163,-0.004098330711261371,-0.0037727731877667987,-0.006783679873126196,-0.0037215728595353936,-0.005535417608275063,-0.007541352311916615,-0.0038974420332140306
1991M05,-0.006286662594502871,-0.006203185250165411,-0.006820465721220087,-0.006692793741079258,-0.0014767924878199212,-0.0012526401885282854,-0.003944620333081981,-0.0003761242791785874,-0.0009317425107421777,-0.0006982025969457698,-0.003645399337475421,0.0013379421148117427,-0.0023161675228288584,-0.002258231297413475,-0.004057982102856311,-0.003734454324959619,-0.006711404774253244,-0.003671871765991745,-0.005463486116139142,-0.007450217539448123,-0.0036327251184909265
1991M06,-0.005708490000426907,-0.0039220504770460015,-0.006039102201143946,-0.0061411011363050666,-0.0011543077561331646,-0.0009381290509944227,-0.003559477685834641,-2.815346582607075e-05,-0.0005779840074775403,-0.0003540467153171105,-0.0031869684232236945,0.0017906725674953308,-0.0018903212417988344,-0.001817139983662514,-0.003504443955012738,0.002693216930160461,-0.006181531726561024,-0.002070922150658362,-0.004799821289952894,-0.006854933843240606,-0.0027122517806479874
1991M07,-0.00561453387349502,-0.0038242060346518553,-0.005908071721162852,-0.0060463671103574155,-0.0011364485847071833,-0.0009225598527319886,-0.003514797681260336,-1.9878865581748755e-05,-0.0005640410511337181,-0.0003426474277091307,-0.0031380616185187945,0.001776360034965441,-0.0018585973846598854,-0.0017851446411744217,-0.0034415185621761778,0.002650578392998521,-0.006090005220186893,-0.0020210027662981643,-0.004705341560328726,0.006122480956301033,-0.002019190228593466
1991M08,-0.006128923883612512,-0.005462953947281862,-0.006581916303437504,-0.006527116670781226,-0.0015078741443127987,-0.0012892199854255691,-0.0039036449965711355,-0.0004443886177872361,-0.00098299812797643,-0.0007554392992492336,-0.0036073759229480716,0.001173607331955932,-0.002326400175213526,-0.002270957933132291,-0.0039948564755028955,0.0016881346326785619,-0.006551457549557441,-0.0027037757286330066,-0.005320616444018574,-0.00674436258815201,-0.0032121268414479404
1991M09,-0.0062520737771131615,-0.00563720602829809,-0.006735446859339742,-0.006638389332799581,-0.0016293713459295766,-0.0014104998634321129,-0.004014442181678081,-0.0005901277865182622,-0.001123296796604531,-0.0008952128341295181,-0.003743101108480725,-0.0031448604229867214,-0.00247228582808498,-0.0024227845402289895,-0.0041502523304551165,-0.00314149419386893,-0.0066581384312574534,-0.0029100264166588615,-0.005477205786283162,-0.006860479784352094,-0.003795334782424984
1991M10,-0.00578900053206253,-0.004595586209081801,-0.006120453282505709,-0.0061946052643873355,-0.0013706454791506456,-0.0011582901313085406,-0.0037034057611959833,-0.0003133345099877563,-0.000841171829973168,-0.0006208558468681342,-0.0033760499063972427,0.0009537967339543614,-0.0021324986361928315,-0.002071451392529456,-0.0037102600459905134,0.0013357792932139408,-0.006230956933817085,-0.0024100393119390134,-0.004951941178979688,-0.00638231528222698,-0.0029841642753713053
