,osc12_10_buy.csv,osc12_10_sell.csv,osc12_5_buy.csv,osc12_5_sell.csv,osc1_10_buy.csv,osc1_10_sell.csv,osc1_5_buy.csv,osc1_5_sell.csv,osc3_10_buy.csv,osc3_10_sell.csv,osc3_5_buy.csv,osc3_5_sell.csv,osc6_10_buy.csv,osc6_10_sell.csv,osc6_5_buy.csv,osc6_5_sell.csv,osc9_10_buy.csv,osc9_10_sell.csv,osc9_5_buy.csv,osc9_5_sell.csv,average
1991M11,-0.007360074187282843,-0.0073600741872828345,-0.007058676441725118,-0.007058676441725115,-0.007928149356916067,-0.007928149356916069,-0.007928149356916067,-0.007928149356916069,-0.0066145874164009015,-0.006614587416400905,-0.007201751566767415,-0.0072017515667674075,-0.005347991909672695,-0.005347991909672685,-0.006737571659107072,-0.006737571659107079,-0.00427295510503113,-0.004272955105031119,-0.0037063486922140447,-0.0037063486922140356,-0.006415625569203333
1991M12,-0.007710770838215728,-0.00771077083821573,-0.007436423637884826,-0.007436423637884817,-0.008292095395691788,-0.008292095395691784,-0.008292095395691788,-0.008292095395691784,-0.006987543760760665,-0.006987543760760677,-0.007571360914158325,-0.007571360914158327,-0.0057176840530076736,-0.0057176840530076675,-0.007097559392550039,-0.007097559392550045,-0.004647374748619221,-0.004647374748619218,-0.004144258387497468,-0.004144258387497455,-0.006789716652407751
1992M01,-0.007431612474514449,-0.007431612474514436,-0.007144104551457392,-0.00714410455145738,0.01266340100818736,0.012663401008187365,0.01266340100818736,0.012663401008187365,-0.006710884038726859,-0.006710884038726861,-0.007281463086348642,-0.0072814630863486385,-0.005474974310915103,-0.005474974310915102,-0.006827418844226208,-0.006827418844226213,-0.004426272350812405,-0.004426272350812405,-0.0038995559068471693,-0.003899555906847161,-0.0023869483547473485
1992M02,-0.006712929255020383,-0.006712929255020381,-0.006385617871118406,-0.006385617871118409,0.01319965789295807,0.013199657892958063,0.01319965789295807,0.013199657892958063,0.012902209509078184,0.012902209509078182,0.013244847637462705,0.013244847637462693,-0.0048040939731476325,-0.004804093973147632,-0.006117492054156608,-0.00611749205415661,-0.003788138076546826,-0.0037881380765468187,-0.00317991394469992,-0.0031799139446999267,0.0021558187757767236
1992M03,-0.0065075596093299055,-0.0065075596093299055,-0.006172760843627029,-0.006172760843627026,0.013100788036714406,0.013100788036714396,0.013100788036714406,0.013100788036714396,0.012799478850925921,0.01279947885092593,0.01313750337411366,0.013137503374113652,-0.004630940640974577,-0.004630940640974568,-0.00592062865419276,-0.005920628654192761,-0.003633393697900068,-0.0036333936979000667,-0.003013100715653569,-0.003013100715653583,0.002226017413679047
1992M04,-0.006195854347523431,-0.006195854347523422,-0.005847443308961989,-0.005847443308961987,0.013145046386577828,0.013145046386577843,0.013145046386577828,0.013145046386577843,0.012853787218772172,0.012853787218772162,0.01318440923458191,0.0131844092345819,0.014284621028543193,0.014284621028543179,0.015450110752681816,0.015450110752681805,-0.003376634928875655,-0.003376634928875656,-0.0027307277657356386,-0.0027307277657356364,0.006391236065663804
1992M05,-0.006112247444829071,-0.006112247444829076,-0.005764042044911533,-0.005764042044911528,-0.00798640643804862,-0.007986406438048606,-0.00798640643804862,-0.007986406438048606,0.012607939207974001,0.012607939207973998,0.01293699133480205,0.01293699133480204,0.01395596697440515,0.013955966974405147,0.015110409272111967,0.01511040927211196,-0.003334523381831645,-0.0033345233818316456,0.010603582351241723,0.010603582351241723,0.0034031263392865414
1992M06,-0.005997471084400952,-0.005997471084400964,-0.005647658437500869,-0.0056476584375008765,0.012915370460024243,0.012915370460024238,0.012915370460024243,0.012915370460024238,0.012416429720167509,0.012416429720167509,0.012742981071740623,0.012742981071740623,0.013696199416449992,0.013696199416449985,0.014837133050714353,0.014837133050714352,0.015036525200933765,0.015036525200933763,0.010429891611974676,0.01042989161197468,0.009334477147012759
1992M07,0.015823781981418848,0.015823781981418844,0.013232570704688957,0.013232570704688964,0.013429012581037153,0.013429012581037156,0.013429012581037153,0.013429012581037156,0.012976499281615109,0.012976499281615109,0.013287218116884273,0.01328721811688428,0.014338026724783395,0.01433802672478339,0.01542844810382001,0.015428448103819997,0.01575918495475049,0.01575918495475049,0.01109908271376675,0.01109908271376675,0.013880283774380215
1992M08,0.015366204470025346,0.015366204470025343,0.01287548231425691,0.012875482314256913,-0.007828670541056723,-0.007828670541056735,-0.007828670541056723,-0.007828670541056735,0.012700502535973386,0.012700502535973386,0.01301061221177542,0.013010612211775416,0.013980210869483282,0.013980210869483282,0.015062983479776297,0.015062983479776283,0.015303222369023678,0.015303222369023681,0.01082751469000498,0.010827514690004982,0.009346939185820583
