,energy,non-energy,agriculture,beverages,food,raw-materials,metals-minerals,precious-metals
1993M06,0,0,0,0,0,1,0,1
1993M07,0,0,1,1,0,1,0,1
1993M08,0,0,1,1,0,1,0,1
1993M09,0,0,1,1,0,1,0,0
1993M10,0,0,1,1,0,1,0,1
1993M11,0,0,1,1,1,1,0,1
1993M12,0,0,1,1,1,1,0,1
1994M01,0,0,1,1,1,1,0,1
1994M02,0,0,1,1,1,1,1,1
1994M03,0,0,1,1,1,1,1,1
1994M04,0,0,0,1,1,0,1,1
1994M05,1,1,1,1,1,1,1,1
1994M06,1,1,1,1,0,1,1,1
1994M07,1,1,1,1,0,1,1,1
1994M08,1,1,1,1,0,1,1,0
1994M09,0,1,1,1,1,1,1,1
1994M10,0,1,1,1,0,0,1,0
1994M11,1,1,1,1,0,0,1,0
1994M12,0,1,0,1,1,0,1,0
1995M01,1,1,0,1,0,0,1,0
1995M02,1,1,1,1,1,0,1,0
1995M03,1,1,1,1,0,0,1,0
1995M04,1,1,0,1,0,0,1,0
1995M05,1,1,0,1,0,0,1,0
1995M06,1,0,0,0,1,0,1,0
1995M07,0,0,0,0,1,0,1,0
1995M08,0,0,0,0,1,0,1,0
1995M09,0,0,0,0,1,0,1,0
1995M10,0,0,0,0,1,0,0,0
1995M11,0,0,0,0,1,0,0,0
1995M12,1,0,0,0,1,0,0,0
1996M01,1,0,0,0,1,0,0,0
1996M02,1,0,0,0,1,0,0,0
1996M03,1,0,0,0,1,0,0,0
1996M04,1,0,0,0,1,0,0,0
1996M05,1,0,0,1,1,0,0,0
1996M06,1,0,0,1,1,0,0,0
1996M07,1,0,0,0,0,0,0,0
1996M08,1,0,0,0,0,0,0,0
1996M09,1,0,0,0,0,0,0,0
1996M10,1,0,0,0,0,0,0,0
1996M11,1,0,0,0,0,0,0,0
1996M12,1,0,0,0,0,0,0,0
1997M01,1,0,0,0,0,0,1,0
1997M02,0,0,0,1,0,0,1,0
1997M03,0,0,0,1,0,0,1,0
1997M04,0,0,0,1,0,0,1,0
1997M05,0,0,0,1,0,0,1,0
1997M06,0,0,0,1,0,0,1,0
1997M07,0,0,0,1,0,0,1,0
1997M08,0,0,0,1,0,0,1,0
1997M09,0,0,0,1,0,0,1,0
1997M10,1,0,0,1,0,0,1,0
1997M11,1,0,0,1,0,0,0,0
1997M12,0,0,0,1,0,0,0,0
1998M01,0,0,0,1,0,0,0,0
1998M02,0,0,0,1,0,0,0,0
1998M03,0,0,0,0,0,0,0,0
1998M04,0,0,0,0,0,0,0,0
1998M05,0,0,0,0,0,0,0,0
1998M06,0,0,0,0,0,0,0,0
1998M07,0,0,0,0,0,0,0,0
1998M08,0,0,0,0,0,0,0,0
1998M09,1,0,0,0,0,0,0,0
1998M10,0,0,0,0,0,0,0,0
1998M11,0,0,0,0,0,0,0,0
1998M12,0,0,0,0,0,0,0,0
1999M01,0,0,0,0,0,0,0,0
1999M02,0,0,0,0,0,0,0,0
1999M03,1,0,0,0,0,0,0,0
1999M04,1,0,0,0,0,0,0,0
1999M05,1,0,0,0,0,1,0,0
