,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
1991M01,,,,,,
1991M02,,,,,,
1991M03,,,,,,
1991M04,,,,,,
1991M05,,,,,,
1991M06,,,,,,
1991M07,,,,,,
1991M08,,,,,,
1991M09,,,,,,
1991M10,,,,,,
1991M11,,,,,,
1991M12,41.66666666666667,50.0,16.666666666666664,33.33333333333333,33.33333333333333,41.66666666666667
1992M01,33.33333333333333,41.66666666666667,25.0,41.66666666666667,33.33333333333333,50.0
1992M02,33.33333333333333,41.66666666666667,25.0,41.66666666666667,41.66666666666667,50.0
1992M03,33.33333333333333,41.66666666666667,25.0,41.66666666666667,50.0,50.0
1992M04,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,41.66666666666667,50.0
1992M05,41.66666666666667,41.66666666666667,33.33333333333333,41.66666666666667,41.66666666666667,50.0
1992M06,33.33333333333333,33.33333333333333,41.66666666666667,41.66666666666667,33.33333333333333,50.0
1992M07,33.33333333333333,33.33333333333333,50.0,41.66666666666667,33.33333333333333,58.333333333333336
1992M08,41.66666666666667,41.66666666666667,50.0,33.33333333333333,33.33333333333333,58.333333333333336
1992M09,41.66666666666667,41.66666666666667,58.333333333333336,41.66666666666667,33.33333333333333,58.333333333333336
1992M10,41.66666666666667,41.66666666666667,58.333333333333336,41.66666666666667,33.33333333333333,58.333333333333336
1992M11,50.0,50.0,50.0,41.66666666666667,33.33333333333333,58.333333333333336
1992M12,41.66666666666667,41.66666666666667,50.0,41.66666666666667,33.33333333333333,58.333333333333336
1993M01,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,33.33333333333333,50.0
1993M02,33.33333333333333,41.66666666666667,33.33333333333333,41.66666666666667,25.0,41.66666666666667
1993M03,33.33333333333333,41.66666666666667,33.33333333333333,50.0,16.666666666666664,41.66666666666667
1993M04,33.33333333333333,41.66666666666667,25.0,58.333333333333336,16.666666666666664,41.66666666666667
1993M05,33.33333333333333,41.66666666666667,33.33333333333333,50.0,25.0,50.0
1993M06,33.33333333333333,41.66666666666667,33.33333333333333,41.66666666666667,33.33333333333333,50.0
1993M07,33.33333333333333,41.66666666666667,25.0,50.0,25.0,41.66666666666667
1993M08,33.33333333333333,41.66666666666667,25.0,50.0,33.33333333333333,50.0
1993M09,33.33333333333333,41.66666666666667,16.666666666666664,41.66666666666667,33.33333333333333,50.0
1993M10,41.66666666666667,50.0,16.666666666666664,41.66666666666667,33.33333333333333,50.0
1993M11,41.66666666666667,50.0,25.0,41.66666666666667,33.33333333333333,41.66666666666667
1993M12,50.0,58.333333333333336,33.33333333333333,50.0,41.66666666666667,50.0
1994M01,50.0,58.333333333333336,41.66666666666667,41.66666666666667,41.66666666666667,50.0
1994M02,50.0,50.0,50.0,50.0,41.66666666666667,58.333333333333336
1994M03,50.0,50.0,58.333333333333336,41.66666666666667,50.0,66.66666666666666
1994M04,50.0,50.0,66.66666666666666,33.33333333333333,50.0,58.333333333333336
1994M05,41.66666666666667,50.0,58.333333333333336,33.33333333333333,41.66666666666667,50.0
1994M06,41.66666666666667,58.333333333333336,50.0,33.33333333333333,33.33333333333333,41.66666666666667
1994M07,41.66666666666667,58.333333333333336,58.333333333333336,33.33333333333333,41.66666666666667,50.0
1994M08,41.66666666666667,58.333333333333336,58.333333333333336,33.33333333333333,33.33333333333333,41.66666666666667
1994M09,33.33333333333333,50.0,58.333333333333336,41.66666666666667,41.66666666666667,41.66666666666667
1994M10,33.33333333333333,50.0,66.66666666666666,41.66666666666667,41.66666666666667,50.0
1994M11,33.33333333333333,50.0,66.66666666666666,33.33333333333333,41.66666666666667,50.0
1994M12,25.0,41.66666666666667,58.333333333333336,25.0,33.33333333333333,41.66666666666667
1995M01,33.33333333333333,50.0,58.333333333333336,33.33333333333333,33.33333333333333,41.66666666666667
1995M02,33.33333333333333,50.0,50.0,25.0,33.33333333333333,33.33333333333333
1995M03,33.33333333333333,50.0,50.0,25.0,25.0,25.0
1995M04,41.66666666666667,58.333333333333336,41.66666666666667,25.0,25.0,33.33333333333333
1995M05,50.0,58.333333333333336,41.66666666666667,33.33333333333333,25.0,41.66666666666667
1995M06,58.333333333333336,58.333333333333336,50.0,41.66666666666667,33.33333333333333,41.66666666666667
1995M07,58.333333333333336,58.333333333333336,41.66666666666667,33.33333333333333,25.0,33.33333333333333
1995M08,58.333333333333336,58.333333333333336,50.0,41.66666666666667,33.33333333333333,41.66666666666667
1995M09,66.66666666666666,66.66666666666666,58.333333333333336,41.66666666666667,33.33333333333333,33.33333333333333
1995M10,66.66666666666666,66.66666666666666,58.333333333333336,50.0,41.66666666666667,33.33333333333333
1995M11,66.66666666666666,66.66666666666666,58.333333333333336,58.333333333333336,41.66666666666667,41.66666666666667
1995M12,75.0,75.0,66.66666666666666,66.66666666666666,50.0,50.0
1996M01,75.0,75.0,66.66666666666666,66.66666666666666,58.333333333333336,58.333333333333336
1996M02,75.0,75.0,66.66666666666666,66.66666666666666,58.333333333333336,58.333333333333336
1996M03,83.33333333333334,83.33333333333334,58.333333333333336,66.66666666666666,66.66666666666666,58.333333333333336
1996M04,83.33333333333334,83.33333333333334,58.333333333333336,66.66666666666666,66.66666666666666,58.333333333333336
1996M05,75.0,75.0,66.66666666666666,58.333333333333336,66.66666666666666,58.333333333333336
1996M06,66.66666666666666,66.66666666666666,58.333333333333336,50.0,66.66666666666666,66.66666666666666
1996M07,66.66666666666666,66.66666666666666,66.66666666666666,58.333333333333336,66.66666666666666,75.0
